1c7b18418b0e08df5a7688a4f93a166a4dac9cc102690abb4aa0d3585037db2c,02e4fefa7cb2ce095659934ecd882df9dd53270fe440812ba11d66b44d8e04b5,8035ce1ed6a6184ff561c5e2caa718102664ae0381050fe06e549555830d6a9a,66d74645c5a7128031f198a5a76733d3edd955ab44ab7963e2c50630fae30543,aa2784c83aefcdbcc21af22304457104f83d99e25d73bb1174ba79db00726943,81361ecacbf899dd6f5267c3f0cd75a54eb6f7294af1e9817aa8426847167bf5,f30c951db3dc207fc51868296059c7396363eb02de3c76cf50865197218d8ea8,7ff426b826288458d58d1a20eb625012aa3849b4d3c9cf0e7ec463a1c8fd5b8d,33c03bfebb135747542bc83cffa03123b6c31b4d169f421b85f3e5bc24d9fd58,130ced57a5d203e52d7f7d3c386e4c1f90b613782d7402717361a36adbf6dd1c
"序幕","0","0","0","10110","5110601","令人懷念的往日結晶","0","0","20059104"
"尾狗刀的懷想　其一","91002","0","1","10110","5110602","誰才是隊長！","30","8","20059104"
"尾狗刀的懷想　其二","91002","0","1","10110","5110603","想獲勝的理由","30","8","20059105"
"克莉絲提娜的懷想　其一","91002","0","1","10110","5110604","善於傾聽的誓約女君","30","8","20059108"
"大吾的懷想　其一","91002","0","1","10110","5110605","隱藏的真正實力……？","30","8","20059109"
"拉比林斯達的懷想　其一","91002","0","1","10110","5110606","寫作朋友，讀作對手","30","8","20059110"
"真軌的懷想","91002","0","1","10110","5110607","惡與正義的放聲大笑","30","8","20059112"
"拉基拉基的懷想　其一","91002","0","1","10110","5110608","所謂的公主騎士","30","8","20059113"
"尾狗刀的懷想　其三","91002","0","1","10110","5110609","遙想未來的日子","30","8","20059114"
"拉基拉基的懷想　其二","91002","0","1","10111","5111602","跳躍王的懲罰","30","8","20060103"
"克莉絲提娜的懷想　其二","91002","0","1","10111","5111603","兩人一起絕對能做到","30","8","20060105"
"大吾的懷想　其二","91002","0","1","10111","5111604","踩虎尾","30","8","20060108"
"拉比林斯達的懷想　其二","91002","0","1","10111","5111605","最可疑的七冠是誰","30","8","20060109"
"似似花的懷想","91002","0","1","10111","5111606","過於簡單的問題","30","8","20060110"
"尾狗刀的懷想　其四","91002","0","1","10111","5111607","魔物使如是說","30","8","20060113"
"尾狗刀的懷想　其五","91002","0","1","10111","5111608","惡徒們追尋的未來","30","8","20060113"
"終幕","9000222","1","0","10111","5111609","超越過去，創造回憶","1","16","0"
