d2aa98485c3ca50bde5639b88f6922332e0c87ed15496b282f2c8c5952208046,b5cfdf28fe8cc117224b43b7fcf6202ebff5e93dccc5078dbc0dac39ef3dff40,8ca437f0281765230504f03d081ac2058276390e394f1a3b5df628bdb96f7bc0,db70b56d52ff6d23b976f37bfb03459e2facfb6dbc1863bad3d8778f921dbaf2,b354833c8baa8c23a43fd3b6d3674df76cb8dac68e54bab3faaef421baf9c316,49bad2109f41e121ed5414ff3e96a990d1ba10b3c6c136ea53d0341ffeeffe7a,146b11056c0752dc2c8701cd8b9999f15ea1dc9a979fc4cf6ee8f0ff7328bb6d,0b52b6e3978e515b4810a6533b97e316834c68f691ee156a4aa10690971ab1ec
"2001","短時間內，展開障礙物護盾　　　　（TP上升率：大）","短時間內，展開障礙物護盾！","0","0","101","3","0"
"3","中時間內，小幅度提升速度與　　　跳躍力（TP上升率：小）","中時間內，小幅度提升速度與跳躍力！","5","0","102","5","5"
"1","短時間內，中幅度提升速度　　　　（TP上升率：中）","短時間內，中幅度提升速度！","6","0","103","4","0"
"2001","中時間內，展開障礙物護盾　　　　（TP上升率：小）","中時間內，展開障礙物護盾！","0","0","104","5","0"
"1","中時間內，小幅度提升速度　　　　（TP上升率：小）","中時間內，小幅度提升速度！","3","0","105","6","0"
"1001","中時間內，對戰對手小幅度減速　　（TP上升率：大）","中時間內，對戰對手小幅度減速！","4","0","106","6","0"
"3","中時間內，特大幅度提升速度與　　跳躍力（TP上升率：小）","中時間內，特大幅度提升速度與跳躍力！","17","0","107","5","16"
"1","回合內，中幅度提升速度　　　　　（TP上升率：小）","回合內，中幅度提升速度！","8","0","108","40","0"
"1","短時間內，特大幅度提升速度　　　（TP上升率：特小）","短時間內，特大幅度提升速度！","30","0","109","4","0"
"1001","回合內，對戰對手中幅度減速　　　（TP上升率：小）","回合內，對戰對手大幅度減速！","10","0","110","40","0"
"2001","極短時間內，展開障礙物護盾　　　（TP上升率：大）","極短時間內，展開障礙物護盾！","0","0","111","1","0"
"1004","短時間內，最前方對戰對手　　　　大幅度減速（TP上升率：小）","短時間內，最前方對戰對手大幅度減速！","15","0","112","4","0"
"1","中時間內，小幅度提升速度　　　　（TP上升率：大）","中時間內，小幅度提升速度！","5","0","113","6","0"
"2","中時間內，小幅度提升跳躍力　　　（TP上升率：大）","中時間內，小幅度提升跳躍力！","5","0","114","5","0"
"2002","長時間內，以護盾防止能力降低　　（TP上升率：特大）","長時間內，以護盾防止能力降低！","0","0","115","7","0"
"1","累積時，小幅度提升速度　　　　　（TP上升率：特大）","累積時，小幅度提升速度！","3","0","116","25","0"
"1001","累積時，對戰對手小幅度減速　　　（TP上升率：特大）","累積時，對戰對手小幅度減速！","3","0","117","25","0"
"3","長時間內，特大幅度提升速度與　　跳躍力（TP上升率：中）","長時間內，特大幅度提升速度與跳躍力！","30","0","118","7","20"
"1004","短時間內，最前方的對戰對手　　　大幅度減速（TP上升率：中）","短時間內，最前方對戰對手大幅度減速！","15","0","119","4","0"
"2002","長時間內，以護盾防止能力降低　　（TP上升率：大）","長時間內，以護盾防止能力降低！","0","0","120","7","0"
"2","長時間內，特大幅度提升跳躍力　　（TP上升率：中）","長時間內，特大幅度提升跳躍力！","30","0","121","12","0"
"1004","累積時，最前方的對戰對手　　　　大幅度減速（TP上升率：中）","累積時，最前方的對戰對手大幅度減速！","15","0","122","30","0"
"4","短時間大幅度加速後，減速　　　　（TP上升率：大）","短時間大幅度加速後，極短時間減速！","11","8","123","4","2"
"1","長時間內，中幅度提升速度　　　　（TP上升率：大）","長時間內，中幅度提升速度！","9","0","124","8","0"
"2001","短時間內，展開障礙物護盾　　　　（TP上升率：中）","短時間內，展開障礙物護盾！","0","0","125","4","0"
"1001","累積時，對戰對手小幅度減速　　　（TP上升率：特大）","累積時，對戰對手小幅度減速！","3","0","126","30","0"
"1","長時間內，特大幅度提升速度　　　（TP上升率：特小）","長時間內，特大幅度提升速度！","22","0","127","10","0"
"2","短時間內，特大幅度提升跳躍力　　（TP上升率：大）","中時間內，特大幅度提升跳躍力！","30","0","128","4","0"
"1001","短時間內，對戰對手特大幅度減速　（TP上升率：大）","短時間內，對戰對手特大幅度減速！","20","0","129","3","0"
"1","短時間內，特大幅度提升速度　　　（TP上升率：大）","短時間內，特大幅度提升速度！","30","0","130","4","0"
