91318d5bb1eeef9408ce69e961eb9a500d9dd487de095294d890ebdcc19013a8,ffe5a9dd3b1c1570b6ce2ebcdbe71fae46d6ebd27d177e3b24989c46d6b71eaf,710b55dcd6b2792960f5d08edfb7c58efeb28eb5d76f1731e56812f0e68e2679,015ac106719e0dd625d7f70b67c0fbb412181e5c5a2e842ac866a94767ead35f,ae8e62cf68d32206b50adbe4e3608772546e5d2505fda1274576e4a587671f4a,d61fd580bcbc2e2a0f3fdac5d58a940f2dabdedd51f9b4f86c9236a6db61b180,0c09060d5fdb175dbb511ada149a17f75a8c6c54159595a68a3b99ed0e7d358e
"3","105","2","105","105","1","1"
"3","120","2","105","120","2","1"
"3","100","2","100","120","3","1"
"3","120","2","105","120","4","1"
"3","105","2","105","120","5","1"
"3","100","2","100","105","6","1"
"3","100","2","120","105","7","1"
"3","100","2","100","105","8","1"
"3","120","2","105","120","9","1"
"3","100","2","120","105","10","1"
"3","105","2","100","100","11","1"
"3","120","2","105","120","12","1"
"3","105","2","105","105","13","1"
"3","120","2","105","105","14","1"
"3","120","2","120","120","15","1"
"3","100","2","100","100","16","1"
"3","105","2","120","120","17","1"
"3","120","2","120","105","18","1"
"3","105","2","105","100","19","1"
"3","105","2","100","105","20","1"
"3","105","2","100","100","21","1"
"3","120","2","120","120","22","1"
"3","100","2","105","100","23","1"
"3","120","2","120","120","24","1"
"3","105","2","105","120","25","1"
"3","100","2","100","100","26","1"
"3","100","2","100","100","27","1"
"3","100","2","100","100","28","1"
"3","120","2","120","120","29","1"
"3","120","2","105","105","30","1"
