e9e369c4958d82763373c0db91b148c8eeef85a2e1823697d54c4f92b65707f5,d64c4607ba4d22514b172b8fc8dbece8381904b0b0199014d5b8add217c6607b,91e0faef7c9362e7777615cdc0c4a0709d035953f3dbd8be8c95bc1aeb0a34a1,04b1eb990a5f456c15b55b43f42cabdc42294a58f9679f5ef2933f99067cea61,5cbd50b870b45b8f1a6f0b2d0733dd08e30523008be65034596173fe025d4e19,94b14e3f2692b4ccef414ade60b69e0fbab42ac0a65248c77258b13e35c3d3ba,b52e6de3e9b10ed11b4e70c1e2dafe3cacc1b75b7d32d733a9efbb73640ed9cd,c09ec8c0a828b8061f556e195de6474f93f820b7652a192e130b34563f4114d6,fce9fd2c0e334bc1f43b761d3b780d241bd16a65b2094724081f2aaa177d32e1,b9dcac4cd7598b67430494bec3e0774672e3eecce3379292c93115263a95d44e,c855548934cd00bc4aa140bb27ee611c9186246b5cacc4600f1a4744816ee281,584724c4520be05edf68c7f4ff18e94eb688cb3bfa8b26b331486db0a4bae015
"10","0","107511","游泳圈游泳（黃）","10140","10140101","0","0","103","1","2","0"
"15","0","107611","游泳圈游泳（藍）","10140","10140102","0","0","102","1","2","0"
"10","0","107711","游泳圈游泳（黃）","10140","10140103","0","0","103","1","1","0"
"10","0","108011","游泳圈游泳（藍）","10140","10140106","0","0","102","1","2","0"
"10","0","110011","游泳圈游泳（粉）","10140","10140107","0","0","101","1","2","0"
"10","0","110111","游泳圈游泳（粉）","10140","10140108","0","0","101","1","1","0"
"3","0","110311","游泳圈游泳（黃）","10140","10140109","0","0","103","1","1","0"
"10","0","110411","游泳圈游泳（藍）","10140","10140110","0","0","102","1","2","0"
"10","0","110511","游泳圈游泳（藍）","10140","10140111","0","0","102","1","2","0"
"50","0","110611","游泳圈游泳（粉）","10140","10140112","0","0","101","1","2","0"
"5","0","113111","游泳圈游泳（藍）","10140","10140113","0","0","102","1","1","0"
"5","0","113211","游泳圈游泳（藍）","10140","10140114","0","0","102","1","1","0"
"5","0","113311","游泳圈游泳（藍）","10140","10140115","0","0","102","1","1","0"
"10","0","113411","游泳圈游泳（藍）","10140","10140116","0","0","102","1","2","0"
"10","0","113511","游泳圈游泳（藍）","10140","10140117","0","0","102","1","2","0"
"10","0","113611","游泳圈游泳（藍）","10140","10140118","0","0","102","1","2","0"
