0829a4379ca402895e24616ec0957df3e28cc0a2f2a71e967d7cfaeea9252dbd,660866dfb0dccb9448a4f7386bf4b4b7d16be9282010ffac94d39de0ef21bbd6,04baea37e3d434f3ad4a7447a9d67e2a7451bf3a8317ce0db97ef2e9f2b41ea9,87bd438d6f1c59b13f0a26f6646c8fcfafa8c74e26b9f1247d811a1882311644,30537b65e6719dde7657a0ab7fa574701e05fd6a621c87a9d9010c6f9c9b8ee0,3421041e96f8753fbdcc0e8c67e42812cc6cdea2ea6f3acfaf608fc1429c8217,e8cea818fb5093896fef434f42ed4027784d7ab5adbf5fb3bbe9aa325899438b,4cc1173b203df3988b78fd81f4e5fb830af51f3fc7138d60bbd04afb95c60ed1,08d4c0218e947d717d1da3aeb813e415e294eaf3be56713e07391f89647b87f9,a83c6d73cce0489b4982799137b791482e6def07750def27e36fad84c5c5fb75,7da228db62d3e06148f5d51e24c1d56ad6238dd4bdcafce80551b4b64966bd73
"0","1","5","1101010001","1","53","10101","0","empty","0","1"
"0","2","5","1101010002","101000","56","10101","0","empty","0","1"
"0","3","5","1101010003","101000","70","10101","0","empty","0","1"
"0","0","31","1101010004","101000","0","10101","","","1","0"
"0","1","31","1101010005","101001","0","10101","","","1","0"
"0","2","31","1101010006","101002","0","10101","","","1","0"
"0","3","31","1101010007","101003","0","10101","","","1","0"
"0","4","31","1101010008","101004","0","10101","","","1","0"
"0","10","31","1101010009","1","0","10101","","","1","0"
"0","30","31","1101010010","3","0","10101","","","1","0"
"","0","91","1101010011","0","","10101","","","",""
"","1","32","1101010012","0","","10101","","","",""
"","1","32","1101010013","10","","10101","","","",""
"","getDish_1_in","3","1101010014","2","0","10101","","","","0"
"","0","93","1101010015","0.2","","10101","","","",""
"","getDish","3","1101010016","1","0","10101","","","","0"
"","getDish_1_B","3","1101010017","2","0","10101","","","","0"
"","getDish_1_F","3","1101010018","3","0","10101","","","","0"
"","1","32","1101010019","1","","10101","","","",""
"","1","32","1101010020","3","","10101","","","",""
"","0","93","1101010021","7.2","","10101","","","",""
"","1","101","1101010022","1101010023","","10101","","","",""
"","1","35","1101010023","2","","10101","","","",""
"","1","32","1101010024","2","","10101","","","",""
"","1","35","1101010025","4","","10101","","","",""
"","1","32","1101010026","4","","10101","","","",""
"","0","32","1101010027","3","","10101","","","",""
"","0","93","1101010028","2.3","","10101","","","",""
"","1","35","1101010029","30","","10101","","","",""
"","1","32","1101010030","30","","10101","","","",""
"","0","93","1101010031","0.2","","10101","","","",""
"1","1","6","1101010032","1","1","10101","0","","0","0"
"1","1","6","1101010033","2","1","10101","0","","0","0"
"1","1","6","1101010034","3","1","10101","0","","0","0"
"","0","32","1101010035","0","","10101","","","",""
"","0","32","1101010036","1","","10101","","","",""
"","0","32","1101010037","2","","10101","","","",""
"","0","32","1101010038","3","","10101","","","",""
"","0","32","1101010039","4","","10101","","","",""
"","0","32","1101010040","10","","10101","","","",""
"","0","93","1101010041","0.3","","10101","","","",""
"1","1","111","1101010042","1","1","10101","0","","0","0.1"
"-205","1","5","1102010001","2","50","10201","0","empty","-325","0.9"
"-205","2","5","1102010002","102000","58","10201","0","empty","-325","0.9"
"1500","100","5","1102010003","100","54","10201","0","idle_single","-263","0.6"
"0","0","31","1102010004","102000","0","10201","","","1","0"
"-263","1","31","1102010005","102001","1500","10201","","","1","0"
"0","2","31","1102010006","102002","0","10201","","","1","0"
"-136","3","31","1102010007","102003","-132","10201","","","1","0"
"0","4","31","1102010008","102004","0","10201","","","1","0"
"0","10","31","1102010009","1","0","10201","","","1","0"
"0","20","31","1102010010","2","0","10201","","","1","0"
"0","30","31","1102010011","3","0","10201","","","1","0"
"","0","91","1102010012","0","","10201","","","",""
"","1","32","1102010013","0","","10201","","","",""
"","1","32","1102010014","10","","10201","","","",""
"","se_caravan_dice_get_intro","23","1102010015","se_caravan","0","10201","","","",""
"","getDice_idle","3","1102010016","1","1","10201","","","","0"
"eat_loop","run_getDice","3","1102010017","100","0","10201","0","","1","0"
"","1","32","1102010018","1","","10201","","","",""
"2","344","2","1102010019","100","-263","10201","","","11",""
"2","344","33","1102010020","1","-263","10201","","","11",""
"","1","32","1102010021","2","","10201","","","",""
"","0","93","1102010022","1.7","","10201","","","",""
"","getDice_curious","3","1102010023","1","1","10201","0","","","0.2"
"0","vo_caravan_event_002_000","21","1102010024","vo_caravan","0","10201","","","",""
"","0","93","1102010025","1.5","","10201","","","",""
"","se_caravan_dice_get_outro_1","23","1102010026","se_caravan","0","10201","","","",""
"0.1","vo_caravan_event_002_001","21","1102010027","vo_caravan","0","10201","","","",""
"","spit_in","3","1102010028","100","0","10201","","","","0.1"
"","getDice_1","3","1102010029","2","0","10201","","","","0"
"","getDice_panic_1","3","1102010030","1","0","10201","","","","0.1"
"","0","93","1102010031","0.5","","10201","","","",""
"idle_single","spit_out","3","1102010032","100","0","10201","0","","1","0"
"","0","93","1102010033","1.4","","10201","","","",""
"idle_single","joy_single","3","1102010034","100","0","10201","0","","1","0.2"
"","0","93","1102010035","0.1","","10201","","","",""
"","1","32","1102010036","3","","10201","","","",""
"","0","93","1102010037","0.5","","10201","","","",""
"0","vo_caravan_event_002_002","21","1102010038","vo_caravan","0","10201","","","",""
"","0","93","1102010039","1.3","","10201","","","",""
"","0","101","1102010040","1102010041","","10201","","","",""
"","1","35","1102010041","4","","10201","","","",""
"","1","32","1102010042","4","","10201","","","",""
"","1","32","1102010043","20","","10201","","","",""
"","0","32","1102010044","1","","10201","","","",""
"","0","93","1102010045","0.4","","10201","","","",""
"","","92","1102010046","","","10201","","","",""
"","1","35","1102010047","30","","10201","","","",""
"","1","32","1102010048","30","","10201","","","",""
"","0","93","1102010049","0.2","","10201","","","",""
"1","1","6","1102010050","1","1","10201","0","","0","0"
"1","1","6","1102010051","2","1","10201","0","","0","0"
"1","1","6","1102010052","100","1","10201","0","","0","0"
"","0","32","1102010053","0","","10201","","","",""
"","0","32","1102010054","2","","10201","","","",""
"","0","32","1102010055","3","","10201","","","",""
"","0","32","1102010056","4","","10201","","","",""
"","0","32","1102010057","10","","10201","","","",""
"","0","93","1102010058","0.3","","10201","","","",""
"-205","1","5","1102020001","2","50","10202","0","empty","-325","0.9"
"-205","2","5","1102020002","102000","58","10202","0","empty","-325","0.9"
"1500","100","5","1102020003","100","54","10202","0","idle_single","-263","0.6"
"0","0","31","1102020004","102000","0","10202","","","1","0"
"-263","1","31","1102020005","102001","1500","10202","","","1","0"
"0","2","31","1102020006","102002","0","10202","","","1","0"
"-136","3","31","1102020007","102003","-132","10202","","","1","0"
"0","4","31","1102020008","102005","0","10202","","","1","0"
"0","10","31","1102020009","1","0","10202","","","1","0"
"0","20","31","1102020010","2","0","10202","","","1","0"
"0","30","31","1102020011","3","0","10202","","","1","0"
"","0","91","1102020012","0","","10202","","","",""
"","1","32","1102020013","0","","10202","","","",""
"","1","32","1102020014","10","","10202","","","",""
"","se_caravan_dice_get_intro","23","1102020015","se_caravan","0","10202","","","",""
"","getDice_idle","3","1102020016","1","1","10202","","","","0"
"eat_loop","run_getDice","3","1102020017","100","0","10202","0","","1","0"
"","1","32","1102020018","1","","10202","","","",""
"2","344","2","1102020019","100","-263","10202","","","11",""
"2","344","33","1102020020","1","-263","10202","","","11",""
"","1","32","1102020021","2","","10202","","","",""
"","0","93","1102020022","1.7","","10202","","","",""
