18f76e99b3940ba7c52ee40f470fb062727b0761651ed48d3aa9ebad013054dd,96c8014454a0202abe72ee36f3e783f52cb05ca9c1db5113cd2defd564ff1b2b,aa928e744e66b868efd7fab8c6ce225e3be035706914c90bf0350887e5c2e54c,97f5a45da0913bb7d2124d99e835ea26d37b8651a42fc73518da1ef67ed22384
"戰鬥中，大幅度提升「毒」、「猛毒」所造成的傷害。","提升毒/猛毒造成的傷害","poison_damage_up","1"
"戰鬥中，大幅度提升「火傷」所造成的傷害。","提升火傷造成的傷害","burn_damage_up","2"
"戰鬥中，大幅度提升「詛咒」、「咒術」所造成的傷害。","提升詛咒/咒術造成的傷害","curse_damage_up","3"
"戰鬥中，增加「麻痺」的效果時間。","增加麻痺的效果時間","paralysis_time_extension","4"
"戰鬥中，增加「凍結」的效果時間。","增加凍結的效果時間","frozen_time_extension","5"
"戰鬥中，增加「束縛」的效果時間。","增加束縛的效果時間","bind_time_extension","6"
"戰鬥中，增加「暈眩」的效果時間。","增加暈眩的效果時間","stun_time_extension","7"
"戰鬥中，增加「毒」、「猛毒」的效果時間。","增加毒/猛毒的效果時間","poison_time_extension","8"
"戰鬥中，增加「火傷」的效果時間。","增加火傷的效果時間","burn_time_extension","9"
"戰鬥中，增加「詛咒」、「咒術」的效果時間。","增加詛咒/咒術的效果時間","curse_time_extension","10"
"戰鬥中，增加「誘惑」的效果時間。","增加誘惑的效果時間","temptation_time_extension","11"
"戰鬥中，增加「混亂」的效果時間。","增加混亂的效果時間","confusion_time_extension","12"
"戰鬥中，大幅度提升物理攻擊力。","提升物理攻擊力","attack_up","13"
"戰鬥中，大幅度提升魔法攻擊力。","提升魔法攻擊力","magic_str_up","14"
"戰鬥中，大幅度提升物理防禦力。","物理防禦力提升","defense_up","15"
"戰鬥中，大幅度提升魔法防禦力。","魔法防禦力提升","magic_def_up","16"
"戰鬥中，大幅度提升物理暴擊率。","物理暴擊提高","physical_critical_up","17"
"戰鬥中，大幅度提升魔法暴擊率。","魔法暴擊提高","magic_critical_up","18"
"戰鬥中，大幅度提升TP上升。","提升TP上升","energy_recovery_rate_up","19"
"戰鬥開始時，特大幅度恢復TP。","戰鬥開始時，特大幅度恢復TP","energy_recovery","20"
