5f39e5670b972ac706b364e5071cf578ab276bccffea8015c66fc41e153731e4,b45e770fc0ea7b582648dfa0c47f3e9d2a892dc82912aceb8c703e53e42a8486,2f5aed5c5f1fe1958259591ab2f938fbb6ea6b580f6c553875101f70bf08d322,b418bd3e2e32b07b1b5d1de2468380f7b031b42f16cd9051424ab3d0b85ccfc1,62816c02dda4c5d376969afed442760693e2a06a86155426f517396e3db824fe,d80602284048ac7eb726eb0fdd2271a27ccf9c0dc0292111a4dd860504fbcdcf
"102013011","1","301","10201","5201087","1"
"102014021","1","402","10201","5201081","1"
"102014022","0","402","10201","5201082","101"
"102015011","1","501","10201","5201066","1"
"102015012","2","501","10201","5201067","1"
"102015013","3","501","10201","5201068","1"
"102015014","4","501","10201","5201069","1"
"102015015","5","501","10201","5201070","1"
"102015016","6","501","10201","5201071","1"
"102015017","7","501","10201","5201072","1"
"102015018","8","501","10201","5201073","1"
