dfb950df30d9e306b858504f1dd7fdeddb9aac557d9cbc596dd8c7ca5f306114,e1fb60b915dc1d9f26cd635fcf469ade7e3041398f9fa547bf83beb72be8e624,02b92519a1f7848e67bfd57fca0e3ab9b0dbbbd52a67f1b5822dcb776ab76e6a,da76ae9ffa84c714cc37f697fbf66293996c57c22ab84fda5e9f7a7dc1fa5ef1,640b994f7070ca0ebe6a5e252e16bedb0be425e0b1ffc66d059dee09580430e6,0197d55b6a29d28984db98bc17f1b9daee224eaa4848a93b39fc4daa36ec4f18,8d38c4a605ef8f8c5740c83ff1a9c99537822b4316913ec8096e3a13353691ac,6e81069152d449079aa00edfba4368b57c3493700af35dbdb592cd0799995c2e,68c83648dc58cd2f5e6a9fdad35794ec23be0c937fe2f68bb1fdf3a9e3d9719b,fa0610969b41b706f5e7511a9ace8494dd03e6ac244ab8c1b431cda5e8e43de0,b51bcca6edd25c73f0595cf07cb485e8c8c2e9befbe1badf70fce594d157f917,d2131fab2e859cd8261dac458dccf8acbee1abaa6e6f95a58c0ef7e7d703b7e0
"1","90","1","1","92407120","924073101","500000000","92407110","92407","0","924072101","924071100"
"2","90","2","1","92407130","924073102","1000000000","92407120","92407","92407110","924072102","924071200"
"3","90","3","1","92407140","924073103","1500000000","92407130","92407","92407120","924072103","924071300"
"3","90","4","1","0","924073104","0","92407140","92407","92407130","924072104","924071400"
"1","90","1","1","92407220","924073201","500000000","92407210","92407","0","924072201","924072100"
"2","90","2","1","92407230","924073202","1000000000","92407220","92407","92407210","924072202","924072200"
"3","90","3","1","92407240","924073203","1500000000","92407230","92407","92407220","924072203","924072300"
"3","90","4","1","0","924073204","0","92407240","92407","92407230","924072204","924072400"
"1","90","1","1","92407320","924073301","500000000","92407310","92407","0","924072301","924073100"
"2","90","2","1","92407330","924073302","1000000000","92407320","92407","92407310","924072302","924073200"
"3","90","3","1","92407340","924073303","1500000000","92407330","92407","92407320","924072303","924073300"
"3","90","4","1","0","924073304","0","92407340","92407","92407330","924072304","924073400"
"1","90","1","1","92408120","924083101","500000000","92408110","92408","0","924082101","924081100"
"2","90","2","1","92408130","924083102","1000000000","92408120","92408","92408110","924082102","924081200"
"3","90","3","1","92408140","924083103","1500000000","92408130","92408","92408120","924082103","924081300"
"3","90","4","1","0","924083104","0","92408140","92408","92408130","924082104","924081400"
"1","90","1","1","92408220","924083201","500000000","92408210","92408","0","924082201","924082100"
"2","90","2","1","92408230","924083202","1000000000","92408220","92408","92408210","924082202","924082200"
"3","90","3","1","92408240","924083203","1500000000","92408230","92408","92408220","924082203","924082300"
"3","90","4","1","0","924083204","0","92408240","92408","92408230","924082204","924082400"
"1","90","1","1","92408320","924083301","500000000","92408310","92408","0","924082301","924083100"
"2","90","2","1","92408330","924083302","1000000000","92408320","92408","92408310","924082302","924083200"
"3","90","3","1","92408340","924083303","1500000000","92408330","92408","92408320","924082303","924083300"
"3","90","4","1","0","924083304","0","92408340","92408","92408330","924082304","924083400"
"1","90","1","1","92409120","924093101","500000000","92409110","92409","0","924092101","924091100"
"2","90","2","1","92409130","924093102","1000000000","92409120","92409","92409110","924092102","924091200"
"3","90","3","1","92409140","924093103","1500000000","92409130","92409","92409120","924092103","924091300"
