8740d3df12eda3888a9b281b2c1492d22db79eca39833670cdd13e166d8eae0a,2b050a7c4c054108de2588c9d1e0834ddc6f177acaf4412467a3928741cf9263,30a328b23b84afdeeed2e23565b31e4ce5f66cc0d50ff1f5332a31fad59fa73c,765ae8da837881735f35d5b56ae30902c1eee20d4628dfe8a6b2c7a07f1e28d6,b0ab7fe394d2cba5cafd1c1b831713d6273ea39f38cb83ddc573b13a0fbc290e,8a364e8d59fd368e4af4a48c8dc18817361a893528635f66c55790941b4f06e2,e9d613acbb15c4ea3797e5fd691ca426690e2df13163378ee1310201acac596a,ed404310503eea269c050b6590f40762f73068bca3a37640c5e50f16658ef83b,0b451e8d75e497b466ded45dfa993fb2924a0a130f81e7213f7e63c7252bf553
"0","1.6","","0","1","1","50","610201101","0"
"0","1.8","","200","1","1","-75","610201151","0"
"0","1.6","","0","1","1","50","610201201","0"
"0","1.6","","0","1","1","50","610201202","0"
"0","1.6","","0","1","1","50","610201203","0"
"0","1.65","","200","1","1","-75","610201251","0"
"0","1.8","","200","1","1","-75","610201252","0"
"0","1.8","","200","1","1","-75","610201253","0"
"0","1.6","","0","1","1","50","610201301","0"
"0","1.6","","0","1","1","50","610201302","0"
"0","1.6","","0","1","1","50","610201303","0"
"0","1.65","","200","1","1","-75","610201351","0"
"0","1.8","","200","1","1","-75","610201352","0"
"0","1.8","","200","1","1","-75","610201353","0"
"1","1","","0","0","2","0","610201401","0"
"1","1","","0","0","3","0","610201402","0"
"1","1","","0","0","4","0","610201403","0"
"0","0.78","","0","0","2","0","610201451","-200"
"0","0.78","","0","0","3","0","610201452","-140"
"0","0.78","","0","0","4","0","610201453","-60"
"1","1","","0","0","2","0","610201501","0"
"1","1","","0","0","3","0","610201502","0"
"1","1","","0","0","4","0","610201503","0"
"0","0.78","","0","0","2","0","610201551","-200"
"0","0.78","","0","0","3","0","610201552","-140"
"0","0.78","","0","0","4","0","610201553","-60"
"0","1.7","","190","1","1","-45","610202101","0"
"0","1.4","","190","1","1","-55","610202201","0"
"0","1.7","","190","1","1","-45","610202202","0"
"0","1.7","","190","1","1","-45","610202203","0"
"0","1.4","","190","1","1","-55","610202301","0"
"0","1.7","","190","1","1","-45","610202302","0"
"0","1.7","","190","1","1","-45","610202303","0"
"0","1","","0","0","2","0","610202401","-200"
"0","1","","0","0","3","0","610202402","-140"
"0","1","","0","0","4","0","610202403","-60"
"0","1","","0","0","5","0","610202404","-60"
"0","1","","0","0","2","0","610202501","-200"
"0","1","","0","0","3","0","610202502","-140"
"0","1","","0","0","4","0","610202503","-60"
"0","1","","0","0","5","0","610202504","-60"
"0","1.03","","190","1","1","-80","610203101","0"
"0","0.66","","190","1","1","-42","610203201","0"
"0","1.03","","190","1","1","-80","610203202","0"
"0","1.03","","190","1","1","-80","610203203","0"
"0","0.66","","190","1","1","-42","610203301","0"
"0","1.03","","190","1","1","-80","610203302","0"
"0","1.03","","190","1","1","-80","610203303","0"
"0","0.78","","0","0","2","0","610203401","-200"
"0","0.78","","0","0","3","0","610203402","-140"
"0","0.78","","0","0","4","0","610203403","-60"
"0","0.78","","0","0","5","0","610203404","-30"
"0","0.78","","0","0","2","0","610203501","-200"
"0","0.78","","0","0","3","0","610203502","-140"
"0","0.78","","0","0","4","0","610203503","-60"
"0","0.78","","0","0","5","0","610203504","-30"
"0","1.75","","305","1","1","-65","610204101","0"
"0","1.4","","305","1","1","-55","610204201","0"
"0","1.75","","305","1","1","-65","610204202","0"
"0","1.75","","305","1","1","-65","610204203","0"
"0","1.4","","305","1","1","-55","610204301","0"
"0","1.75","","305","1","1","-65","610204302","0"
"0","1.75","","305","1","1","-65","610204303","0"
"0","0.85","","0","0","2","0","610204401","-200"
"0","0.85","","0","0","3","0","610204402","-140"
