2bc5952020449e8b92632b59eb443aae7da659515651838ff9f059b8e7452a7b,90abe79e2cb4b50ab4d22fbf8df324905fcd1adba367db365effa7fa1fdbedfa,e2a2e6511f688368054f0744a63ba504208958d0a5bd97eb85d32ff6e5a8787e,4cf8ae661b7acec46651ea74a6361cb4587473dcea6c38b56eb45fb3449f49ad,32b2a90be75a90b61c6e8d0756705e62866d899b66e7c8ec3bdd4c645cc03e7b,fddb2b0182a92a8107048236aadfe66bcd75f4351f0d8cf0500a59204ebfef32,559a3f254c88fdba0e255cd3c7921d84532c44c734ed954b50f57b61651df9b5,32a7c3eba45b2be4ac1a9c12118f569ac8802d19ffcdeb65a7e5a2e12d9f5743
"GAME_START","0","start_000-start_001,start_002/start_003-boss_emote_064-start_004","srt_kaya_idle","","srt_dragon_in,srt_dragon_idle","srt_inori_idle",""
"ENEMY_FIRST","2","","srt_kaya_idle","首先由我先來吧！","srt_dragon_idle","srt_inori_idle",""
"ENEMY_TURN1","2","","srt_kaya_waiting","「{0}」嗎？\n由「{1}」韻來開頭的有……","srt_dragon_idle","srt_inori_idle",""
"ENEMY_TURN2","2","","srt_kaya_waiting","「{0}」嗎？\n嗯――，由「{1}」韻當開頭的詞呀……","srt_dragon_idle","srt_inori_idle",""
"ENEMY_TURN3","2","","srt_kaya_waiting","「{0}」嗎？\nOK――，接著是「{1}」韻吧。","srt_dragon_idle","srt_inori_idle",""
"ENEMY_TURN_TW1","2","","srt_kaya_waiting","嘿嘿，是「{0}」嗎？\n「{1}」韻可以用\n「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」的注音來接呢！\n所以可以接的詞有……","srt_dragon_idle","srt_inori_idle",""
"ENEMY_TURN_TW2","2","","srt_kaya_waiting","原來是「{0}」啊？\n「{1}」的韻其實跟很多音相同喔，\n像是「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」這幾個詞，\n嗯――，所以可以用來接「{1}」韻的詞呀……","srt_dragon_idle","srt_inori_idle",""
"ENEMY_TURN_TW3","2","","srt_kaya_waiting","「{0}」嗎？\n「{1}」韻可以跟「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」\n這些單音相接喔……\n好啦，跟這個韻相同開頭的詞有……","srt_dragon_idle","srt_inori_idle",""
"ENEMY_HELP","0","sugoyomi_damage_059,sugoyomi_damage_060,sugoyomi_damage_061,sugoyomi_damage_062,sugoyomi_damage_063","srt_kaya_help","","","","srt_homare_help"
"ENEMY_FLASH","0","","srt_kaya_flash","","","",""
"ENEMY_SELECT1","2","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_kaya_select_1,srt_kaya_waiting","是「{0}」！","srt_dragon_react_1,srt_dragon_idle","srt_inori_react_1,srt_inori_idle",""
"ENEMY_SELECT2","2","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_kaya_select_1,srt_kaya_waiting","是「{0}」呢！","srt_dragon_react_1,srt_dragon_idle","srt_inori_react_1,srt_inori_idle",""
"ENEMY_SELECT3","2","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_kaya_select_1,srt_kaya_waiting","是「{0}」喔！","srt_dragon_react_1,srt_dragon_idle","srt_inori_react_1,srt_inori_idle",""
"ENEMY_SELECT_GREAT1","2","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_kaya_select_1,srt_kaya_waiting","「{0}」怎麼樣啊！","srt_dragon_react_1,srt_dragon_idle","srt_inori_react_1,srt_inori_idle",""
"ENEMY_SELECT_GREAT2","2","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_kaya_select_1,srt_kaya_waiting","嘿嘿～！是「{0}」！","srt_dragon_react_1,srt_dragon_idle","srt_inori_react_1,srt_inori_idle",""
"ENEMY_SELECT_WAIT","-1","","","","","",""
"ENEMY_SELECT_N","1","out_071","srt_kaya_shock","嘉夜夜，最後那是「鼻音」啊……","","",""
"PLAYER_TURN1","1","","srt_kaya_waiting","「{0}」嗎？\n接著是由「{1}」韻所開頭的詞呢。","srt_dragon_thinking","srt_inori_thinking",""
