d6d89d09a1a646bd9f0f1775e4d11068a836c2dc5b106147785aea3a76ea51f9,87000a32137c3cd35b38cf302874ec6520378c0432ae37a435b3895f7d43464c,07d8fe3759f6f507b22e8501ca728fa6556c58069e980db78ea21caacdb35ed9,40e8f0329b451563f274bfbe3fbd5bcf725bdc861e73b2dab1a9549b7f8b7022,23c81d05c43cf7928b8e44c14a6502539bd80bdaf08cae109fac4b0419a9b102,8e6b508b55fa9e0baccd3b5630f0f23a6540c5a73192c85d2ff0228714fcb87c,89b2ab61eedd32adf98299e6a6a8fcd9def79d2985b51998c1776b6ca13b2799,457c8c3201e64457d06cb96562161d2bd94672388131331d7be297357112f66a,789ddb83c2c0687a37034a6e6631577300383e181ec478d7b8da637b21d85b5f,a7adb20b215eb13295c93b14610e4339e0abc935464fecd5b28912287a161972,f7700ef0d0ebd24d12972ff98aadb62d4073c8a4dd1cedb2de11b670a013ad87
"5","1","dsb_idle_normal","1010801","0","10","2","-165","70","1010801001","-345"
"5","2","dsb_idle_worry","1010801","1","4","2","165","70","1010801002","-345"
"5","99","dsb_lago","1010801","0","10","2","-215","70","1010801003","-350"
"31","1","","1010801","","1","1","0","0","1010801004","1"
"31","3","","1010801","","3","1","0","0","1010801005","1"
"31","4","","1010801","","4","1","0","0","1010801006","1"
"31","10","","1010801","","14","1","0","0","1010801007","1"
"31","20","","1010801","","24","1","0","0","1010801008","1"
"31","30","","1010801","","34","1","-168","155","1010801009","1"
"31","31","","1010801","","34","1","-168","-155","1010801010","1"
"31","32","","1010801","","42","1","-175","-222","1010801011","1"
"31","40","","1010801","","40","0","0","0","1010801012","1"
"13","170","","1010801","","1","","","","1010801013",""
"13","170","","1010801","","2","","","","1010801014",""
"91","","","1010801","","0","","","","1010801015",""
"23","se_10044200_cmn_amb","","1010801","","se_10044200","","","1","1010801016",""
"23","se_10044200_cmn_steam","","1010801","","se_10044200","","","0","1010801017",""
"93","0","","1010801","","6","","","","1010801018",""
"23","se_10044200_hotspring_04","","1010801","","se_10044200","","","1","1010801019",""
"93","0","","1010801","","1.5","","","","1010801020",""
"3","dsb_talk_anger_Ex8","","1010801","","2","0.5","","1","1010801021",""
"21","vo_dsb_1001","","1010801","","vo_dsb_1010801","","0","0","1010801022",""
"11","好、好燙～！！\n這裡的水溫很奇怪耶……\n老大，這是怎麼回事！？","0.2","1010801","0","2","0","1","10","1010801023","1"
"91","","","1010801","","0","","","","1010801024",""
"3","dsb_idle_worry","","1010801","","2","0.5","","1","1010801025",""
"3","dsb_talk_worry_Ex3","","1010801","","1","0.5","","1","1010801026",""
"21","vo_dsb_1002","","1010801","","vo_dsb_1010801","","0","0","1010801027",""
"11","現在別叫我老大，\n要叫我小老闆娘呀～？","0.2","1010801","0","1","0","1","10","1010801028","1"
"91","","","1010801","","0","","","","1010801029",""
"3","dsb_idle_normal","","1010801","","1","0.5","","1","1010801030",""
"3","dsb_talk_doya_sing","","1010801","0.5","2","0.5","dsb_talk_doya_sing_loop","0","1010801031","1"
"21","vo_dsb_1003","","1010801","","vo_dsb_1010801","","0","0","1010801032",""
