7dd3a3d872de8fccd6ded16c893f32ff3b2285e3482876d9616dab2d5d16f524,bf7a185e287f98d02319f9a0e741f39be37af708bd2e8cdade8ddf6a3128e61d,8157d7e07628ba08f78ac96fbba8562e6a411ff66ed1851ebfde99e3921a30b2,7527b1a852c3e48128095c5a1237d3c6f53462a07c48db3091af2cbec042c14a,8eead88d1cf29cdee977a001e58628ec7e37ce7341f9b9d67dea823ef1a90d8d,5dbe0f18d187c96c29787abc75022695eed8ab7d01e59557bb96b975e9150cb6,f817a09bd4dbbc1357ef2b9398d9475057b3b1f00749888c43dbe51a866bcef6,b0b78347ca0e698440e4d969cdac1b3cb4b4261f0636403617efd1e0e25f666b,a9aeaca75119d64898d9ec0d26311382700b6098598e6552929d683e56edf20d,cf6138aa3fddcbced18b45ae14e3edd00690d0a9ec8d47d8293819adcb0a5f81,bee06b11ef7d24161c0583c559216489d7a14fba8f2535fd1f2ee5d4dffe664a,809b8dbaaa023f28dacd8f556c4163e2eb0f179381d7b02b68a53075953b2e70
"0","0","0","0","1","0","0","0","0","0","0","0"
"0","0","0","800","11002","0","1","0","1","3","2","0"
"0","0","0","500","12001","0","1","0","1","1","1","0"
"0","0","0","700","12002","0","1","0","1","1","1","0"
"0","0","0","600","13001","0","1","0","1","1","2","0"
"0","0","0","700","13002","0","1","0","1","1","2","0"
"0","0","0","600","14002","0","1","0","1","1","2","0"
"0","0","0","900","21001","0","1","0","2","3","2","0"
"0","0","0","0","22001","0","2","0","8000","0","0","0"
"0","0","0","1","23001","0","3","1","5","99","1","0"
"0","0","0","1","23002","0","3","1","7","99","1","0"
"0","0","0","3","25001","0","5","1","0","0","4","0"
"0","0","1","0","25002","0","5","0","0","0","1","0"
"0","0","0","3","25003","0","5","1","1","0","4","0"
"0","0","1","0","25004","0","5","0","1","0","1","0"
"0","0","40","37","26001","0","6","0","76","0","0","0"
"0","0","1","1","27001","0","7","0","2","0","0","0"
"0","0","1","1","27002","0","7","0","3","0","0","0"
"0","0","0","0","28001","0","8","0","0","0","0","0"
