9e1c56f4b45eb6c8453fcb28b2688dda9d48964aea4ca4be6c59e7fb210cadde,b0a8fd01c8567d8611baefbf1f60e95d39628985d39d747aa5decbbeec27adab,8be87af8f32a343fa18b0de830d9edc67ce088c81a3d6bb40e9c42f9521b1dc8,0a8d3c2992dbef5c16a4e1044f7660614af84c5bf58b6dd4a111a43c4fbf011e,b0915af863b6ffcb5fd6b905cff691318dbd579f5d3fa4ababd164f1b0f26252,1f53379008cf2f3c7feeac37f138c3c3226cd647689504df86352375cd65b37d,f8b4b9aee5a690e5c04458afd936a137c23d08d4fcc64cc9927231e46a8cbc1d,d7edd7e682476342d837268be893da42cef9a96bb6afa02fcfe5cb5eea4d5f49,ca0eab53fc3eb2a68bab413ff91f2a364eac728f6efe810bb4275065a39ff252,543a1b93bdad341f7ebd04472f967e5c8e943d72a55d864dd89a56d6c42b2dfb,7e457420f11e446147dbe53402090a94c031d207e6d964ff925c9ae858182069
"1.65","122611","sjr_talk_idle","-194","100","40","1001","1","1","1","1"
"0.2","sjr_talk_wish_look","","","1","","1002","3","","1","122611"
"","vo_minigame_1010_top_talk_1_001","","","0","0","1003","21","","1","vo_minigame_1010"
"0","騎士先生……\n要看著我喔。\n我會努力\n奔跑的……！","1","0","10","1","1004","11","0","1","122611"
"","","","","","","1005","91","","1","0"
"0.2","sjr_talk_idle","","","1","","1006","3","","1","122611"
"1.65","122611","sjr_talk_idle","-194","100","40","2001","1","1","2","1"
"0.2","sjr_talk_mouth_hidden_shy","","","1","","2002","3","","2","122611"
"","vo_minigame_1010_top_talk_1_002","","","0","0","2003","21","","2","vo_minigame_1010"
"0","要穿著泳衣跑……？\n唔唔……好害羞……\n要是脫落怎麼辦……","1","0","5","1","2004","11","0","2","122611"
"","","","","","","2005","91","","2","0"
"0.2","sjr_talk_idle","","","1","","2006","3","","2","122611"
"1.65","122611","sjr_talk_idle","-194","100","40","3001","1","1","3","1"
"0.2","sjr_talk_stepback_surprise_worry","","1","0","sjr_talk_stepback_worry","3002","3","0","3","122611"
"","vo_minigame_1010_top_talk_1_003","","","0","0","3003","21","","3","vo_minigame_1010"
"0","那個人的速度\n好像很快……！\n我贏得了嗎……？","1","0","7","1","3004","11","0","3","122611"
"","","","","","","3005","91","","3","0"
"0.2","sjr_talk_idle","","","1","","3006","3","","3","122611"
"1.65","122611","sjr_talk_idle","-194","100","40","4001","1","1","4","1"
"0.2","sjr_talk_thinking_surprise","","","1","","4002","3","","4","122611"
"","vo_minigame_1010_top_talk_1_004","","","0","0","4003","21","","4","vo_minigame_1010"
"0","有很多奇特的\n路線呢。\n要選哪個呢……？","1","0","5","1","4004","11","0","4","122611"
"","","","","","","4005","91","","4","0"
"0.2","sjr_talk_idle","","","1","","4006","3","","4","122611"
"1.65","122611","sjr_talk_idle","-194","100","40","5001","1","1","5","1"
"0.2","sjr_talk_guts2_anger","","1","0","sjr_talk_guts2_anger_loop","5002","3","0","5","122611"
"","vo_minigame_1010_top_talk_1_005","","","0","0","5003","21","","5","vo_minigame_1010"
"0","怜與\n日和……\n為了不輸給她們，\n我也會盡全力的……！","1","0","6","1","5004","11","0","5","122611"
"","","","","","","5005","91","","5","0"
"0.2","sjr_talk_idle","","","1","","5006","3","","5","122611"
"1.65","122511","sjr_talk_idle","-194","100","40","6001","1","1","6","1"
"0.2","sjr_talk_arm_crossed_joy_look","","1","0","sjr_talk_arm_crossed_look_loop","6002","3","0","6","122511"
"","vo_minigame_1010_top_talk_1_006","","","0","0","6003","21","","6","vo_minigame_1010"
"0","像這樣彼此競賽\n很不錯呢。\n也麻煩你\n替我加油囉。","1","0","5","1","6004","11","0","6","122511"
"","","","","","","6005","91","","6","0"
"0.2","sjr_talk_idle","","","1","","6006","3","","6","122511"
"1.65","122511","sjr_talk_idle","-194","100","40","7001","1","1","7","1"
"0.2","sjr_talk_mouth_hidden2_shy","","","1","","7002","3","","7","122511"
"","vo_minigame_1010_top_talk_1_007","","","0","0","7003","21","","7","vo_minigame_1010"
"0","穿這樣跑\n好羞恥啊……\n別盯著我看……","1","0","4","1","7004","11","0","7","122511"
"","","","","","","7005","91","","7","0"
"0.2","sjr_talk_idle","","","1","","7006","3","","7","122511"
"1.65","122511","sjr_talk_idle","-194","100","40","8001","1","1","8","1"
"0.2","sjr_talk_mouth_hidden","","","1","","8002","3","","8","122511"
"","vo_minigame_1010_top_talk_1_008","","","0","0","8003","21","","8","vo_minigame_1010"
"0","哦，看來強者\n雲集啊。\n這下我也得\n使出全力了……！","1","0","5","1","8004","11","0","8","122511"
"","","","","","","8005","91","","8","0"
"0.2","sjr_talk_idle","","","1","","8006","3","","8","122511"
"1.65","122511","sjr_talk_idle","-194","100","40","9001","1","1","9","1"
"0.2","sjr_talk_stepback_surprise","","","1","","9002","3","","9","122511"
