4eec9e1a5e1ba1ebc3c42776fae0a4e5e8c26535eab4ec3de0cd838c8e7f73e1,af187009869d7953336d864de9fc62ac97779379dc13044ba50afac86e1e2d5d,09b782de5f8272ce575bcd59c003d3b012cfcb391492290dcb9432c114b8a193,78e7756f7caf3d692661a873e1f077b3bdcf0779e1e17007e93d294192b0c876,7b2611eb5d722ce37dd30ef8a2c0c684e24fb9ea24201e025ff09db0d0b0449d,4da468f36c3afd9d44e0d4f8f1b7a2201199e799a7e5166c8f2b40bec90a5506,b8c2710eb894fa064e722b3ad8dc19518992843e25b12b092a3522df64a76d67,93f3ef57351dc67d78987e6a4b9392c04a076a4b224cd1d7f38373b0da0ee03a,b681d1218794459863be3ef1db1e7fb2ec5da6d8ec17c70031f428d39475e2f5,8456e25f3c2297e098b080e5ff477c4c8d616f0430b412d8f9c4bc23aaa7adc4,617c40c6c172cf34e48e1a9ba9ea8a9ceaef594f8337febbf521ca5196a67a9e,39ba57d71a30cdf38356e92c895310c636e1cb9f936771156cd9bffa9815509b
"0","0","0.8","1","5154062","0","515406201","0","0","0","4","1"
"0","0","0","0","5154062","vo_abd","515406202","vo_abd_0101","0","0","2","2"
"300","2","0","0","5154062","0","515406203","0","1","0","1","3"
"0","0","2.1","1","5154062","0","515406204","0","0","0","4","4"
"0","0","0","0","5154062","vo_abd","515406205","vo_abd_0102","0","0","2","5"
"400","2.05","0","0","5154062","0","515406206","0","2","0","1","6"
"0","0","3.2","1","5154062","0","515406207","0","0","0","4","7"
"0","0","0","0","5154062","vo_abd","515406208","vo_abd_0103","0","0","2","8"
"60","1","0","0","5154062","0","515406209","0","3","0","1","9"
"0","0","1.4","1","5154062","0","515406210","0","0","0","4","10"
"430","2.5","0","0","5154062","0","515406211","0","3","60","1","11"
"0","0","3.3","1","5154062","0","515406212","0","0","0","4","12"
"0","0","0","0","5154062","vo_abd","515406213","vo_abd_0104","0","0","2","13"
"39","0.2","0","0","5154062","0","515406214","0","4","0","1","14"
"0","0","0.5","1","5154062","0","515406215","0","0","0","4","15"
"77","0.2","0","0","5154062","0","515406216","0","4","39","1","16"
"0","0","0.6","1","5154062","0","515406217","0","0","0","4","17"
"205","0.8","0","0","5154062","0","515406218","0","4","77","1","18"
"0","0","1.2","1","5154062","0","515406219","0","0","0","4","19"
"410","1.8","0","0","5154062","0","515406220","0","4","205","1","20"
"0","0","2.2","1","5154062","0","515406221","0","0","0","4","21"
"0","0","0","0","5154062","vo_abd","515406222","vo_abd_0105","0","0","2","22"
"69","0.6","0","0","5154062","0","515406223","0","5","0","1","23"
"0","0","1","1","5154062","0","515406224","0","0","0","4","24"
"195","0.7","0","0","5154062","0","515406225","0","5","69","1","25"
"0","0","1.5","1","5154062","0","515406226","0","0","0","4","26"
"315","0.8","0","0","5154062","0","515406227","0","5","195","1","27"
"0","0","1","1","5154062","0","515406228","0","0","0","4","28"
