f330cc9ddfb0efafe337ff890a625198243f5b20577093a6f47bad75e25444b6,09fbfb07fe21f1a06423525e51dfb959e881b56328e92b54da9a39143d7f863b,df4e4020ef52b957fa175ade518ff48fe74e3f9333e2549b3ffe0cc3ff68b08f,fbd6b06391e1fecbe316abaadb0f04feae03753f356aa53038174bc9648bcf6c,b1527ced9cb805a6127124350ad13368c4dc367e4889d1567ed5c9686b49ed6b,f64257a143e01f512c0f40e05eb55f2b8cfb5f43ae59daf0bc3594414874b139,217b978c1760c4cf5fdb78cfb04ad2e26658bbb247b756682f736237c1934686,97a1c634220ba40b48a1cc007ef0009f299894b66a2e68a8bb3c08e6e03a29be,12607a7533d91bd3edc9d21cc28365a55c06d288deb013089323018651bc64f3,f255ad2cbe6edee7e5267f11a3f67fc65b08227342779593becbd40a04f117f9,c70907ed8c1e6123ea8ab63154ab1d89af53c61715951b0ce03085285f413ab7,89f11a9975b88cf7a416a0591963ca4b842bc8c41144ff770329a4dbabff4ef0,787fb425e36294a38f071161e0fcfe39a9abc8d75b6b7c0a78c4856e2cce31e6,4abb3378dd8c7e2185c3400cfaefaea96b32981d941b24c0cf909a130753b1e0,d038840e50dab1c70adaad64cc88caf78354adcf03c3fc1dd8b40d814fb0da32,d4bc40e2858e222c7c162998b609e5c9562af3a08435035742017a008c4ca8e8,5b183d2d34658750d4e5e31ffc00cfcd6625af03ae4894b34c66f92d59e99f47,9760187458da8a6e7f2f1a4254d7a8da54b089593dba305b07d50d0aaccca514,9fe6c917efe8e38ac1b33395a635877939e8e16c3337c72fcebff39c7e559a5c
"41001","0","0","0","1","12","0","1100101","0","100101","2","20000000","31001","0","94000","0","0","120","0"
"41002","0","0","0","1","12","0","1100201","0","100201","2","20000000","31002","0","94000","0","0","120","0"
"41003","0","0","0","1","12","0","1100301","0","100301","2","20000000","31003","0","94000","0","0","120","0"
"41004","0","0","0","1","12","0","1100401","0","100401","2","20000000","31004","0","94000","0","0","120","0"
"41005","0","0","0","1","12","0","1100501","0","100501","2","20000000","31005","0","94000","0","0","120","0"
"41006","0","0","0","1","12","0","1100601","0","100601","2","20000000","31006","0","94000","0","0","120","0"
"41007","0","0","0","1","12","0","1100701","0","100701","2","20000000","31007","0","94000","0","0","120","0"
"41008","0","0","0","1","12","0","1100801","0","100801","2","20000000","31008","0","94000","0","0","120","0"
"41009","0","0","0","1","12","0","1100901","0","100901","2","20000000","31009","0","94000","0","0","120","0"
"41010","0","0","0","1","12","0","1101001","0","101001","2","20000000","31010","0","94000","0","0","120","0"
"41011","0","0","0","1","12","0","1101101","0","101101","2","20000000","31011","0","94000","0","0","120","0"
"41012","0","0","0","1","12","0","1101201","0","101201","2","20000000","31012","0","94000","0","0","120","0"
"41013","0","0","0","1","12","0","1101301","0","101301","2","20000000","31013","0","94000","0","0","120","0"
"41014","0","0","0","1","12","0","1101401","0","101401","2","20000000","31014","0","94000","0","0","120","0"
"41015","0","0","0","1","12","0","1101501","0","101501","2","20000000","31015","0","94000","0","0","120","0"
"41016","0","0","0","1","12","0","1101601","0","101601","2","20000000","31016","0","94000","0","0","120","0"
"41017","0","0","0","1","12","0","1101701","0","101701","2","20000000","31017","0","94000","0","0","120","0"
"41018","0","0","0","1","12","0","1101801","0","101801","2","20000000","31018","0","94000","0","0","120","0"
"41020","0","0","0","1","12","0","1102001","0","102001","2","20000000","31020","0","94000","0","0","120","0"
"41021","0","0","0","1","12","0","1102101","0","102101","2","20000000","31021","0","94000","0","0","120","0"
"41022","0","0","0","1","12","0","1102201","0","102201","2","20000000","31022","0","94000","0","0","120","0"
"41023","0","0","0","1","12","0","1102301","0","102301","2","20000000","31023","0","94000","0","0","120","0"
"41025","0","0","0","1","12","0","1102501","0","102501","2","20000000","31025","0","94000","0","0","120","0"
"41026","0","0","0","1","12","0","1102601","0","102601","2","20000000","31026","0","94000","0","0","120","0"
"41027","0","0","0","1","12","0","1102701","0","102701","2","20000000","31027","0","94000","0","0","120","0"
"41028","0","0","0","1","12","0","1102801","0","102801","2","20000000","31028","0","94000","0","0","120","0"
"41029","0","0","0","1","12","0","1102901","0","102901","2","20000000","31029","0","94000","0","0","120","0"
"41030","0","0","0","1","12","0","1103001","0","103001","2","20000000","31030","0","94000","0","0","120","0"
"41031","0","0","0","1","12","0","1103101","0","103101","2","20000000","31031","0","94000","0","0","120","0"
"41032","0","0","0","1","12","0","1103201","0","103201","2","20000000","31032","0","94000","0","0","120","0"
"41033","0","0","0","1","12","0","1103301","0","103301","2","20000000","31033","0","94000","0","0","120","0"
"41034","0","0","0","1","12","0","1103401","0","103401","2","20000000","31034","0","94000","0","0","120","0"
"41036","0","0","0","1","12","0","1103601","0","103601","2","20000000","31036","0","94000","0","0","120","0"
"41037","0","0","0","1","12","0","1103701","0","103701","2","20000000","31037","0","94000","0","0","120","0"
"41038","0","0","0","1","12","0","1103801","0","103801","2","20000000","31038","0","94000","0","0","120","0"
"41040","0","0","0","1","12","0","1104001","0","104001","2","20000000","31040","0","94000","0","0","120","0"
"41042","0","0","0","1","12","0","1104201","0","104201","2","20000000","31042","0","94000","0","0","120","0"
"41043","0","0","0","1","12","0","1104301","0","104301","2","20000000","31043","0","94000","0","0","120","0"
"41044","0","0","0","1","12","0","1104401","0","104401","2","20000000","31044","0","94000","0","0","120","0"
"41045","0","0","0","1","12","0","1104501","0","104501","2","20000000","31045","0","94000","0","0","120","0"
"41046","0","0","0","1","12","0","1104601","0","104601","2","20000000","31046","0","94000","0","0","120","0"
"41047","0","0","0","1","12","0","1104701","0","104701","2","20000000","31047","0","94000","0","0","120","0"
"41048","0","0","0","1","12","0","1104801","0","104801","2","20000000","31048","0","94000","0","0","120","0"
"41049","0","0","0","1","12","0","1104901","0","104901","2","20000000","31049","0","94000","0","0","120","0"
"41050","0","0","0","1","12","0","1105001","0","105001","2","20000000","31050","0","94000","0","0","120","0"
"41051","0","0","0","1","12","0","1105101","0","105101","2","20000000","31051","0","94000","0","0","120","0"
"41052","0","0","0","1","12","0","1105201","0","105201","2","20000000","31052","0","94000","0","0","120","0"
"41053","0","0","0","1","12","0","1105301","0","105301","2","20000000","31053","0","94000","0","0","120","0"
"41054","0","0","0","1","12","0","1105401","0","105401","2","20000000","31054","0","94000","0","0","120","0"
"41055","0","0","0","1","12","0","1105501","0","105501","2","20000000","31055","0","94000","0","0","120","0"
"41056","0","0","0","1","12","0","1105601","0","105601","2","20000000","31056","0","94000","0","0","120","0"
