5c66ec96f2bf687e8abee1594c3158c7c7ad14408a409607f9f0df70a437bdef,8c323c46a747a5bf1fde8c310dd02ca6809f1ec7c3d310f8fc1f426cf7ff3595,2275eee719bd353fc76bf5f83b0fc97f78b250a87afe8047642bf82475a7131a,624990cf10b5a90be4f2dd7ebe9df606e6229c5b0a008ac2651ab17026dbbeb2,bfff01572ffd8def5edc46e39bc3d61ecaafeb3445e4e982986c676dc72b60bb,5b30a43faad8ad8311e20c188bc54adc5fc661514ce981f293c2a9b8430be00e,dd12758354f5579408520405ebd36c5a2cded4442dacd0367205bc379a493882,ade4b530217004b25900f4e22e59034b2644199ad5a0762883ab44b487429af8,fbaa392a4fe8a60bfcb3cde6598da8b21e56cc1de2a8a55afd44e79817b69050
"8","53003","1","7","6","5","-1","10001","22"
"4","53002","1","7","6","5","-1","10002","22"
"6","53003","1","6","5","4","5","10101","22"
"5","53002","1","6","5","4","5","10102","22"
"5","53003","1","5","4","3","4","10201","22"
"5","53002","1","5","4","3","4","10202","22"
"4","53003","1","4","3","3","3","10301","22"
"3","53002","1","4","3","3","3","10302","22"
"3","53003","1","3","2","2","2","10401","22"
"2","53002","1","3","2","2","2","10402","22"
"2","53003","1","2","1","1","1","10501","22"
"1","53002","1","2","1","1","1","10502","22"
"2","53002","1","1","0","1","0","10601","22"
"8","53003","2","7","6","5","-1","10701","22"
"4","53002","2","7","6","5","-1","10702","22"
"6","53003","2","6","5","4","5","10801","22"
"5","53002","2","6","5","4","5","10802","22"
"5","53003","2","5","4","3","4","10901","22"
"5","53002","2","5","4","3","4","10902","22"
"4","53003","2","4","3","3","3","11001","22"
"3","53002","2","4","3","3","3","11002","22"
"3","53003","2","3","2","2","2","11101","22"
"2","53002","2","3","2","2","2","11102","22"
"2","53003","2","2","1","1","1","11201","22"
"1","53002","2","2","1","1","1","11202","22"
"2","53002","2","1","0","1","0","11301","22"
"8","53003","3","7","6","5","-1","11401","22"
"4","53002","3","7","6","5","-1","11402","22"
"6","53003","3","6","5","4","5","11501","22"
"5","53002","3","6","5","4","5","11502","22"
"5","53003","3","5","4","3","4","11601","22"
"5","53002","3","5","4","3","4","11602","22"
"4","53003","3","4","3","3","3","11701","22"
"3","53002","3","4","3","3","3","11702","22"
"3","53003","3","3","2","2","2","11801","22"
"2","53002","3","3","2","2","2","11802","22"
"2","53003","3","2","1","1","1","11901","22"
"1","53002","3","2","1","1","1","11902","22"
"2","53002","3","1","0","1","0","12001","22"
"8","53003","4","7","6","5","-1","12101","22"
"4","53002","4","7","6","5","-1","12102","22"
"6","53003","4","6","5","4","5","12201","22"
"5","53002","4","6","5","4","5","12202","22"
"5","53003","4","5","4","3","4","12301","22"
"5","53002","4","5","4","3","4","12302","22"
"4","53003","4","4","3","3","3","12401","22"
"3","53002","4","4","3","3","3","12402","22"
"3","53003","4","3","2","2","2","12501","22"
"2","53002","4","3","2","2","2","12502","22"
"2","53003","4","2","1","1","1","12601","22"
"1","53002","4","2","1","1","1","12602","22"
"2","53002","4","1","0","1","0","12701","22"
"8","53003","5","7","6","5","-1","12801","22"
"4","53002","5","7","6","5","-1","12802","22"
"6","53003","5","6","5","4","5","12901","22"
"5","53002","5","6","5","4","5","12902","22"
"5","53003","5","5","4","3","4","13001","22"
"5","53002","5","5","4","3","4","13002","22"
"4","53003","5","4","3","3","3","13101","22"
"3","53002","5","4","3","3","3","13102","22"
"3","53003","5","3","2","2","2","13201","22"
"2","53002","5","3","2","2","2","13202","22"
"2","53003","5","2","1","1","1","13301","22"
"1","53002","5","2","1","1","1","13302","22"
"2","53002","5","1","0","1","0","13401","22"
"8","53003","6","7","6","5","-1","13501","22"
"4","53002","6","7","6","5","-1","13502","22"
"6","53003","6","6","5","4","5","13601","22"
"5","53002","6","6","5","4","5","13702","22"
"5","53003","6","5","4","3","4","13801","22"
"5","53002","6","5","4","3","4","13902","22"
"4","53003","6","4","3","3","3","14001","22"
"3","53002","6","4","3","3","3","14002","22"
"3","53003","6","3","2","2","2","14101","22"
"2","53002","6","3","2","2","2","14102","22"
"2","53003","6","2","1","1","1","14201","22"
"1","53002","6","2","1","1","1","14202","22"
"2","53002","6","1","0","1","0","14301","22"
"8","53003","7","7","6","5","-1","14401","22"
"4","53002","7","7","6","5","-1","14402","22"
"6","53003","7","6","5","4","5","14501","22"
"5","53002","7","6","5","4","5","14502","22"
"5","53003","7","5","4","3","4","14601","22"
"5","53002","7","5","4","3","4","14701","22"
"4","53003","7","4","3","3","3","14801","22"
"3","53002","7","4","3","3","3","14802","22"
"3","53003","7","3","2","2","2","14901","22"
"2","53002","7","3","2","2","2","14902","22"
"2","53003","7","2","1","1","1","15001","22"
"1","53002","7","2","1","1","1","15002","22"
"2","53002","7","1","0","1","0","15101","22"
"8","53003","8","7","6","5","-1","15201","22"
"4","53002","8","7","6","5","-1","15202","22"
"6","53003","8","6","5","4","5","15301","22"
"5","53002","8","6","5","4","5","15302","22"
"5","53003","8","5","4","3","4","15401","22"
"5","53002","8","5","4","3","4","15402","22"
"4","53003","8","4","3","3","3","15501","22"
"3","53002","8","4","3","3","3","15502","22"
"3","53003","8","3","2","2","2","15601","22"
"2","53002","8","3","2","2","2","15602","22"
"2","53003","8","2","1","1","1","15701","22"
"1","53002","8","2","1","1","1","15702","22"
"2","53002","8","1","0","1","0","15901","22"
"8","53003","9","7","6","5","-1","16001","22"
"4","53002","9","7","6","5","-1","16002","22"
"6","53003","9","6","5","4","5","16101","22"
"5","53002","9","6","5","4","5","16102","22"
"5","53003","9","5","4","3","4","16201","22"
"5","53002","9","5","4","3","4","16202","22"
"4","53003","9","4","3","3","3","16301","22"
"3","53002","9","4","3","3","3","16302","22"
"3","53003","9","3","2","2","2","16401","22"
"2","53002","9","3","2","2","2","16402","22"
"2","53003","9","2","1","1","1","16501","22"
"1","53002","9","2","1","1","1","16502","22"
"2","53002","9","1","0","1","0","16601","22"
