71aa3726c9bcefcc84df4a57e781ae4a130bd63a3ba937615634525f3f161195,1e8b803e63ba8a5ce0d1673b76e44a30cd604e5fb0d5f9e3551368632fd9d021,1b5197eee26fe93357dda5d036f152d5f35e19838195d88b7d6ba6682e6ca480,0fcdcde5789023e573edf751e81d943fac2105c7d13969dc77dea7937f4ba5ba,0c3bf6d6f339faa50b419ede4bec9cb8464966902545437172ec3f6d9124949f,e055dd16b7f239b327e9b9f1cf704e9dec9be79d7bcf1dca0204dba0a3a46170,37f614716038de4250039034f287e6c9bf95b6824c5bc8954638ed07e91a4b3c,ec24265638288367cc9480abc85b16f9b7b9d614f91ded80914205b209dd0c42,8628a4e2174da79185bca2e70b728757054b00c0edbfc96d0cd090309ec64ace,876c983bc0468a8bab7ae8209000a5976249633addeb9ccbfbc90fe2b1d72701,d27cb4b0823e4f3e14c699697a91d80212e28921df80c84ee94c97d5ab881dd3,a4f6a5e3f6cf16b8dac44919afe612d1e1ca5d9fa6f402b7bee0f23756463791,5fdcde11d85c8f97a267409e8fb3d0ba51016b60d9f9d765e247d9170d6451f2,bf61250fa538e7e7a5d8cd292c870d8667dc41a65f3463441660fd03aaf2a8c3,a7cf6adc0bb3b28f9d19760878fb06f7a99747f4024cbe5378741c59c9c5b80d,0a87fada9ed3b84f1d8a42de1c44a78efea3fc94d8ab85f384e1da9b7399eead,bc25e8737c5a28850e1232b0fb2f0ed5ceb0a529857009608464e4c10e26a994,d74b8b9bed5030db416fee9939e16c4d3b1ce8bfc332b93e6b28d53e4838216a,323c0918340daafcdfa6b0c49e8cd3b78118f8baf22005b5a98cf5cd4bd0bd37
"610010401","1.5","0","610010004","0","0","5","","1","5010321","0","0","0","0","2","10010","90","0","0"
"610010402","1.5","0","610010005","108","0","5","","2","5010322","0","0","0","0","3","10010","90","0","0"
"0","1.5","0","610010006","0","0","5","","3","0","0","0","0","0","1","10010","90","0","0"
"0","1.5","0","610011004","0","5011321","5","","1","5011322","0","0","70","0","1","10011","90","0","0"
"0","1.5","0","610011005","0","0","5","","2","5011323","0","0","40","0","1","10011","90","0","0"
"0","1.5","0","610011006","0","0","5","","3","0","0","0","0","0","1","10011","90","0","0"
"610012401","1.5","0","610012004","0","0","5","","1","5012321","0","1","0","600","2","10012","90","3","0"
"0","1.5","0","610012005","0","0","5","","2","5012322","0","1","51","0","1","10012","90","0","0"
"0","1.5","0","610012006","0","0","5","","3","0","0","1","0","0","1","10012","90","0","0"
"610013401","1.5","50","610013004","0","0","5","","1","5013321","0.9","1","0","600","2","10013","90","3","0"
"0","1.5","84","610013005","0","0","5","","2","5013322","1","0","50","0","1","10013","90","0","0"
"0","1.5","84","610013006","0","0","5","","3","0","1","0","0","0","1","10013","90","0","0"
"610015401","1.5","1","610015004","0","0","5","","1","5015321","0.9","1","0","600","2","10015","90","3","0"
"0","1.5","-50","610015005","0","0","5","","2","5015322","1.3","1","50","0","1","10015","90","0","0"
"0","1.5","-50","610015006","0","0","5","","3","0","1.3","1","0","0","1","10015","90","0","0"
"610017401","1.5","50","610017004","0","0","5","","1","5017321","0.9","1","0","600","2","10017","90","3","0"
"0","1.5","84","610017005","0","0","5","","2","5017322","1","1","50","0","1","10017","90","0","0"
