aea7411ecdc387144fc0583a3f11225c5d093187af6765d207f4cb0c401d8b31,b3314a2991d57dec9c8a18eab455b6210055f3ffab1984765b04fd94aca72021,1de19d675a07706f9b9e24e5e6dd89357d6631557a3d52fe2ee63dc005ddc522
"50183","1","101"
"50183","2","102"
"50183","3","103"
"50183","4","104"
"50183","5","1"
"50183","6","2"
"50183","7","3"
"50183","8","4"
"50183","9","5"
"50183","10","6"
"50217","1","105"
"50217","2","101"
"50217","3","102"
"50217","4","103"
"50217","5","104"
"50217","6","1"
"50217","7","2"
"50217","8","3"
"50217","9","4"
"50217","10","5"
"50217","11","6"
"50248","1","105"
"50248","2","101"
"50248","3","102"
"50248","4","103"
"50248","5","104"
"50248","6","1"
"50248","7","2"
"50248","8","3"
"50248","9","4"
"50248","10","5"
"50248","11","6"
"50278","1","105"
"50278","2","101"
"50278","3","102"
"50278","4","103"
"50278","5","104"
"50278","6","1"
"50278","7","2"
"50278","8","3"
"50278","9","4"
"50278","10","5"
"50278","11","6"
