e223444ed73ebf3a50b82d9b3c4dfe95b2d4092f9b42543dc4a7eddb0bb5eb38,17aef966ade87b0c63c70dca75b4e7a282cd5da096f632139ef03b24b1f43238,1bc6c76afdd597121af913abf8fe1cdcae404db43f4a4c52b3b52089c9a5fdb4,a06ff330b31783d29cb5e6d561a819a1105d83b6c3a8597d87b928f53ab2ce2f,1db83e4be2ecf520b6d39bd7f5634c83fba05294b6822466e8afb6987c8f8738
"31058","1","2","30","10101001"
"20001","1","2","100","10101002"
"101011","1","4","20","10101003"
"101071","2","4","20","10101003"
"101101","3","4","20","10101003"
"101131","4","4","20","10101003"
"101161","5","4","20","10101003"
"101191","6","4","20","10101003"
"101251","7","4","20","10101003"
"101281","8","4","20","10101003"
"101371","9","4","20","10101003"
"101401","10","4","20","10101003"
"101431","11","4","20","10101003"
"101521","12","4","20","10101003"
"101551","13","4","20","10101003"
"101581","14","4","20","10101003"
"101611","15","4","20","10101003"
"24027","1","2","1","10101004"
"94002","1","12","300000","10101005"
"31059","1","2","30","10101006"
"25011","2","2","300","10101006"
"25012","3","2","300","10101006"
"25013","4","2","300","10101006"
"25014","5","2","300","10101006"
"25015","6","2","300","10101006"
"31010","1","2","145","10101007"
"0","1","5","1000","10101008"
"0","1","5","1000","10101009"
"31060","1","2","30","10101010"
"102011","1","4","20","10101012"
"102071","2","4","20","10101012"
"102162","3","4","20","10101012"
"102191","4","4","20","10101012"
"102221","5","4","20","10101012"
"102251","6","4","20","10101012"
"102281","7","4","20","10101012"
"102311","8","4","20","10101012"
"102341","9","4","20","10101012"
"102371","10","4","20","10101012"
"102431","11","4","20","10101012"
"102461","12","4","20","10101012"
"102491","13","4","20","10101012"
"102493","14","4","20","10101012"
"102551","15","4","20","10101012"
"102581","16","4","20","10101012"
"102611","17","4","20","10101012"
"102612","18","4","20","10101012"
"21023","1","2","1","10101013"
"20002","1","2","100","10101014"
"24027","1","2","1","10101015"
"25011","1","2","2500","10101016"
"25012","2","2","2500","10101016"
"25013","3","2","2500","10101016"
"25014","4","2","2500","10101016"
"25015","5","2","2500","10101016"
"31002","1","2","30","10101017"
"50003","2","2","100","10101017"
"31058","1","2","100","10101018"
"50003","1","2","1000","10101019"
"20003","1","2","100","10101020"
"0","1","5","7500","10101021"
"20004","2","2","100","10101021"
"94002","3","12","10000000","10101021"
"31059","1","2","100","10101022"
"150002","1","4","100","10101023"
"150001","2","4","100","10101023"
"0","1","5","35000","10101024"
"25011","1","2","2500","10101025"
"25012","2","2","2500","10101025"
"25013","3","2","2500","10101025"
"25014","4","2","2500","10101025"
"25015","5","2","2500","10101025"
"31028","1","2","145","10101026"
"25011","1","2","5000","10102001"
"25012","2","2","5000","10102001"
"25013","3","2","5000","10102001"
"25014","4","2","5000","10102001"
"25015","5","2","5000","10102001"
"0","1","5","30000","10102002"
"140000","1","4","6","10102003"
"31058","2","2","50","10102003"
"31059","3","2","50","10102003"
"20004","1","2","300","10102004"
"94002","2","12","10000000","10102004"
"150003","1","4","100","10102005"
"150002","2","4","100","10102005"
"150001","3","4","100","10102005"
"31002","1","2","100","10102006"
"94002","1","12","10000000","10102007"
"31058","1","2","120","10102008"
"25011","2","2","5000","10102008"
"25012","3","2","5000","10102008"
"25013","4","2","5000","10102008"
"25014","5","2","5000","10102008"
"25015","6","2","5000","10102008"
"20004","1","2","300","10102009"
"94002","2","12","10000000","10102009"
"25011","1","2","10000","10102010"
"25012","2","2","10000","10102010"
"25013","3","2","10000","10102010"
"25014","4","2","10000","10102010"
"25015","5","2","10000","10102010"
"150003","6","4","100","10102010"
"150002","7","4","100","10102010"
"150001","8","4","100","10102010"
"0","1","5","40000","10102011"
"25011","1","2","10000","10102012"
"25012","2","2","10000","10102012"
"25013","3","2","10000","10102012"
"25014","4","2","10000","10102012"
"25015","5","2","10000","10102012"
"150003","6","4","100","10102012"
"150002","7","4","100","10102012"
"150001","8","4","100","10102012"
"31043","1","2","145","10102013"
"31002","1","2","120","10103001"
"94002","1","12","30000000","10103002"
"0","1","5","40000","10103003"
"20004","2","2","500","10103003"
"94002","3","12","30000000","10103003"
"31059","1","2","120","10103004"
"25011","2","2","10000","10103004"
"25012","3","2","10000","10103004"
"25013","4","2","10000","10103004"
"25014","5","2","10000","10103004"
"25015","6","2","10000","10103004"
"21024","1","2","1","10103005"
"150004","1","4","100","10103006"
"150003","2","4","300","10103006"
"150002","3","4","300","10103006"
"31010","1","2","120","10103007"
"140000","1","4","3","10103008"
"31010","2","2","50","10103008"
"0","1","5","40000","10103009"
"20005","2","2","100","10103009"
"94002","3","12","30000000","10103009"
"31028","1","2","120","10103010"
"140000","1","4","3","10103011"
"31028","2","2","50","10103011"
"31011","1","2","145","10103012"
"31043","1","2","120","10104001"
"140000","1","4","3","10104002"
"31043","2","2","50","10104002"
"0","1","5","15000","10104003"
"20005","2","2","100","10104003"
"22003","3","2","200","10104003"
"150004","1","4","200","10104004"
"150003","2","4","200","10104004"
"150002","3","4","200","10104004"
"31058","1","2","150","10104005"
"20005","1","2","200","10104006"
"31059","1","2","150","10104007"
"50003","1","2","3000","10104008"
"0","1","5","40000","10104009"
"25001","1","2","100","10104010"
"90005","1","2","100","10104011"
"32058","1","2","200","10104012"
"31058","2","2","50","10104012"
"20005","1","2","100","10104013"
"22003","2","2","200","10104013"
"94002","3","12","30000000","10104013"
"31049","1","2","145","10104014"
"31049","1","2","120","10105001"
"140000","1","4","3","10105002"
"31049","2","2","50","10105002"
"150004","1","4","300","10105003"
"150003","2","4","300","10105003"
"150002","3","4","300","10105003"
"0","1","5","20000","10105004"
"31002","1","2","150","10105005"
"31002","1","2","100","10105006"
"94002","2","12","50000000","10105006"
"25001","1","2","100","10105007"
"0","1","5","20000","10105008"
"31001","2","2","515","10105008"
"31003","3","2","515","10105008"
"32059","1","2","200","10105009"
"31059","2","2","50","10105009"
"0","1","5","20000","10105010"
"31036","1","2","145","10105011"
"20005","1","2","500","10106001"
"150004","1","4","500","10106002"
"150003","2","4","500","10106002"
"150002","3","4","500","10106002"
"0","1","5","20000","10106003"
"31060","2","2","420","10106003"
"140000","3","4","3","10106003"
"32060","1","2","200","10106004"
"31060","2","2","50","10106004"
"25001","3","2","100","10106004"
"150004","1","4","1000","10106005"
"20005","2","2","500","10106005"
"21025","3","2","1","10106005"
"31011","1","2","120","10106006"
"140000","1","4","3","10106007"
"31011","2","2","50","10106007"
"21905","1","2","1","10106008"
"0","1","5","20000","10106009"
"31029","1","2","145","10106010"
"41058","1","2","1","10107001"
"150004","1","4","1000","10107002"
"20005","2","2","1000","10107002"
"21905","1","2","1","10107003"
"24018","1","5","20000","10107004"
"21905","1","2","1","10107005"
"21905","1","2","1","10107006"
"24027","1","2","1","10107007"
"0","1","5","20000","10107008"
"27022","1","2","1","10107009"
"24027","1","2","1","10201001"
"21905","1","2","1","10201002"
"0","1","5","20000","10201003"
"31011","1","2","200","10201004"
"31028","2","2","200","10201004"
"31043","3","2","200","10201004"
"31049","1","2","200","10201005"
"31010","2","2","200","10201005"
"140000","3","4","9","10201005"
"0","1","5","20000","10201006"
"21905","1","2","1","10201007"
"31009","1","2","145","10201008"
"24027","1","2","1","10202001"
"21905","1","2","1","10202002"
"31064","1","2","195","10202003"
"140000","2","4","3","10202003"
"0","1","5","20000","10202004"
"20005","2","2","500","10202004"
"94002","3","12","30000000","10202004"
"31009","1","2","370","10202005"
"31036","2","2","370","10202005"
"31029","3","2","370","10202005"
"21905","1","2","1","10202006"
"0","1","5","20000","10202007"
"140000","1","4","9","10202008"
"31018","1","2","145","10202009"
"24027","1","2","1","10203001"
"0","1","5","20000","10203002"
"21905","1","2","1","10203003"
"31018","1","2","370","10203004"
"0","1","5","20000","10203005"
"21905","1","2","1","10203006"
"140000","1","4","3","10203007"
"0","1","5","20000","10203008"
"31037","1","2","145","10203009"
"24027","1","2","1","10204001"
"21905","1","2","1","10204002"
"31064","1","2","120","10204003"
"0","1","5","20000","10204004"
"31037","1","2","370","10204005"
"31064","1","2","150","10204006"
"140000","1","4","3","10204007"
"21026","1","2","1","10204008"
"0","1","5","20000","10204009"
"31032","1","2","145","10204010"
"24027","1","2","1","10205001"
"21905","1","2","1","10205002"
"0","1","5","20000","10205003"
"31032","1","2","370","10205004"
"140000","1","4","3","10205005"
"0","1","5","20000","10205006"
"31014","1","2","145","10205007"
"21905","1","2","1","10205008"
"0","1","5","20000","10205009"
"31014","1","2","370","10205010"
"140000","1","4","3","10205011"
"0","1","5","20000","10205012"
"31012","1","2","145","10205013"
"24027","1","2","1","10206001"
"32064","1","2","50","10206002"
"31064","2","2","50","10206002"
"25001","3","2","100","10206002"
"32058","1","2","50","10206003"
"32060","2","2","50","10206003"
"32059","3","2","50","10206003"
"20005","1","2","1000","10206004"
"94002","2","12","100000000","10206004"
"150005","1","4","2000","10206005"
"150004","2","4","2000","10206005"
"150003","3","4","2000","10206005"
"150008","1","4","2000","10206006"
"150007","2","4","2000","10206006"
"150006","3","4","2000","10206006"
"31012","1","2","370","10206007"
"0","1","5","40000","10206008"
"21905","1","2","1","10206009"
"140000","1","4","3","10206010"
"24027","1","2","1","10206011"
"0","1","5","40000","10206012"
"21905","1","2","2","10206013"
"41000","1","2","1","10207001"
"0","2","5","40000","10207001"
"25011","1","2","10000","10207002"
"25021","2","2","4000","10207002"
"25012","1","2","10000","10207003"
"25021","2","2","4000","10207003"
"25013","1","2","10000","10207004"
"25021","2","2","4000","10207004"
"25014","1","2","10000","10207005"
"25021","2","2","4000","10207005"
"25015","1","2","10000","10207006"
"25021","2","2","4000","10207006"
"27023","1","2","1","10207007"
"24028","1","2","1","20101001"
"24028","1","2","1","20101002"
"24029","1","2","1","20101003"
"91002","1","8","300","20101004"
"28035","1","2","1","20101005"
"24028","1","2","1","20101006"
"150008","1","4","2000","20101007"
"150009","2","4","2000","20101007"
"25011","1","2","100000","20101008"
"25012","2","2","100000","20101008"
"25013","3","2","100000","20101008"
"25014","4","2","100000","20101008"
"25015","5","2","100000","20101008"
"25021","6","2","50000","20101008"
"26202","1","2","3000000","20101009"
"23003","1","2","1000","20101010"
"41000","1","2","1","20101011"
"24028","1","2","1","20101012"
"21953","1","2","1","20101013"
"24028","1","2","1","20101014"
"24029","1","2","1","20101015"
"24028","1","2","1","20101016"
"24028","1","2","1","20101017"
"24029","1","2","1","20101018"
