8ca4bb46dbf93cfc2b3eae7d0a1c2514cda61aeec3149b7868b54aadbb9f66e9,2e14aa7161b194113f26d8af18bbe929bbe6dce29f6843577589fc5c90b52a55,890716b05ec6463a3f288d8a5d5674eb9e314707023d2ef04e623190df885933,1474affbcc3b53d1b5d24b1be62571e31a6016e8f9bf4cdacfe42f1ad5f0001a,e0ca9e69e36904c2100d03b75311e72f5c9a0cea1b34a62308efc11834a79c92,46fcdc68596841555955c1111569a5e40fce74e57ec4e7a1446506708a6c0a28,9175cae4df5d04a5c36cf687151b2060d1f4e9e49da8f03c83e69fb41c9f3411,b64701f7602b26c75a79a9d7be2335c9cf876c926ccb8316a37ee005da122556,86bd2a0d4d349e5e93f76e1cfd1da66a719ff8b2618752a38f2162df9ad6abf2,36c58ed7a52ed5f7e95c7d3d0b069098b40f0eabf2a0cf4cd435dbda0765b146,3906e1f59febf6347c5bdeaac7217ea542ee2a3dc718110c8acddf9e53d39138,aeccd3a1ac505c2ea3d075df8defd10acfdf9ca69369fc4d3233ecf8d9e5c3d8
"5201321","10201201","0","0","0","1","5","610201102","1","5.5","5201322","70"
"0","10201201","3","600","15","2","5","610201103","3","1.5","5201323","0"
"0","10201201","0","0","0","3","5","610201104","1","1.5","0","0"
"0","10201501","0","0","0","1","5","610201105","1","5.5","0","70"
"0","10201501","3","600","15","2","5","610201106","3","1.5","0","0"
"0","10201501","0","0","0","3","5","610201107","1","1.5","0","0"
"5201331","10201251","3","600","0","1","5","610201152","2","5.5","5201332","0"
"0","10201251","0","0","0","2","5","610201153","1","1.5","5201333","65"
"0","10201251","0","0","0","3","5","610201154","1","1.5","0","0"
"0","10201551","3","600","0","1","5","610201155","2","5.5","0","0"
"0","10201551","0","0","0","2","5","610201156","1","1.5","0","65"
"0","10201551","0","0","0","3","5","610201157","1","1.5","0","0"
"5202321","10202201","3","600","0","1","5","610202102","2","5.5","5202322","0"
"0","10202201","0","0","0","2","5","610202103","1","1.5","5202323","70"
"0","10202201","0","0","0","3","5","610202104","1","1.5","0","0"
"0","10202501","3","600","0","1","5","610202105","2","5.5","0","0"
"0","10202501","0","0","0","2","5","610202106","1","1.5","0","70"
"0","10202501","0","0","0","3","5","610202107","1","1.5","0","0"
"5203321","10203201","3","600","0","1","5","610203102","2","5.5","5203322","0"
"0","10203201","0","0","0","2","5","610203103","1","1.5","5203323","66"
"0","10203201","0","0","0","3","5","610203104","1","1.5","0","0"
"0","10203501","3","600","0","1","5","610203105","2","5.5","0","0"
"0","10203501","0","0","0","2","5","610203106","1","1.5","0","66"
"0","10203501","0","0","0","3","5","610203107","1","1.5","0","0"
"5204321","10204201","3","600","0","1","5","610204102","2","5.5","5204322","0"
"0","10204201","0","0","0","2","5","610204103","1","1.5","5204323","60"
"0","10204201","0","0","0","3","5","610204104","1","1.5","0","0"
"0","10204501","3","600","0","1","5","610204105","2","5.5","0","0"
"0","10204501","0","0","0","2","5","610204106","1","1.5","0","80"
"0","10204501","0","0","0","3","5","610204107","1","1.5","0","0"
"5205321","10205201","3","600","0","1","5","610205102","2","5.5","5205322","0"
"0","10205201","0","0","0","2","5","610205103","1","1.5","5205323","65"
"0","10205201","0","0","0","3","5","610205104","1","1.5","0","0"
"0","10205501","3","600","0","1","5","610205105","2","5.5","0","0"
"0","10205501","0","0","0","2","5","610205106","1","1.5","0","66"
"0","10205501","0","0","0","3","5","610205107","1","1.5","0","0"
"5206321","10206201","3","600","0","1","5","610206102","2","5.5","5206322","0"
"0","10206201","3","600","0","2","5","610206103","2","1.5","5206323","0"
"0","10206201","0","0","0","3","5","610206104","1","1.5","0","0"
"0","10206501","3","600","0","1","5","610206105","2","5.5","0","0"
"0","10206501","3","600","0","2","5","610206106","2","1.5","0","0"
"0","10206501","0","0","0","3","5","610206107","1","1.5","0","0"
"5207321","10207201","3","600","0","1","5","610207102","2","5.5","5207322","0"
"0","10207201","0","0","0","2","5","610207103","1","1.5","5207323","66"
"0","10207201","0","0","0","3","5","610207104","1","1.5","0","0"
"0","10207501","3","600","0","1","5","610207105","2","5.5","0","0"
"0","10207501","0","0","0","2","5","610207106","1","1.5","0","66"
"0","10207501","0","0","0","3","5","610207107","1","1.5","0","0"
"5208321","10208201","3","600","0","1","5","610208102","2","5.5","5208322","0"
"0","10208201","0","0","0","2","5","610208103","1","1.5","5208323","70"
"0","10208201","0","0","0","3","5","610208104","1","1.5","0","0"
"0","10208501","3","600","0","1","5","610208105","2","5.5","0","0"
"0","10208501","0","0","0","2","5","610208106","1","1.5","0","70"
"0","10208501","0","0","0","3","5","610208107","1","1.5","0","0"
"5209321","10209201","3","600","0","1","5","610209102","2","5.5","5209322","0"
"0","10209201","0","0","0","2","5","610209103","1","1.5","5209323","55"
"0","10209201","0","0","0","3","5","610209104","1","1.5","0","0"
"0","10209501","3","600","0","1","5","610209105","2","5.5","0","0"
"0","10209501","0","0","0","2","5","610209106","1","1.5","0","60"
"0","10209501","0","0","0","3","5","610209107","1","1.5","0","0"
"5210321","10210201","3","600","0","1","5","610210102","2","5.5","5210322","0"
"0","10210201","0","0","0","2","5","610210103","1","1.5","5210323","65"
"0","10210201","0","0","0","3","5","610210104","1","1.5","0","0"
"0","10210501","3","600","0","1","5","610210105","2","5.5","0","0"
"0","10210501","0","0","0","2","5","610210106","1","1.5","0","60"
"0","10210501","0","0","0","3","5","610210107","1","1.5","0","0"
"5211321","10211201","3","600","0","1","5","610211102","2","5.5","5211322","0"
"0","10211201","0","0","0","2","5","610211103","1","1.5","5211323","40"
"0","10211201","0","0","0","3","5","610211104","1","1.5","0","0"
"0","10211501","3","600","0","1","5","610211105","2","5.5","0","0"
"0","10211501","0","0","0","2","5","610211106","1","1.5","0","45"
"0","10211501","0","0","0","3","5","610211107","1","1.5","0","0"
"5212321","10212201","3","600","0","1","5","610212102","2","5.5","5212322","0"
"0","10212201","0","0","0","2","5","610212103","1","1.5","5212323","60"
"0","10212201","0","0","0","3","5","610212104","1","1.5","0","0"
"0","10212501","3","600","0","1","5","610212105","2","5.5","0","0"
"0","10212501","0","0","0","2","5","610212106","1","1.5","0","60"
"0","10212501","0","0","0","3","5","610212107","1","1.5","0","0"
