25231a06e3e5d0b22b110664476feb7a769b3031e82e337ba78aac0f7e225140,713f4c509d721b632c792dde198a249133028a94cd5ed30ff42bf32d4cbba60b,2c9043af504b15e9a102ba17bf3491468a2098b832b7975df7e42f96389dac94,90948a109347fe44a0353678e39e06c27250734b11747ac7c88391ae53845060,8a4f79db6ab270b981f333ad91ca8c43212e9defdbd3356cbb928366c9b5da02,ef67e992c2b3e84c282e64de875bb29a3986f4b2a0a5574b71182ec851c8ff62
"1","1001","15","1","99001001","11001001"
"10","0","8","2","99001001","91002"
"1","1001","15","3","99001002","11001002"
"10","0","8","4","99001002","91002"
"1","1002","15","5","99001003","11001003"
"20","0","8","6","99001003","91002"
"1","1003","15","7","99001004","11001004"
"30","0","8","8","99001004","91002"
"1","1001","15","9","99001005","11001005"
"10","0","8","10","99001005","91002"
"1","1001","15","11","99001006","11001006"
"10","0","8","12","99001006","91002"
"1","1002","15","13","99001007","11001007"
"20","0","8","14","99001007","91002"
"1","1003","15","15","99001008","11001008"
"30","0","8","16","99001008","91002"
"1","1001","15","17","99001009","11001009"
"10","0","8","18","99001009","91002"
"1","1001","15","19","99001010","11001010"
"10","0","8","20","99001010","91002"
"1","1002","15","21","99001011","11001011"
"20","0","8","22","99001011","91002"
"1","1003","15","23","99001012","11001012"
"30","0","8","24","99001012","91002"
"1","1001","15","33","99001017","11001017"
"30","0","8","34","99001017","91002"
"1","1001","15","35","99001018","11001018"
"30","0","8","36","99001018","91002"
"1","1002","15","37","99001019","11001019"
"30","0","8","38","99001019","91002"
"1","1003","15","39","99001020","11001020"
"30","0","8","40","99001020","91002"
"0","1001","15","41","99001021","11001021"
"0","1002","15","42","99001022","11001022"
"1","1001","15","43","99001023","11001023"
"30","0","8","44","99001023","91002"
"1","1001","15","45","99001024","11001024"
"30","0","8","46","99001024","91002"
"1","1002","15","47","99001025","11001025"
"30","0","8","48","99001025","91002"
"1","1003","15","49","99001026","11001026"
"30","0","8","50","99001026","91002"
"1","1001","15","51","99001027","11001027"
"30","0","8","52","99001027","91002"
"1","1001","15","53","99001028","11001028"
"30","0","8","54","99001028","91002"
"1","1002","15","55","99001029","11001029"
"30","0","8","56","99001029","91002"
"1","1003","15","57","99001030","11001030"
"30","0","8","58","99001030","91002"
"1","1001","15","59","99001031","11001031"
"30","0","8","60","99001031","91002"
"1","1001","15","61","99001032","11001032"
"30","0","8","62","99001032","91002"
"1","1002","15","63","99001033","11001033"
"30","0","8","64","99001033","91002"
"1","1003","15","65","99001034","11001034"
"30","0","8","66","99001034","91002"
"0","1001","15","75","99001039","11001039"
