061a870dc31789256e9bb561f05f131bcd00281c21bce1a885394f1b6f728011,527835777fd691a38fe7d0ab61679a913a912fa692ece50b09df48f5fe7b3ca3,e94bb96d0f7114925060c4ba1e500398f9aa834ec529a9a4caa68a6d6796b1ba,e8ea3ba20cd7c3314064fe1dc2c22269a5f78db7fcbb12b10457ed1e9dea300a,b9c53e39e9352a22677bd82a9b9f589ed153dcff69733bc61e8599780073469a,303da7c3e5ee1d2e146a1772a59b6e4919a5217896ebf9ac68ce4c5b7a288602,6d241e14da77b77efd293c2d2d0bded1cdb4edcfa655d9a958c2451ff814ed7f,5816e0fac182e7da658527ec8d2eed66d78a94c9c006287a2e300becf2a55fd3,7df8f751e9f081aac29534d08f1bb929d009c8689904a0c4708599eca6455bd8,f305962c297c680ae98e22de76d459517345cddf9e0d066f8fd89bd8a14bfddf,4e52dcad9e1f7a2c6a909508807b10474b78ab15480995b72828c5eccb7904ae
"61001","100","105811","-278","5146061","0","1","-225","1.8","idle_normal","1"
"61002","101","1058","-278","5146061","0","5","-225","1.8","idle_normal","6"
"61003","103","105911","-288","5146061","0","1","-385","1.8","kokkoro_idle_normal","1"
"61004","104","1059","-288","5146061","0","5","-385","1.8","kokkoro_idle_normal","3"
"61005","106","106011","-278","5146061","1","1","290","1.8","idle_normal","1"
"61006","107","1060","-278","5146061","1","5","290","1.8","idle_normal","4"
"61007","","200","","5146061","","13","","","","105811"
"61008","","203","","5146061","","13","","","","105911"
"61009","","206","","5146061","","13","","","","106011"
"61010","15","7","-174","5146061","0","5","0","0.85","idle","7"
"61011","210","201","8","5146061","0","5","290","1","empty","20"
"61012","211","202","-78","5146061","0","5","0","1","empty","20"
"61013","210","203","16","5146061","0","5","-315","1","empty","20"
"61014","60","21","153","5146061","0","5","0","1","empty","21"
"61015","0","1","1","5146061","","31","0","1","","1"
"61016","0","2","1","5146061","","31","-57.7","0","","2"
"61017","0","10","1","5146061","","31","0","0","","10"
"61018","0","11","1","5146061","","31","0","0","","11"
"61019","","0","","5146061","","91","","","","0"
"61020","0","0","","5146061","","102","","","","0"
"61021","","0","","5146061","","93","","","","1"
"61022","0","doya_in_shy","1","5146061","0","3","doya_talk_shy","0.2","","106011"
"61023","0","doya_in_shy","1","5146061","0","3","doya_talk_shy","0.2","","1060"
"61024","0","vo_apg_0101","","5146061","","21","0","","","vo_apg"
"61025","8","搭乘雲霄飛車時的\n魔法拍攝服務？\n哼，擅自拍下別人毫無防備的照片，\n之後再進行推銷，真是無聊！","1","5146061","0","11","1","0","0","106011"
"61026","","","","5146061","","91","","","","0"
"61027","","1","","5146061","","32","","","","2"
"61028","","fade105_in","","5146061","","37","","","","2"
"61029","","0","","5146061","","4","","","","106011"
