664480fd14530a1d73b34db8d28fd28a1ea2d91155a26fd1e75fcafdf64de13e,aa343d5e06ee569ee8ace05e29216fa5cd7de6d4e1e1e03bf33d7b1767844dd4
"1","強化HP"
"2","強化物理攻擊力"
"3","強化物理防禦力"
"4","強化魔法攻擊力"
"5","強化魔法防禦力"
"6","強化物理暴擊率"
"7","強化魔法暴擊率"
"8","強化迴避"
"9","強化HP吸收"
"10","強化HP自動回復效果"
"11","強化TP自動回復效果"
"12","強化物理貫通傷害"
"13","強化魔法貫通傷害"
"14","強化TP上升效果"
"15","強化回復量上升效果"
"16","強化TP消耗減輕效果"
"17","強化命中"
"50","強化物理、魔法攻擊力"
"51","強化物理、魔法防禦力"
"52","強化物理、魔法暴擊率"
"100","強化物理暴擊傷害"
"101","強化魔法暴擊傷害"
"102","強化物理造成的傷害"
"103","強化魔法造成的傷害"
"104","強化屬性獎勵"
