76cd05e6a38f9a31c055e4b7429e3ff3f85ded2cc1c6e9d2c4092570b107605d,c9d67418493c478d07a8fae1ef3ebcda40ca09c21d0793eaac381a0095b2246d,d2007a24207b05365484dc4d3257f9ba02bbab0a19ab2c8d6794ab9a5d4101c0,2fe1587ba75b2a9754002f4d9d68f180b14c66a75a3f553eb4ae691e5072e960,9ecd376445305791e3024b14921c4bd32fc8f443264177986370c2a374422e98,4a2988f68f45901adad5e2ff53c63e2d3af861aaed8bee2869d6d87b6ea6b4f6,83739ebabc5ebf30cdb55e3766b1b9b4d76254d1a395e610ae83e6208f56fbca,c4cedfb9b221f64405be610ecb1d8fd0a65b3d62f42e652a3b139465efdad7d1,11992eea048f82aa4f273f01667dfd049c5b3c4d1a95042f51416f00c96d40bf,47561e7e914284ff7a2a2fed2c2df42b2d75bff69be55a9c8514a9e0646d89f4,9d78f63822ea23cadd6d05776428111e96f8c991aa99df82de990c8b4643af75
"5146061","61001","-225","100","idle_normal","1","-278","1.8","0","105811","1"
"5146061","61002","-225","101","idle_normal","6","-278","1.8","0","1058","5"
"5146061","61003","-385","103","kokkoro_idle_normal","1","-288","1.8","0","105911","1"
"5146061","61004","-385","104","kokkoro_idle_normal","3","-288","1.8","0","1059","5"
"5146061","61005","290","106","idle_normal","1","-278","1.8","1","106011","1"
"5146061","61006","290","107","idle_normal","4","-278","1.8","1","1060","5"
"5146061","61007","","","","105811","","","","200","13"
"5146061","61008","","","","105911","","","","203","13"
"5146061","61009","","","","106011","","","","206","13"
"5146061","61010","0","15","idle","7","-174","0.85","0","7","5"
"5146061","61011","290","210","empty","20","8","1","0","201","5"
"5146061","61012","0","211","empty","20","-78","1","0","202","5"
"5146061","61013","-315","210","empty","20","16","1","0","203","5"
"5146061","61014","0","60","empty","21","153","1","0","21","5"
"5146061","61015","0","0","","1","1","1","","1","31"
"5146061","61016","-57.7","0","","2","1","0","","2","31"
"5146061","61017","0","0","","10","1","0","","10","31"
"5146061","61018","0","0","","11","1","0","","11","31"
"5146061","61019","","","","0","","","","0","91"
"5146061","61020","","0","","0","","","","0","102"
"5146061","61021","","","","1","","","","0","93"
"5146061","61022","doya_talk_shy","0","","106011","1","0.2","0","doya_in_shy","3"
"5146061","61023","doya_talk_shy","0","","1060","1","0.2","0","doya_in_shy","3"
"5146061","61024","0","0","","vo_apg","","","","vo_apg_0101","21"
"5146061","61025","1","8","0","106011","1","0","0","搭乘雲霄飛車時的\n魔法拍攝服務？\n哼，擅自拍下別人毫無防備的照片，\n之後再進行推銷，真是無聊！","11"
"5146061","61026","","","","0","","","","","91"
"5146061","61027","","","","2","","","","1","32"
"5146061","61028","","","","2","","","","fade105_in","37"
"5146061","61029","","","","106011","","","","0","4"
"5146061","61030","","","","1060","","","","0","4"
"5146061","61031","","1","","106011","","0.5","","sad_idle_dere_shy","3"
"5146061","61032","","1","","1060","","0.5","","sad_idle_dere_shy","3"
"5146061","61033","0","0","","vo_apg","","","","vo_apg_0102","21"
"5146061","61034","","0","","201","","0","","0102_in","3"
"5146061","61035","","","","4.6","","","","1","93"
"5146061","61036","","0","","201","","0","","0102_mid","3"
"5146061","61037","","","","","","","","","92"
"5146061","61038","","0","","201","","0","","0102_out","3"
"5146061","61039","","","","0.2","","","","0","93"
"5146061","61040","kyaru_smile_idle","0","","106011","1","0.2","0","kyaru_smile_in","3"
"5146061","61041","kyaru_smile_idle","0","","1060","1","0.2","0","kyaru_smile_in","3"
"5146061","61042","0","0","","vo_apg","","","","vo_apg_0103","21"
"5146061","61043","","0","","201","","0","","0103_in","3"
"5146061","61044","","","","5.4","","","","1","93"
"5146061","61045","","0","","201","","0","","0103_mid","3"
"5146061","61046","","","","","","","","","92"
"5146061","61047","","0","","201","","0","","0103_out","3"
"5146061","61048","","","","0.2","","","","0","93"
"5146061","61049","","","","2","","","","fade105_out","37"
"5146061","61050","","","","105811","","","","1","4"
"5146061","61051","","","","1058","","","","1","4"
"5146061","61052","","1","","105811","","0.2","","surprise_talk","3"
"5146061","61053","","1","","1058","","0.2","","surprise_talk","3"
"5146061","61054","0","0","","vo_apg","","","","vo_apg_0104","21"
"5146061","61055","1","7","0","105811","1","0","0","……小凱留，\n不想被拍進照片嗎……？","11"
"5146061","61056","","","","0","","","","","91"
"5146061","61057","","1","","105811","","0.2","","surprise_idle_talk1R","3"
"5146061","61058","","1","","1058","","0.2","","surprise_idle_talk1R","3"
"5146061","61059","","1","","105911","","0.2","","kokkoro_surprise_talk","3"
"5146061","61060","","1","","1059","","0.2","","kokkoro_surprise_talk","3"
"5146061","61061","0","0","","vo_apg","","","","vo_apg_0105","21"
"5146061","61062","1","7","0","105911","1","0","0","是的，\n看來是這樣沒錯。","11"
"5146061","61063","","","","0","","","","","91"
"5146061","61064","","1","","105911","","0.2","","kokkoro_idle_normal","3"
"5146061","61065","","1","","1059","","0.2","","kokkoro_idle_normal","3"
"5146061","61066","","1","","105811","","0.2","","idle_normal_talk1R","3"
"5146061","61067","","1","","1058","","0.2","","idle_normal_talk1R","3"
"5146061","61068","","","","105811","","","","0","4"
"5146061","61069","","","","1058","","","","0","4"
"5146061","61070","","","","106011","","","","1","4"
"5146061","61071","","","","1060","","","","1","4"
"5146061","61072","cool_talk_sing_shy","0","","106011","1","0.2","0","cool_in_sing_shy","3"
"5146061","61073","cool_talk_sing_shy","0","","1060","1","0.2","0","cool_in_sing_shy","3"
"5146061","61074","0","0","","vo_apg","","","","vo_apg_0106","21"
"5146061","61075","1","10","0","106011","1","0","0","喂，我們快點去搭啦～\n唉～討厭討厭……呵呵呵。","11"
"5146061","61076","","","","0","","","","","91"
"5146061","61077","","","","0","","","","0","22"
"5146061","61078","","1","","106011","","0.2","","walk_kyapi_shy","3"
"5146061","61079","","1","","1060","","0.2","","walk_kyapi_shy","3"
"5146061","61080","","1","","105811","","0.2","","walk_furimuki","3"
"5146061","61081","","1","","1058","","0.2","","walk_furimuki","3"
"5146061","61082","","1","","105911","","0.2","","kokkoro_walk_surprise","3"
"5146061","61083","","1","","1059","","0.2","","kokkoro_walk_surprise","3"
"5146061","61084","2","-278","","106011","0","","","149","2"
"5146061","61085","2","-278","","1060","0","","","149","2"
