6917b9beeb9e3edd901ca06f4607bbc427893e9a0a46daf0b3fcb26a173833c9,0cbc05d554283fd95b718a8de6ea5a68c33c12aace4b9800cab748bd6a5b8005,9b1a338655beead2ca1a85c13b32489d98efa694fb0dc53f7d2ec2a10c2db361,ffb9c8de1c9f2eff8fc1d965a2b3de5bb738c2a0022e6142cd584ead4db64e48,e5c7385b47fa97089f7c0a6062ecf66776174fd5ed919106ade294284879b46d,c413ecd383e6feabeb2fa8eb9d45bc4959a172bcde54782cc47a3c153baa1c71
"101011","60000001","6","1","4","10011001"
"101071","60000002","6","1","4","10011001"
"101101","60000003","6","1","4","10011001"
"101131","60000004","7","1","4","10011001"
"101161","60000005","6","1","4","10011001"
"101191","60000006","6","1","4","10011001"
"101251","60000007","7","1","4","10011001"
"101281","60000008","7","1","4","10011001"
"101371","60000009","7","1","4","10011001"
"101401","60000010","7","1","4","10011001"
"101431","60000011","7","1","4","10011001"
"101521","60000012","7","1","4","10011001"
"101551","60000013","7","1","4","10011001"
"101581","60000014","7","1","4","10011001"
"101611","60000015","7","1","4","10011001"
"102011","60000016","2","1","4","10011002"
"102013","60000017","2","1","4","10011002"
"102014","60000018","2","1","4","10011002"
"102041","60000019","2","1","4","10011002"
"102071","60000020","2","1","4","10011002"
"102101","60000021","2","1","4","10011002"
"102131","60000022","2","1","4","10011002"
"102162","60000023","2","1","4","10011002"
"102163","60000024","2","1","4","10011002"
"102191","60000025","2","1","4","10011002"
"102192","60000026","2","1","4","10011002"
"102221","60000027","2","1","4","10011002"
"102222","60000028","2","1","4","10011002"
"102251","60000029","2","1","4","10011002"
"102252","60000030","3","1","4","10011002"
"102281","60000031","3","1","4","10011002"
"102461","60000032","3","1","4","10011002"
"102551","60000033","3","1","4","10011002"
"102552","60000034","3","1","4","10011002"
"102581","60000035","3","1","4","10011002"
"102582","60000036","3","1","4","10011002"
"102611","60000037","3","1","4","10011002"
"102612","60000038","3","1","4","10011002"
"122282","60000039","3","1","4","10011002"
"122311","60000040","3","1","4","10011002"
"122312","60000041","3","1","4","10011002"
"122341","60000042","3","1","4","10011002"
"122342","60000043","3","1","4","10011002"
"122371","60000044","3","1","4","10011002"
"122372","60000045","3","1","4","10011002"
"122401","60000046","3","1","4","10011002"
"122431","60000047","3","1","4","10011002"
"122432","60000048","3","1","4","10011002"
"122491","60000049","3","1","4","10011002"
"122493","60000050","3","1","4","10011002"
"122521","60000051","3","1","4","10011002"
"122613","60000052","3","1","4","10011002"
"122614","60000053","3","1","4","10011002"
"113011","60000054","2","1","4","10011003"
"113012","60000055","2","1","4","10011003"
"113013","60000056","2","1","4","10011003"
"113071","60000057","2","1","4","10011003"
"113101","60000058","2","1","4","10011003"
"113131","60000059","2","1","4","10011003"
"113162","60000060","2","1","4","10011003"
"113191","60000061","2","1","4","10011003"
"113221","60000062","2","1","4","10011003"
"113222","60000063","2","1","4","10011003"
"113252","60000064","2","1","4","10011003"
"113283","60000065","3","1","4","10011003"
"113342","60000066","3","1","4","10011003"
"113372","60000067","3","1","4","10011003"
"113401","60000068","3","1","4","10011003"
"113431","60000069","3","1","4","10011003"
"113521","60000070","3","1","4","10011003"
"113522","60000071","3","1","4","10011003"
"113551","60000072","3","1","4","10011003"
"113552","60000073","3","1","4","10011003"
"113553","60000074","3","1","4","10011003"
"113581","60000075","3","1","4","10011003"
"113611","60000076","3","1","4","10011003"
"113614","60000077","3","1","4","10011003"
"123041","60000078","2","1","4","10011003"
"123042","60000079","2","1","4","10011003"
"123072","60000080","2","1","4","10011003"
"123132","60000081","2","1","4","10011003"
"123161","60000082","2","1","4","10011003"
"123192","60000083","2","1","4","10011003"
"123193","60000084","2","1","4","10011003"
"123251","60000085","2","1","4","10011003"
"123281","60000086","3","1","4","10011003"
"123282","60000087","3","1","4","10011003"
"123311","60000088","3","1","4","10011003"
"123341","60000089","3","1","4","10011003"
"123343","60000090","3","1","4","10011003"
"123371","60000091","3","1","4","10011003"
"123432","60000092","3","1","4","10011003"
"123461","60000093","3","1","4","10011003"
"123491","60000094","3","1","4","10011003"
"123582","60000095","3","1","4","10011003"
"123583","60000096","3","1","4","10011003"
"123612","60000097","3","1","4","10011003"
"114011","60000098","2","1","4","10011004"
"114012","60000099","2","1","4","10011004"
"114041","60000100","2","1","4","10011004"
"114072","60000101","2","1","4","10011004"
"114102","60000102","2","1","4","10011004"
"114132","60000103","2","1","4","10011004"
"114162","60000104","2","1","4","10011004"
"114191","60000105","2","1","4","10011004"
"114221","60000106","2","1","4","10011004"
"114222","60000107","2","1","4","10011004"
"114252","60000108","2","1","4","10011004"
"114281","60000109","3","1","4","10011004"
"114282","60000110","3","1","4","10011004"
"114312","60000111","3","1","4","10011004"
"114341","60000112","3","1","4","10011004"
"114371","60000113","3","1","4","10011004"
"114372","60000114","3","1","4","10011004"
"114432","60000115","3","1","4","10011004"
"114461","60000116","3","1","4","10011004"
"114522","60000117","3","1","4","10011004"
"114551","60000118","3","1","4","10011004"
"114581","60000119","3","1","4","10011004"
"114611","60000120","2","1","4","10011004"
"124042","60000121","2","1","4","10011004"
"124071","60000122","2","1","4","10011004"
"124101","60000123","2","1","4","10011004"
