2ba1174a200c7d5fec687aa0f41b101a8e79a76d13c4789c1866d89b91fc01f8,5fa0f3fb7d8417636f702f5be1b35f0d7a6464ac75e5096c52bc36d0a018fa69,168369f1f6e4b5d1e5980630e9d78bb85fdca3d33c76fb0220a045abb52463d4,1a7cf1a058000e5d3b0e6bffeb24623561a14458c0d02cc593b75fd97c62261e,0aecf594db1561cbf0e8c3b5f3efb73232d363f22adb2dcf63aa5108994d3c1d,4bdc301e1ddf3d1e9ba55f57b10a9f550fb0761cd854ae248188fc0d1454b542,20c84d975a4b4ec11ce649a7fb5d330639ab3e3d230aaba4cd6df7ccc3053883,628ba6ad543cc423580619b98dc3ddf7489ff7a697bec2d197c1f14f3d679cb0,d3cd3a461bac871822222b6ba04cb58804bddf0f225e9a47c96f7c4404919028,9193c64c21c53fa9413dcab038e4c25a07d643458de2e2b333dedf285539531b,9a3496e424b19e5c88a180bc24719f1a9a30ce3fa3827d885a6d9856b8a33dd5
"1","lsv_idle_normal","1009801","1","102","0","-495","-200","122711","1009801001","1.95"
"1","lsv_idle_normal","1009801","1","100","1","-480","100","122811","1009801002","1.95"
"1","lsv_idle_normal","1009801","1","101","1","-510","270","122911","1009801003","1.95"
"5","lsv_white_loop","1009801","1","0","0","0","0","333","1009801004","1"
"6","","1009801","333","1","0","0","1","1","1009801005","0"
"6","","1009801","122711","1","0","0","1","1","1009801006","0"
"6","","1009801","122811","1","0","0","1","1","1009801007","0"
"6","","1009801","122911","1","0","0","1","1","1009801008","0"
"93","","1009801","1","","","","","0","1009801009",""
"6","","1009801","333","1","0","0.4","1","1","1009801010","0.8"
"3","","1009801","122711","0","0.2","1","lsv_idle_normal","lsv_jump1","1009801011","0.2"
"3","","1009801","122811","0","0.2","1","lsv_idle_normal","lsv_jump1","1009801012","0.2"
"3","","1009801","122911","0","0.2","1","lsv_idle_normal","lsv_jump1","1009801013","0.2"
"93","","1009801","0.3","","","","","","1009801014",""
"2","","1009801","122711","-235","","0","0.75","-200","1009801015",""
"2","","1009801","122811","-220","","0","0.75","100","1009801016",""
"2","","1009801","122911","-250","","0","0.75","270","1009801017",""
"6","","1009801","122711","1","0","1","1","1","1009801018","0.4"
"6","","1009801","122811","1","0","1","1","1","1009801019","0.4"
"6","","1009801","122911","1","0","1","1","1","1009801020","0.4"
"93","","1009801","2","","","","","0","1009801021",""
"3","","1009801","122911","1","","","","lsv_talk_joy1","1009801022","0.2"
"21","","1009801","vo_lsv","0","","","0","vo_lsv_0121","1009801023",""
"11","0","1009801","122911","10","0","1","1","「小繆快快長大日記」♪\n開始囉開始囉～","1009801024","0"
"91","","1009801","0","","","","","","1009801025",""
"3","","1009801","122911","1","","","","lsv_idle_normal_joyR","1009801026","0.2"
"3","","1009801","122711","1","","","","lsv_talk_normal","1009801027","0.2"
"21","","1009801","vo_lsv","0","","","0","vo_lsv_0122","1009801028",""
"11","0","1009801","122711","10","0","1","1","大家一起寫這本日記，\n留下和小繆的\n回憶吧。","1009801029","0"
"91","","1009801","0","","","","","","1009801030",""
"3","","1009801","122711","1","","","","lsv_idle_normal","1009801031","0.2"
"3","","1009801","122911","1","","","","lsv_idle_normal","1009801032","0.2"
"3","","1009801","122811","0","0.2","1","lsv_talk_cool_loop","lsv_talk_cool","1009801033","0"
"21","","1009801","vo_lsv","0","","","0","vo_lsv_0123","1009801034",""
"11","0","1009801","122811","10","0","1","1","話說回來……\n鏡華連日記都很認真寫呢～\n像要給老師看的一樣！","1009801035","0"
"91","","1009801","0","","","","","","1009801036",""
"3","","1009801","122811","1","","","","lsv_talk_bitter","1009801037","0.2"
"21","","1009801","vo_lsv","0","","","0","vo_lsv_0124","1009801038",""
"11","0","1009801","122811","10","0","1","1","這只有我們會看而已，\n可以寫得再隨興一點嘛～♪","1009801039","0"
"91","","1009801","0","","","","","","1009801040",""
"3","","1009801","122811","1","","","","lsv_idle_joy","1009801041","0.2"
"3","","1009801","122711","1","","","","lsv_talk_anger2","1009801042","0.2"
"21","","1009801","vo_lsv","0","","","0","vo_lsv_0125","1009801043",""
