df945256c2f2f86533e3390820cb43154c718b9ab25848385ebeb305b3770bb5,47cfa3f09353c6d25bfaff404dccbfafc41ddbd10c0b62e0c1a5961a0f64a6a7,16815564c00d211e08642abd27839895ef14dd6ff05ad8011d4e7b11fcd1f80d,ff3122520c2fea6aa692c33840b8ef382b40f309a5d24910962e74ff1dd0ae09,fb84c8d121f39894b1f7ea6342bd54750e76bc18318e15c6ee0a5e1400f1111f,5a0a7b66d047706e20cc9c87f61859a39e7090e205d95c7a812f8ee0e9c8fbac
"1","1","自動","1","","2019/02/15 15:00:00"
"2","2","預設","2","","2019/02/15 15:00:00"
"3","3","周年","3","","2020/08/03 16:00:00"
"4","4","粉紅色","1","","2020/04/20 12:00:00"
"5","5","紅色","1","","2020/04/20 12:00:00"
"6","6","黃色","1","","2020/04/20 12:00:00"
"7","7","綠色","1","","2020/04/20 12:00:00"
"8","8","淺藍色","1","","2020/04/20 12:00:00"
"9","9","藍色","1","","2020/04/20 12:00:00"
"10","10","紫色","1","","2020/04/20 12:00:00"
"11","11","灰色","1","","2020/04/20 12:00:00"
