5479d98fba704a6f5401b1a60d2427c548dbaa516294c474dd5d874b5139488a,8af349cc68b0f5fa4509e362418cad4122967d88c7807841580aedcfd947f985,8f739d4cef248c02421f9944591786b7c314d6a046ac5ff4cb5601de1780b40f,c16cdd230db748d3dea9a6873d99b1ccf6b2e4ec9f5d3ad334f6038a65b03579,f209e26b4a93e3273b267db9bc0fd14a06a2b7e21eb12cdfb49809c3ebad53aa,227ef9f62a5454ee692b555206f7e6a5cd3bb3d83785d1f65d5da47e50b14869,5efda1fd4a02151ad66b2030bba655bf810c04a3d9cb488875fc3ddc55668109,a49be9cb46902fe4b5c3c4bbd60dfbd50b6b43a1bc57fce026153147fa46cfc4
"2","1","3","5","200","104","4","111"
"2","1","3","5","2","14","4","211"
"2","1","3","5","2","103","4","311"
"2","1","3","5","2","102","4","411"
"2","1","3","5","200","104","4","511"
"2","1","3","5","250","1","4","611"
"2","1","3","5","3","101","4","711"
"2","1","3","5","3","100","4","811"
"2","1","3","5","200","104","4","911"
"2","1","3","5","250","1","4","1011"
"2","1","3","5","250","3","4","1111"
"2","1","3","5","250","5","4","1112"
"2","1","3","5","150","6","4","1211"
"2","1","3","5","150","7","4","1212"
"2","1","3","5","200","104","4","1311"
"2","1","3","5","2","103","4","1411"
"2","1","3","5","2","102","4","1511"
"2","1","3","5","250","1","4","1611"
"2","1","3","5","200","104","4","1711"
"2","1","3","5","500","2","4","1811"
"2","1","3","5","500","4","4","1812"
"2","1","3","5","3","101","4","1911"
"2","1","3","5","3","100","4","2011"
"2","1","3","5","200","104","4","2111"
"2","1","3","5","250","1","4","2211"
"2","1","3","5","3","100","4","2311"
"2","1","3","5","3","101","4","2411"
"2","1","3","5","200","104","4","2511"
"2","1","3","5","500","2","4","2611"
"2","1","3","5","500","4","4","2612"
"2","1","3","5","150","6","4","2711"
"2","1","3","5","150","7","4","2712"
"2","1","3","5","500","2","4","2811"
"2","1","3","5","500","4","4","2812"
"2","1","3","5","200","104","4","2911"
"2","1","3","5","250","3","4","3011"
"2","1","3","5","250","5","4","3012"
"2","1","3","5","3","100","4","3111"
"2","1","3","5","3","101","4","3211"
"2","1","3","5","200","104","4","3311"
"2","1","3","5","2","100","4","3411"
"2","1","3","5","200","104","4","3511"
"2","1","3","5","1","103","4","3611"
"2","1","3","5","1","102","4","3711"
"2","1","3","5","250","2","4","3811"
"2","1","3","5","250","4","4","3812"
"2","1","3","5","1","102","4","3911"
"2","1","3","5","200","104","4","4011"
"2","1","3","5","2","100","4","4111"
"2","1","3","5","150","6","4","4211"
"2","1","3","5","150","7","4","4212"
"2","1","3","5","200","104","4","4311"
"2","1","3","5","1","103","4","4411"
"2","1","3","5","200","104","4","4511"
"2","1","3","5","2","101","4","4611"
"2","1","3","5","1","102","4","4711"
"2","1","3","5","200","104","4","4811"
"2","1","3","5","1","103","4","4911"
"2","1","3","5","200","104","4","5011"
"2","1","3","5","2","101","4","5111"
"2","1","3","5","1","102","4","5211"
"2","1","3","5","200","104","4","5311"
"2","1","3","5","150","6","4","5411"
"2","1","3","5","150","7","4","5412"
"2","1","3","5","1","103","4","5511"
"2","1","3","5","200","104","4","5611"
"2","1","3","5","2","100","4","5711"
"2","1","3","5","2","101","4","5811"
"2","1","3","5","1","103","4","5911"
"2","1","3","5","200","104","4","6011"
"2","1","3","5","1","102","4","6111"
"2","1","3","5","250","2","4","6211"
"2","1","3","5","250","4","4","6212"
"2","1","3","5","200","104","4","6311"
"2","1","3","5","1","103","4","6411"
"2","1","3","5","1","102","4","6511"
"2","1","3","5","200","104","4","6611"
"2","1","3","5","150","6","4","6711"
"2","1","3","5","150","7","4","6712"
"2","1","3","5","1","102","4","6811"
"2","1","3","5","200","104","4","6911"
"2","1","3","5","1","103","4","7011"
"2","1","3","5","2","101","4","7111"
"2","1","3","5","2","100","4","7211"
"2","1","3","5","200","104","4","7311"
"2","1","3","5","1","103","4","7411"
"2","1","3","5","1","102","4","7511"
"2","1","3","5","250","2","4","7611"
"2","1","3","5","250","4","4","7612"
"2","1","3","5","200","104","4","7711"
"2","1","3","5","2","101","4","7811"
"2","1","3","5","2","100","4","7911"
"2","1","3","5","200","104","4","8011"
"2","1","3","5","150","6","4","8111"
"2","1","3","5","150","7","4","8112"
"2","1","3","5","2","101","4","8211"
"2","1","3","5","250","2","4","8311"
"2","1","3","5","250","4","4","8312"
"2","1","3","5","1","103","4","8411"
"2","1","3","5","200","104","4","8511"
"2","1","3","5","2","100","4","8611"
"2","1","3","5","1","102","4","8711"
"2","1","3","5","1","103","4","8811"
