29f17c7934b6a90a7b1f494ee60010d8a3f9e596d9991380fe223b5a85b830b8,9011d5dddc957e5048cbd5d03a5e040d7bc0dbea4782a2049147e6f2df6cf2fa,22abbac852b3aa0d4e4d8270c8c54e647b68b21d368c347fef8f91533bbd3412,2728980e2016982df70a8d7ce9ec02e77375b60e5d015dcf59b432a03ba83a03,7c67cda99b312804b3be483a3de61dc5c8f5c450d0a516f7e39085f07c37d37f,2ef29708b01a77ee675eaf3446bce169762abbc1120002620cb5bda2025ca7ed,ff1e69db35d970eaf6fa51a9017e465b15e17c0869ffc91b86cc0125e3adc1f7
"1","0","0","1","0","3","獲得料理活動"
"2","0","0","2","0","1","獲得骰子活動1"
"2","0","0","3","0","2","獲得骰子活動2"
"3","0","1","4","3","0","跳過計算回合數"
"4","1","0","5","2","100","里程+100%"
"5","1","0","6","2","100","小遊戲里程+100%"
"6","1","0","7","3","300","商店打折活動"
"3","0","2","98001","3","0","跳過計算回合數1"
"3","0","1","98011","3","0","跳過計算回合數1"
"3","0","2","98012","3","0","跳過計算回合數2"
