64064bcd824f79c20e6eae62242629a3e00751eee842827abae65b4e42f3b33f,3f26a6c7867392091934107b4858d416dccfaa4b2b4db96a9585d0ef5f8cd1f3,f1b5542d6c7b9638e2ff3991c078fdef2eff5cfe226248eeac61b3a3a1c88e3b,ef2b0a97b8a6b004f3f441b55e64e4c32d8e6eac315665fcdbfabea61e703f9f,8475b91c696ab460f60969db6d1bf816230c37b2e369d418c14f6cc119242bd9
"3030100","0","1","0","1"
"3050100","0","2","0","1"
"3040100","0","3","0","1"
"3020100","0","4","0","1"
"2040100","0","5","0","1"
"2040100","0","5","0","2"
"2020100","0","6","0","1"
"2020100","0","6","0","2"
"1030100","0","7","314","1"
"4030100","0","8","0","1"
"1050100","0","9","502","1"
"4020100","0","10","0","1"
"2030100","0","11","0","1"
"2030100","0","11","0","2"
"3040100","10301010","12","0","1"
"1020100","0","13","202","1"
"1040102","20201010","14","406","1"
"1010200","0","15","105","1"
"2010200","0","15","0","2"
"2010200","0","15","0","3"
"3050200","0","16","0","1"
"3040200","0","17","0","1"
"3020200","0","18","0","1"
"2040200","0","19","0","1"
"2040200","0","19","0","2"
"2020200","0","20","0","1"
"2020200","0","20","0","2"
"1030200","0","21","315","1"
"1020200","0","22","205","1"
"1050200","0","23","509","1"
"4020200","0","24","0","1"
"2030200","0","25","0","1"
"2030200","0","25","0","2"
"4030200","0","26","0","1"
"3020200","10101020","27","0","1"
"1040200","20201020","28","408","1"
"3040200","10101020","29","0","1"
"3010200","10101020","30","0","1"
"1010300","0","31","102","1"
"2010300","0","31","0","2"
"2010300","0","31","0","3"
"3050300","0","32","0","1"
"3040300","0","33","0","1"
"3020300","0","34","0","1"
"2040300","0","35","0","1"
"2040300","0","35","0","2"
"2020300","0","36","0","1"
"2020300","0","36","0","2"
"1030300","0","37","306","1"
"1020300","0","38","206","1"
"1050300","0","39","502","1"
"4020300","0","40","0","1"
"2030300","0","41","0","1"
"2030300","0","41","0","2"
"4030300","0","42","0","1"
"3020300","10101030","43","0","1"
"1040300","20201030","44","406","1"
"3010300","10101050","45","0","1"
"3040300","10101050","46","0","1"
"3030300","10101050","47","0","1"
"3010300","10101050","48","0","1"
"3020300","10101050","49","0","1"
"1010300","30102050","50","112","1"
