275c7859311e629f7e8027ff069b8bd5e863609416a5899906278a27508f92f5,78e8fa7f787579cb3fe9526a916202a876919a2a97f9218a27f0f06f17c252c4,a1caf16b82d3bffa29b983e7dc0f246433dab5d5fead789ee83496f71ca2faa6,59c5db4ae8d6dd5fb68cc2372d5543a4ba4b4622012a676f9610edf418b21436
"1014601","0","0","10146"
"1014801","0","0","10148"
"1015001","0","0","10150"
"1015201","0","0","10152"
"0","5154007","0","10154"
"1016901","0","0","10169"
"1017001","0","0","10170"
"1017101","0","0","10171"
"1017201","0","0","10172"
"0","5154007","0","10173"
