fb853c205da4294fdace9b8541e80f59dd1bc1449a5957bd21900457bbf68b91,bec2a4c773232020b5f48b9d1b09cc5ee47c392e0b1fc1851412f491ea3a522d,24fb7dc86ddc337982032e11791b5d29f868305ac09c9cc038d6abaeed804340
"與香織的海邊特訓！","5021700","1003"
"始於禮而止於禮","5021701","1003"
"挑戰自己的極限","5021710","1003"
"真的才是最棒的","5021711","1003"
"再次前往艾爾皮斯島！","5027700","1004"
"過熱的戰鬥","5027701","1004"
"真打登場","5027702","1004"
"戰鬥的結果……","5027703","1004"
"朝向更高處邁進！","5027704","1004"
"看守起司！","5040700","1005"
"與小小敵人之間的攻防戰","5040701","1005"
"起司的誘惑","5040702","1005"
"萌生愛意？","5040703","1005"
"勞動會持續到天長地久","5040704","1005"
"通往究極之路","5080700","1008"
"布丁會持續到天長地久","5080701","1008"
"不會結束的假期","5096700","1010"
"競爭、互相理解的羈絆","5096701","1010"
"教教我吧，凱留老師","5126700","1012"
"酸酸甜甜的是誰害的？","5126701","1012"
"最討厭讀書……？","5126702","1012"
"鉛筆100支份的青春","5126703","1012"
"會讀書的女生！","5126710","1012"
"效果驚人到笑出來","5126711","1012"
"熟能生巧？","5126712","1012"
"解不開的不可思議","5126713","1012"
"以更高的境界為目標","5142700","1013"
"挑戰極限","5142701","1013"
"美好的友情","5142702","1013"
"戰車戰鬥大會，開幕！","5156700","1014"
"無限持續的戰鬥跑道","5156701","1014"
"團結一致以答對為目標！","9004201","1009"
