b9025b34bed511c176e87a5623263c3a533ac47f8f98bf4504a22e255565e5e4,6ab57fc0f9264859651606e43cec206c2bc6bb4b6877a792ec046385bd78250a,d7338c515eaaef530f3882d43bcf3120720b20ef08c8d4d388974de28692cc12,e84cec91c3c315bf0dbe88ea2ed567e7e8b88347c32d3a2934f1782088de58fd,cde5b0be5d836da2e4d471f65829d2414dcd1f7c19aea06ad6712a4fa0e70de8,099d376bc4ebf516c6add9d3954c94c656f569be208f913c2d666361b5558a6b,074e80f173ac5bc9f08f6935c413947cb95931e70aefc33f4cbf2dcef625f60d,66799aeba7abfffd6ec07431b644b78adf47a2eb3d781aa24d6fa98e70f5845a,284d5a22f1e9652b364598f188273cf56a536d5e601e99277caf4bcf581d46c6,76a096a1bcb3caa957e81c5eee74a528c42c37b9b588f208f502b3d79c349d53,e5637f7936dc484cac70befac1f007ac3a21e966c5e4d006fea45f5884998ba8
"-68","1","101","20011","1200110001","1","0.8","42","travel_topdrama_r_2000_idle_smile","105811","1"
"-68","1","102","20011","1200110002","1","0.8","-42","travel_topdrama_r_2000_idle_sad_shy","106011","0"
"-75","0","110","20011","1200110003","5","1","0","mana","0","0"
"","0","","20011","1200110004","91","","","","",""
"","10","","20011","1200110005","93","","","","0",""
"","1200110005","","20011","1200110006","101","","","","",""
"","0","0","20011","1200110007","3","0","","","none",""
"","0","","20011","1200110008","91","","","","",""
"","105811","","20012","1200120001","13","","","","103",""
"","106011","","20012","1200120002","13","","","","104",""
"1","105811","0","20012","1200120003","3","0.2","travel_topdrama_r_2000_talk_smile_loop","","travel_topdrama_r_2000_talk_smile_in",""
"","vo_travel_talk","0","20012","1200120004","21","","0","","vo_travel_talk_20001_00",""
"1","105811","10","20012","1200120005","11","0","1","0","小凱留也有好好享受冒險嗎？\n調味料還有非常多，\n發現新種魔物的話要告訴我唷♪","0"
"","0","","20012","1200120006","91","","","","",""
"","105811","1","20012","1200120007","3","0.2","","","travel_topdrama_r_2000_idle_smile",""
"1","106011","1","20012","1200120008","3","0.2","","","travel_topdrama_r_2000_talk_anger_shy",""
"","vo_travel_talk","0","20012","1200120009","21","","0","","vo_travel_talk_20001_01",""
"1","106011","10","20012","1200120010","11","0","1","0","妳啊，通通都搞錯了啊！\n我們要找的是寶物，\n魔物也不是食材啊！","0"
"","0","","20012","1200120011","91","","","","",""
"","106011","1","20012","1200120012","3","0.2","","","travel_topdrama_r_2000_idle_sad_shy",""
"1","105811","0","20012","1200120013","3","0.2","travel_topdrama_r_2000_talk_smile_loop","","travel_topdrama_r_2000_talk_smile_in",""
"","vo_travel_talk","0","20012","1200120014","21","","0","","vo_travel_talk_20001_02",""
"1","105811","10","20012","1200120015","11","0","1","0","好了好了，別這樣說嘛。\n如果完成了新的魔物料理的話，\n我也會分給小凱留的啦♪","0"
"","0","","20012","1200120016","91","","","","",""
"","105811","1","20012","1200120017","3","0.2","","","travel_topdrama_r_2000_idle_smile",""
"","","","20012","1200120018","112","","","","",""
"","0","","20012","1200120019","91","","","","",""
"-68","1","101","20021","1200210001","1","0.8","42","travel_topdrama_r_2000_idle_normal","100211","1"
"-68","1","102","20021","1200210002","1","0.8","-42","travel_topdrama_r_2002_sitting_loop","100111","0"
"-68","3","100","20021","1200210003","5","0.8","-42","travel_topdrama_r_2002_sitting_loop","3","0"
"-75","0","110","20021","1200210004","5","1","0","mana","0","0"
"","0","","20021","1200210005","91","","","","",""
"","10","","20021","1200210006","93","","","","0",""
"","1200210006","","20021","1200210007","101","","","","",""
"","0","0","20021","1200210008","3","0","","","none",""
"","0","","20021","1200210009","91","","","","",""
"","100211","","20022","1200220001","13","","","","103",""
"","100111","","20022","1200220002","13","","","","104",""
"1","100211","1","20022","1200220003","3","0.2","","","travel_topdrama_r_2000_talk_normal",""
"","vo_travel_talk","0","20022","1200220004","21","","0","","vo_travel_talk_20002_00",""
"1","100211","10","20022","1200220005","11","0","1","0","嗯，這樣應該就沒問題了。\n傷口應該都癒合了，\n還有哪裡會痛嗎？","0"
"","0","","20022","1200220006","91","","","","",""
"","100211","1","20022","1200220007","3","0.2","","","travel_topdrama_r_2000_idle_normal",""
"","vo_travel_talk","0","20022","1200220008","21","","0","","vo_travel_talk_20002_01",""
"1","100111","10","20022","1200220009","11","0","1","0","沒問題了，謝謝妳！\n果然在長途的旅程中，\n優衣的魔法非常可靠呢♪","0"
"","0","","20022","1200220010","91","","","","",""
"1","100211","0","20022","1200220011","3","0.2","travel_topdrama_r_2000_talk_wish_loop_joy","","travel_topdrama_r_2000_talk_wish_in_joy",""
"","vo_travel_talk","0","20022","1200220012","21","","0","","vo_travel_talk_20002_02",""
"1","100211","10","20022","1200220013","11","0","1","0","不用客氣♪\n雖然不要受傷最好的，但有\n困難的時候不用客氣儘管跟我說唷？","0"
"","0","","20022","1200220014","91","","","","",""
"","100211","1","20022","1200220015","3","0.2","","","travel_topdrama_r_2000_idle_wish_joy",""
"","","","20022","1200220016","112","","","","",""
"","0","","20022","1200220017","91","","","","",""
"-68","1","101","20031","1200310001","1","0.8","-42","travel_topdrama_r_2000_idle_doya","100411","0"
"-68","1","102","20031","1200310002","1","0.8","42","travel_topdrama_r_2000_idle_normal","102011","1"
"-75","0","110","20031","1200310003","5","1","0","mana","0","0"
"","0","","20031","1200310004","91","","","","",""
"","10","","20031","1200310005","93","","","","0",""
"","1200310005","","20031","1200310006","101","","","","",""
"","0","0","20031","1200310007","3","0","","","none",""
"","0","","20031","1200310008","91","","","","",""
"","100411","","20032","1200320001","13","","","","103",""
"","102011","","20032","1200320002","13","","","","104",""
"1","100411","0","20032","1200320003","3","0.2","travel_topdrama_r_2000_talk_doya_loop","","travel_topdrama_r_2000_talk_doya_in",""
"","vo_travel_talk","0","20032","1200320004","21","","0","","vo_travel_talk_20003_00",""
"1","100411","10","20032","1200320005","11","0","1","0","冒險的準備是非常重要的！\n所以為了不要迷路\n把指南針給帶來了～♪","0"
"","0","","20032","1200320006","91","","","","",""
"","100411","1","20032","1200320007","3","0.2","","","travel_topdrama_r_2000_idle_doya",""
"1","102011","0","20032","1200320008","3","0.2","travel_topdrama_r_2000_talk_wish_loop","","travel_topdrama_r_2000_talk_wish_in",""
"","vo_travel_talk","0","20032","1200320009","21","","0","","vo_travel_talk_20003_01",""
"1","102011","10","20032","1200320010","11","0","1","0","禊好厲害呀～♪\n這個指南針一直轉來轉去的，\n要怎麼看方向呀～？","0"
"","0","","20032","1200320011","91","","","","",""
"","102011","1","20032","1200320012","3","0.2","","","travel_topdrama_r_2000_idle_wish",""
"1","100411","0","20032","1200320013","3","0.2","travel_topdrama_r_2000_talk_sad_loop_surprise2","","travel_topdrama_r_2000_talk_sad_in_surprise2",""
"","vo_travel_talk","0","20032","1200320014","21","","0","","vo_travel_talk_20003_02",""
"1","100411","10","20032","1200320015","11","0","1","0","咦？轉來轉去？\n……啊～！？惡作劇要用的磁鐵，\n不小心放在同一個口袋裡了～！","0"
"","0","","20032","1200320016","91","","","","",""
"","100411","1","20032","1200320017","3","0.2","","","travel_topdrama_r_2000_idle_sad_surprise2",""
"","","","20032","1200320018","112","","","","",""
"","0","","20032","1200320019","91","","","","",""
"-68","1","101","20041","1200410001","1","0.8","42","travel_topdrama_r_2000_idle_normal","105311","1"
"-68","1","102","20041","1200410002","1","0.8","-42","travel_topdrama_r_2000_idle_wish","104511","0"
"-75","0","110","20041","1200410003","5","1","0","mana","0","0"
"","0","","20041","1200410004","91","","","","",""
"","10","","20041","1200410005","93","","","","0",""
"","1200410005","","20041","1200410006","101","","","","",""
"","0","0","20041","1200410007","3","0","","","none",""
"","0","","20041","1200410008","91","","","","",""
"","105311","","20042","1200420001","13","","","","103",""
"","104511","","20042","1200420002","13","","","","104",""
"1","105311","0","20042","1200420003","3","0.2","travel_topdrama_r_2000_talk_surprise_loop_sad","","travel_topdrama_r_2000_talk_surprise_in_sad",""
"","vo_travel_talk","0","20042","1200420004","21","","0","","vo_travel_talk_20004_00",""
"1","105311","10","20042","1200420005","11","0","1","0","怎、怎麼了空花！？\n臉紅通通的，還出了這麼多汗……\n是有哪裡不舒服的嘛！？","0"
"","0","","20042","1200420006","91","","","","",""
"","105311","1","20042","1200420007","3","0.2","","","travel_topdrama_r_2000_idle_surprise_sad",""
"1","104511","1","20042","1200420008","3","0.2","","","travel_topdrama_r_2000_talk_wish_loop",""
"","vo_travel_talk","0","20042","1200420009","21","","0","","vo_travel_talk_20004_01",""
"1","104511","10","20042","1200420010","11","0","1","0","現在要去的地方有從未見過\n的可怕魔物，與其對峙空花一定\n會受到前所未有的凌虐……♪","0"
"","0","","20042","1200420011","91","","","","",""
"","104511","1","20042","1200420012","3","0.2","","","travel_topdrama_r_2000_idle_wish",""
"1","105311","0","20042","1200420013","3","0.2","travel_topdrama_r_2000_talk_doya_loop_sad","","travel_topdrama_r_2000_talk_doya_in_sad",""
"","vo_travel_talk","0","20042","1200420014","21","","0","","vo_travel_talk_20004_02",""
"1","105311","10","20042","1200420015","11","0","1","0","啊，平常的妄想啊。\n整個白擔心了的感覺，\n拜託妳集中進行任務啊！","0"
"","0","","20042","1200420016","91","","","","",""
"","105311","1","20042","1200420017","3","0.2","","","travel_topdrama_r_2000_idle_doya_sad",""
"","","","20042","1200420018","112","","","","",""
"","0","","20042","1200420019","91","","","","",""
"-68","1","101","20051","1200510001","1","0.8","-42","travel_topdrama_r_2000_idle_thinking","100911","0"
"-68","1","102","20051","1200510002","1","0.8","42","travel_topdrama_r_2000_idle_arm_crossed","105611","1"
"-75","0","110","20051","1200510003","5","1","0","mana","0","0"
"","0","","20051","1200510004","91","","","","",""
"","10","","20051","1200510005","93","","","","0",""
"","1200510005","","20051","1200510006","101","","","","",""
"","0","0","20051","1200510007","3","0","","","none",""
"","0","","20051","1200510008","91","","","","",""
"","100911","","20052","1200520001","13","","","","103",""
"","105611","","20052","1200520002","13","","","","104",""
"1","100911","1","20052","1200520003","3","0.2","","","travel_topdrama_r_2000_talk_thinking",""
"","vo_travel_talk","0","20052","1200520004","21","","0","","vo_travel_talk_20005_00",""
"1","100911","10","20052","1200520005","11","0","1","0","潛在我內心的黑暗在訴說著……\n眾多的命運的線條會複雜的纏繞著，\n這趟旅程將會成為壯大的冒險記！","0"
"","0","","20052","1200520006","91","","","","",""
"","100911","1","20052","1200520007","3","0.2","","","travel_topdrama_r_2000_idle_thinking",""
"1","105611","0","20052","1200520008","3","0.2","travel_topdrama_r_2000_talk_arm_crossed_loop","","travel_topdrama_r_2000_talk_arm_crossed_in",""
"","vo_travel_talk","0","20052","1200520009","21","","0","","vo_travel_talk_20005_01",""
"1","105611","10","20052","1200520010","11","0","1","0","這樣啊。\n那麼首先，妳可以先接受\n去收集柴火的命運嗎？","0"
"","0","","20052","1200520011","91","","","","",""
