fd9cfc30ffe5b3318a65e26bb71b16c239bfbf7618083abd4c47d927d62a2682,b27d66d72e2df9a437ab10a1ba3c1b85cadecd97ee6d0d30e38e5362dfb3dbb0,95a577e935acc386fb0c8a1ce0ba9db2f3a92edfbd7e96dd617a5b52838327c0,74b80a0ac6fcba4f425fad679fd83cf66e8280e36d7bcd05962a2a3f146f50b9,bf1c99bab8d93be9d37386b29f50df9446f231ef9a8dcfc676a28821d6e1758a,0601585d617a99e641b86df776cef855cdd178954f352309353490fb6433201b,2a58c5cdd32eb87b638f7c45d9de812bc0d0b02ce5ddb8655f58dda7da206da5,8abdb78bf8519ea932e32ab91bd55a437560c455483194abd02a4107ace508b2,cc86d14f7275668d8675417c84477c8c83306608ff2a0983e817683fffbf5ab9,cba742ab23b4dc3829dad5d1ef9447bc764f9a58c2ad52d16395bd4668fc622c,4a0651b48a8cc13f09f3dcb1ac7012acdc502b5e38e340f0ce07f48237d505a4
"25021","31","91002","10","25011","2","8","1","2","8","281001001"
"25021","31","91002","10","25011","2","8","2","2","8","281001002"
"25021","32","91002","10","25011","2","8","3","2","8","281001003"
"25021","32","91002","10","25011","2","8","4","2","8","281001004"
"25021","33","91002","10","25011","2","8","5","2","8","281001005"
"25021","33","91002","10","25011","2","9","6","2","8","281001006"
"25021","34","91002","10","25011","2","9","7","2","8","281001007"
"25021","35","91002","10","25011","2","9","8","2","8","281001008"
"25021","35","91002","10","25011","2","9","9","2","8","281001009"
"25021","37","91002","30","25011","2","10","10","2","8","281001010"
"25021","41","91002","10","25011","2","10","11","2","8","281001011"
"25021","43","91002","10","25011","2","11","12","2","8","281001012"
"25021","46","91002","10","25011","2","11","13","2","8","281001013"
"25021","48","91002","10","25011","2","12","14","2","8","281001014"
"25021","50","91002","10","25011","2","12","15","2","8","281001015"
"25021","53","91002","10","25011","2","13","16","2","8","281001016"
"25021","55","91002","10","25011","2","14","17","2","8","281001017"
"25021","58","91002","10","25011","2","14","18","2","8","281001018"
"25021","60","91002","10","25011","2","15","19","2","8","281001019"
"25021","62","91002","30","25011","2","15","20","2","8","281001020"
"25021","68","91002","10","25011","2","16","21","2","8","281001021"
"25021","70","91002","10","25011","2","16","22","2","8","281001022"
"25021","72","91002","10","25011","2","16","23","2","8","281001023"
"25021","75","91002","10","25011","2","17","24","2","8","281001024"
"25021","77","91002","10","25011","2","18","25","2","8","281001025"
"25021","79","91002","10","25011","2","18","26","2","8","281001026"
"25021","82","91002","10","25011","2","19","27","2","8","281001027"
"25021","84","91002","10","25011","2","19","28","2","8","281001028"
"25021","86","91002","10","25011","2","19","29","2","8","281001029"
"25021","89","91002","30","25011","2","20","30","2","8","281001030"
"25021","94","91002","10","25011","2","20","31","2","8","281001031"
"25021","96","91002","10","25011","2","21","32","2","8","281001032"
"25021","99","91002","10","25011","2","21","33","2","8","281001033"
"25021","101","91002","10","25011","2","22","34","2","8","281001034"
"25021","103","91002","10","25011","2","22","35","2","8","281001035"
"25021","106","91002","10","25011","2","23","36","2","8","281001036"
"25021","108","91002","10","25011","2","23","37","2","8","281001037"
"25021","111","91002","10","25011","2","24","38","2","8","281001038"
"25021","113","91002","10","25011","2","25","39","2","8","281001039"
"25021","115","91002","30","25011","2","25","40","2","8","281001040"
"25021","121","91002","10","25011","2","26","41","2","8","281001041"
"25021","123","91002","10","25011","2","27","42","2","8","281001042"
"25021","125","91002","10","25011","2","28","43","2","8","281001043"
"25021","128","91002","10","25011","2","28","44","2","8","281001044"
"25021","130","91002","10","25011","2","29","45","2","8","281001045"
"25021","132","91002","10","25011","2","30","46","2","8","281001046"
"25021","135","91002","10","25011","2","30","47","2","8","281001047"
"25021","137","91002","10","25011","2","31","48","2","8","281001048"
"25021","139","91002","10","25011","2","31","49","2","8","281001049"
"25021","142","91002","30","25011","2","31","50","2","8","281001050"
"25021","144","91002","10","25011","2","32","51","2","8","281001051"
"25021","146","91002","10","25011","2","32","52","2","8","281001052"
"25021","149","91002","10","25011","2","32","53","2","8","281001053"
"25021","152","91002","10","25011","2","33","54","2","8","281001054"
"25021","155","91002","10","25011","2","33","55","2","8","281001055"
"25021","157","91002","10","25011","2","33","56","2","8","281001056"
"25021","160","91002","10","25011","2","34","57","2","8","281001057"
"25021","163","91002","10","25011","2","34","58","2","8","281001058"
"25021","166","91002","10","25011","2","34","59","2","8","281001059"
"25021","169","91002","30","25011","2","35","60","2","8","281001060"
"25021","171","91002","10","25011","2","35","61","2","8","281001061"
"25021","174","91002","10","25011","2","35","62","2","8","281001062"
"25021","177","91002","10","25011","2","36","63","2","8","281001063"
"25021","180","91002","10","25011","2","36","64","2","8","281001064"
"25021","182","91002","10","25011","2","36","65","2","8","281001065"
"25021","185","91002","10","25011","2","37","66","2","8","281001066"
"25021","187","91002","10","25011","2","37","67","2","8","281001067"
"25021","190","91002","10","25011","2","37","68","2","8","281001068"
"25021","193","91002","10","25011","2","38","69","2","8","281001069"
"25021","196","91002","30","25011","2","38","70","2","8","281001070"
"25021","200","91002","10","25011","2","39","71","2","8","281001071"
"25021","204","91002","10","25011","2","39","72","2","8","281001072"
