73e94484f745af4ad1062de2e7084754ab23c915b96cf8e3e28e6780e92eb042,f7c63c21219eb8e63625556fe21e2862de3358bf3d91234837cd2eef22d9eadc,c6e03274a0f4e1aa85089542ac01420e2bb3922b7dad6df816d8b1f8e0cba9b5,f478cf3923533d9b1e5fe522c14c2a2f76de279b53efae6768ebf0ed00083cb0,80ecadd67f90f25b803e6e333963d24cf7877236c604042206289e6a3a665be8
"1","10053","10053102","6017101","信賴度"
"1","10129","10129106","6102101","信賴度"
"1","10131","10131114","6104101","信賴度"
"1","10141","10141107","6114101","信賴度"
"1","10144","10144102","6144101","信賴度"
"1","10151","10151110","6124101","信賴度"
"1","20015","0","0","信賴度"
"1","20017","0","0","信賴度"
"1","20018","0","0","信賴度"
"1","20019","0","0","信賴度"
"1","20020","0","0","信賴度"
"1","20022","0","0","信賴度"
"1","20023","0","0","信賴度"
"1","20024","0","0","信賴度"
"1","20025","0","0","信賴度"
"1","20026","0","0","信賴度"
"1","20028","0","0","信賴度"
"1","20029","0","0","信賴度"
"1","20030","0","0","信賴度"
"1","20031","0","0","信賴度"
"1","20032","0","0","信賴度"
"1","20035","0","0","信賴度"
"1","20037","0","0","信賴度"
"1","20038","0","0","信賴度"
"1","20042","0","0","信賴度"
"1","20043","0","0","信賴度"
"1","20048","0","0","信賴度"
"1","20049","0","0","信賴度"
"1","20051","0","0","信賴度"
"1","20054","0","0","信賴度"
