4f8e722e92bc9747b0059657d2b3628ef08c480f4663da33a2e72995fea86cdf,e95edc60629569f1a95ee71110e1846143d62e687dde0dce77864057969baed8,f9ce7ac591e4d3816d196dada353f16ff0d9ce675b711480c9a56c07d1172199,72d59073a0d04b75f7d0ff47e4fb423b8ece834a9e5b172533ff22ab29ef8363,44a9e74cd35846339585ac0335e074cb1900eaaebc5eacdbbc468dae84c855d6,7e71628b0b391e19533a0cac66fe11ca4ddd2376c580003f017b8bcfe6ce7921
"50000","50000","2","1","1","26202"
"10","10","2","2","1","90013"
"1","0","2","3","1","26203"
"55000","55000","2","4","2","26202"
"10","10","2","5","2","90013"
"1","0","2","6","2","26203"
"60000","60000","2","7","3","26202"
"10","10","2","8","3","90013"
"1","0","2","9","3","26203"
"65000","65000","2","10","4","26202"
"10","10","2","11","4","90013"
"1","0","2","12","4","26203"
"70000","70000","2","13","5","26202"
"10","10","2","14","5","90013"
"1","0","2","15","5","26203"
"75000","75000","2","16","6","26202"
"10","10","2","17","6","90013"
"1","0","2","18","6","26203"
"80000","80000","2","19","7","26202"
"10","10","2","20","7","90013"
"1","0","2","21","7","26203"
"85000","85000","2","22","8","26202"
"10","10","2","23","8","90013"
"1","0","2","24","8","26203"
"90000","90000","2","25","9","26202"
"20","20","2","26","9","90013"
"1","0","2","27","9","26203"
"95000","95000","2","28","10","26202"
"20","20","2","29","10","90013"
"1","0","2","30","10","26203"
"100000","100000","2","31","11","26202"
"20","20","2","32","11","90013"
"1","0","2","33","11","26203"
"105000","105000","2","34","12","26202"
"20","20","2","35","12","90013"
"1","0","2","36","12","26203"
