dfb276dbe83da1cbbedc670960e476fb7d0f46abf850bd8386f178e39aa2dff6,a413713a022ee724dcf06c56ff1d2f41ba5dd488b3c522b790fed1aa0f592cf2,fb7e1aca4adf94ab4fb00b597855c531f0c866cd6b55005903dcf58287574a1e,2dccb81e1f9e2dbb512c2d0c22c8dd4bfbb974fc574f2938ec7b8a414c500582,e35c0491c16b0bf6d375fc002d1f804fcc776cdfff262628352c18ba33780659,f32f7e2dc8c07223fea5e25aea8536b92cb09ce7b463bf16db2348d32b4192da,b59f682ee54d538673b34a550126d17c049f032bfb6de21da0bebc4c104aad90,ea6d54c88e1b10200cdd0e4211c9583ff0e309864c26913c46f2039df3c42dd8,d0d6ee73745a1cd955e05a7562132fb1b3669f233f3b08484a620480b149720e,ba112f7da71414e1be243d88274b6dec1f3fea66440c806d7b4c78a49832b492,6661bdac27f0744eeb2df2b7e5ec8c8b860eaf58028be48a08b18528c2969d98,50527bbc84c461688ca0c67cfa3ab11254c1a1a047701d79405f4df2167b6cf5
"0","0","100980101","1","0","0","4","0","1","0.8","0","1009801"
"0","vo_lsv","100980102","2","0","vo_lsv_0101","2","0","0","0","0","1009801"
"2","0","100980103","3","300","0","1","1","0","0","0","1009801"
"0","0","100980104","4","0","0","4","0","1","2.3","0","1009801"
"2","0","100980105","5","280","0","1","2","0","0","0","1009801"
"0","0","100980106","6","0","0","4","0","1","3","0","1009801"
"0","vo_lsv","100980107","7","0","vo_lsv_0102","2","0","0","0","0","1009801"
"2.05","0","100980108","8","300","0","1","3","0","0","0","1009801"
"0","0","100980109","9","0","0","4","0","1","2.05","0","1009801"
"1.8","0","100980110","10","327","0","1","4","0","0","0","1009801"
"0","0","100980111","11","0","0","4","0","1","2.8","0","1009801"
"0","vo_lsv","100980112","12","0","vo_lsv_0103","2","0","0","0","0","1009801"
"2.3","0","100980113","13","300","0","1","5","0","0","0","1009801"
"0","0","100980114","14","0","0","4","0","1","2.5","0","1009801"
"1.9","0","100980115","15","275","0","1","6","0","0","0","1009801"
"0","0","100980116","16","0","0","4","0","1","2.9","0","1009801"
"0","vo_lsv","100980117","17","0","vo_lsv_0104","2","0","0","0","0","1009801"
"2.7","0","100980118","18","300","0","1","7","0","0","0","1009801"
"0","0","100980119","19","0","0","4","0","1","2.9","0","1009801"
"2.3","0","100980120","20","310","0","1","8","0","0","0","1009801"
"0","0","100980121","21","0","0","4","0","1","2.3","0","1009801"
"1.8","0","100980122","22","250","0","1","9","0","0","0","1009801"
"0","0","100980123","23","0","0","4","0","1","2.8","0","1009801"
"0","vo_lsv","100980124","24","0","vo_lsv_0105","2","0","0","0","0","1009801"
"2.5","0","100980125","25","320","0","1","10","0","0","0","1009801"
"0","0","100980126","26","0","0","4","0","1","2.5","0","1009801"
"0.7","0","100980127","27","165","0","1","11","0","0","15","1009801"
"0","0","100980201","1","0","0","4","0","1","0.8","0","1009802"
"0","vo_lsv","100980202","2","0","vo_lsv_0201","2","0","0","0","0","1009802"
"1.51","0","100980203","3","300","0","1","1","0","0","0","1009802"
"0","0","100980204","4","0","0","4","0","1","1.51","0","1009802"
"1.5","0","100980205","5","300","0","1","1","0","0","300","1009802"
"0","0","100980206","6","0","0","4","0","1","2.5","0","1009802"
"0","vo_lsv","100980207","7","0","vo_lsv_0202","2","0","0","0","0","1009802"
"1.8","0","100980208","8","300","0","1","2","0","0","0","1009802"
"0","0","100980209","9","0","0","4","0","1","1.8","0","1009802"
"1.1","0","100980210","10","300","0","1","3","0","0","0","1009802"
"0","0","100980211","11","0","0","4","0","1","2.1","0","1009802"
"0","vo_lsv","100980212","12","0","vo_lsv_0203","2","0","0","0","0","1009802"
"1.95","0","100980213","13","300","0","1","4","0","0","0","1009802"
"0","0","100980214","14","0","0","4","0","1","1.95","0","1009802"
"2.05","0","100980215","15","310","0","1","5","0","0","0","1009802"
"0","0","100980216","16","0","0","4","0","1","2.05","0","1009802"
"0.8","0","100980217","17","310","0","1","5","0","0","310","1009802"
"0","0","100980218","18","0","0","4","0","1","1.8","0","1009802"
"0","vo_lsv","100980219","19","0","vo_lsv_0204","2","0","0","0","0","1009802"
"1.7","0","100980220","20","300","0","1","6","0","0","0","1009802"
"0","0","100980221","21","0","0","4","0","1","2.1","0","1009802"
"2.3","0","100980222","22","327","0","1","7","0","0","0","1009802"
"0","0","100980223","23","0","0","4","0","1","3.3","0","1009802"
"0","vo_lsv","100980224","24","0","vo_lsv_0205","2","0","0","0","0","1009802"
"1.83","0","100980225","25","300","0","1","8","0","0","0","1009802"
"0","0","100980226","26","0","0","4","0","1","2.4","0","1009802"
"1.7","0","100980227","27","300","0","1","9","0","0","0","1009802"
"0","0","100980228","28","0","0","4","0","1","2.1","0","1009802"
"1.1","0","100980229","29","210","0","1","10","0","0","0","1009802"
"0","0","100980230","30","0","0","4","0","1","0.5","0","1009802"
"0","0","100980301","1","0","0","4","0","1","0.8","0","1009803"
"0","vo_lsv","100980302","2","0","vo_lsv_0301","2","0","0","0","0","1009803"
"1.87","0","100980303","3","141","0","1","1","0","0","0","1009803"
"0","0","100980304","4","0","0","4","0","1","2","0","1009803"
"0.561","0","100980305","5","300","0","1","1","0","0","141","1009803"
"0","0","100980306","6","0","0","4","0","1","1.561","0","1009803"
"0","vo_lsv","100980307","7","0","vo_lsv_0302","2","0","0","0","0","1009803"
"1.3","0","100980308","8","320","0","1","2","0","0","0","1009803"
"0","0","100980309","9","0","0","4","0","1","1.3","0","1009803"
"1.2","0","100980310","10","227","0","1","3","0","0","0","1009803"
"0","0","100980311","11","0","0","4","0","1","2.2","0","1009803"
"0","vo_lsv","100980312","12","0","vo_lsv_0303","2","0","0","0","0","1009803"
"2.1","0","100980313","13","280","0","1","4","0","0","0","1009803"
"0","0","100980314","14","0","0","4","0","1","2.1","0","1009803"
"1.2","0","100980315","15","280","0","1","5","0","0","0","1009803"
"0","0","100980316","16","0","0","4","0","1","2.2","0","1009803"
"0","vo_lsv","100980317","17","0","vo_lsv_0304","2","0","0","0","0","1009803"
"1.305","0","100980318","18","350","0","1","6","0","0","0","1009803"
"0","0","100980319","19","0","0","4","0","1","1.305","0","1009803"
"2.181","0","100980320","20","350","0","1","6","0","0","350","1009803"
"0","0","100980321","21","0","0","4","0","1","2.781","0","1009803"
"1.32","0","100980322","22","350","0","1","7","0","0","0","1009803"
"0","0","100980323","23","0","0","4","0","1","2.32","0","1009803"
"0","vo_lsv","100980324","24","0","vo_lsv_0305","2","0","0","0","0","1009803"
"2.453","0","100980325","25","350","0","1","8","0","0","0","1009803"
"0","0","100980326","26","0","0","4","0","1","2.453","0","1009803"
"1.547","0","100980327","27","350","0","1","9","0","0","0","1009803"
"0","0","100980328","28","0","0","4","0","1","2.547","0","1009803"
"0","vo_lsv","100980329","29","0","vo_lsv_0306","2","0","0","0","0","1009803"
"1.95","0","100980330","30","350","0","1","10","0","0","0","1009803"
"0","0","100980331","31","0","0","4","0","1","2.95","0","1009803"
"0","vo_lsv","100980332","32","0","vo_lsv_0307","2","0","0","0","0","1009803"
"1.39","0","100980333","33","240","0","1","11","0","0","0","1009803"
"0","0","100980401","1","0","0","4","0","1","0.8","0","1009804"
"0","vo_lsv","100980402","2","0","vo_lsv_0401","2","0","0","0","0","1009804"
"1.2","0","100980403","3","300","0","1","1","0","0","0","1009804"
"0","0","100980404","4","0","0","4","0","1","1.2","0","1009804"
"1.8","0","100980405","5","300","0","1","2","0","0","0","1009804"
"0","0","100980406","6","0","0","4","0","1","2.8","0","1009804"
"0","vo_lsv","100980407","7","0","vo_lsv_0402","2","0","0","0","0","1009804"
"2.35","0","100980408","8","355","0","1","3","0","0","0","1009804"
"0","0","100980409","9","0","0","4","0","1","3.35","0","1009804"
"0","vo_lsv","100980410","10","0","vo_lsv_0403","2","0","0","0","0","1009804"
"1.669","0","100980411","11","300","0","1","4","0","0","0","1009804"
"0","0","100980412","12","0","0","4","0","1","2.1","0","1009804"
"1.7","0","100980413","13","230","0","1","5","0","0","0","1009804"
"0","0","100980414","14","0","0","4","0","1","2","0","1009804"
"1.35","0","100980415","15","230","0","1","6","0","0","0","1009804"
"0","0","100980416","16","0","0","4","0","1","2.85","0","1009804"
"0","vo_lsv","100980417","17","0","vo_lsv_0404","2","0","0","0","0","1009804"
"1.51","0","100980418","18","327","0","1","7","0","0","0","1009804"
"0","0","100980419","19","0","0","4","0","1","1.61","0","1009804"
"1.29","0","100980420","20","327","0","1","7","0","0","327","1009804"
"0","0","100980421","21","0","0","4","0","1","1.949","0","1009804"
"1.925","0","100980422","22","300","0","1","8","0","0","0","1009804"
"0","0","100980501","1","0","0","4","0","1","0.8","0","1009805"
"0","vo_lsv","100980502","2","0","vo_lsv_0501","2","0","0","0","0","1009805"
"2.115","0","100980503","3","300","0","1","1","0","0","0","1009805"
"0","0","100980504","4","0","0","4","0","1","3.115","0","1009805"
"0","vo_lsv","100980505","5","0","vo_lsv_0502","2","0","0","0","0","1009805"
"1.743","0","100980506","6","310","0","1","2","0","0","0","1009805"
"0","0","100980507","7","0","0","4","0","1","2.743","0","1009805"
"0","vo_lsv","100980508","8","0","vo_lsv_0503","2","0","0","0","0","1009805"
"1.86","0","100980509","9","300","0","1","3","0","0","0","1009805"
"0","0","100980510","10","0","0","4","0","1","2.26","0","1009805"
"1.667","0","100980511","11","350","0","1","4","0","0","0","1009805"
"0","0","100980512","12","0","0","4","0","1","2.324","0","1009805"
"2.168","0","100980513","13","310","0","1","5","0","0","0","1009805"
"0","0","100980514","14","0","0","4","0","1","3.168","0","1009805"
"0","vo_lsv","100980515","15","0","vo_lsv_0504","2","0","0","0","0","1009805"
"1.752","0","100980516","16","300","0","1","6","0","0","0","1009805"
"0","0","100980517","17","0","0","4","0","1","2.276","0","1009805"
"1.43","0","100980518","18","300","0","1","7","0","0","0","1009805"
