558e0b22689c7bfe724142e119b46f98cd63203ff7ee2b215d15265f27f6f397,df52e01d61c271e0b13db76fcca8f37e19c8e76bd0aff5770caa257c11ead95b,2b8340432ca7de8b507b1cce8997a2c510ce8aeb1fb5b78a340d9b650bc4d7c0,6b7c0e3fdae464c929e6eaa01b2b9413761b17d4ee916e2a510522c42cf7093c,b24d7dbe515d8ee877456f324ab2f6e47fa5fbe9a2dc7c8dfd166d388cac663b,4c3a195c98b790250653e42e41ffcd0cd2664efd6d3d2b37d5179491a6ff0344,9f592e9386e69df289b19894023fbf6d3d0345646062da4af7e3da5f0d77917d,fd494160d5b4d462fb420efeb5473233f147a065b4e786d59f7405d4f64fb0aa,e6ab22d82d010e0a01adcccb9e09279bc51be085cc467bdcd5f87146e080e23e,cd00e7f70a12b64780da13788d75bf9baeb1de81679216daaecf6093e725c021,f3c04f0358caf97ba125cd1d37c330879f09292a1b1c564fb6fe68532c11904e,7051f27c2a218f2f0bcd883c41adaf9373eacaf314e6e0d18dfe4c58db41bafa,bb07a548edae971d9a9dc3a3a3e5997353a3d6a30d9315def7581a4a59f9718a,6400417e5b1bca7f3694298c4c46f0fd0967e96432e1287f7bb465a0b7c52039,7d46633cde7e3b19de7274a1c761416c28c3b75eb10fa79b317091eb35bdf1c8
"100113","0","0","bgm_M57","0","90","1","100113","1","701000101","110001","EASY","90110001","1","bgm_M57"
"100113","0","0","bgm_M57","0","90","1","100113","1","701000102","110001","NORMAL","90110002","2","bgm_M57"
"100113","0","0","bgm_M57","0","90","1","100113","1","701000103","110001","HARD","90110003","3","bgm_M57"
"100113","0","0","bgm_M57","0","90","1","100113","1","701000104","110001","VERY HARD","90110004","4","bgm_M57"
"100113","0","0","bgm_M57","0","90","1","100113","1","701000105","110001","EXTREME","90110005","5","bgm_M57"
"103013","0","0","bgm_M169","0","90","1","103013","2","701000201","120001","EASY","90120001","1","bgm_M169"
"103013","0","0","bgm_M169","0","90","1","103013","2","701000202","120001","NORMAL","90120002","2","bgm_M169"
"103013","0","0","bgm_M169","0","90","1","103013","2","701000203","120001","HARD","90120003","3","bgm_M169"
"103013","0","0","bgm_M169","0","90","1","103013","2","701000204","120001","VERY HARD","90120004","4","bgm_M169"
"103013","0","0","bgm_M169","0","90","1","103013","2","701000205","120001","EXTREME","90120005","5","bgm_M169"
"100113","0","0","bgm_M64","0","90","1","100113","3","701000301","130001","EASY","90130001","1","bgm_M64"
"100113","0","0","bgm_M64","0","90","1","100113","3","701000302","130001","NORMAL","90130002","2","bgm_M64"
"100113","0","0","bgm_M64","0","90","1","100113","3","701000303","130001","HARD","90130003","3","bgm_M64"
"100113","0","0","bgm_M64","0","90","1","100113","3","701000304","130001","VERY HARD","90130004","4","bgm_M64"
"100113","0","0","bgm_M64","0","90","1","100113","3","701000305","130001","EXTREME","90130005","5","bgm_M64"
"100113","0","0","bgm_M07","0","90","1","100113","4","701000401","140001","EASY","90140001","1","bgm_M07"
"100113","0","0","bgm_M07","0","90","1","100113","4","701000402","140001","NORMAL","90140002","2","bgm_M07"
"100113","0","0","bgm_M07","0","90","1","100113","4","701000403","140001","HARD","90140003","3","bgm_M07"
"100113","0","0","bgm_M07","0","90","1","100113","4","701000404","140001","VERY HARD","90140004","4","bgm_M07"
"100113","0","0","bgm_M07","0","90","1","100113","4","701000405","140001","EXTREME","90140005","5","bgm_M07"
"103013","0","0","bgm_M170","0","90","1","103013","5","701000501","150001","EASY","90150001","1","bgm_M170"
"103013","0","0","bgm_M170","0","90","1","103013","5","701000502","150001","NORMAL","90150002","2","bgm_M170"
"103013","0","0","bgm_M170","0","90","1","103013","5","701000503","150001","HARD","90150003","3","bgm_M170"
"103013","0","0","bgm_M170","0","90","1","103013","5","701000504","150001","VERY HARD","90150004","4","bgm_M170"
"103013","0","0","bgm_M170","0","90","1","103013","5","701000505","150001","EXTREME","90150005","5","bgm_M170"
