5de0c15908a526a5461b930e10f014c245bfb91efbe5ba6f51b6295166740158,c942a473aa666310586a2ba652d14765a531e937f2a56cd33da1799085357ad2,62a571e463ec7c6523805e323c31826531f64dbc07b76db797e8f490fb09b132,2c60e7ede46c9cd2b896fc6f5c44365f51b1c7e0d662d531c361b95df16b086b,f56195194b6723a779cf9b520c66c2bf5c266ef71e17a3dea275f7c1bb91ae05,369d4639042cb8caa3349959203617980a5d14fa242b45c85d3cba7b51de8bdf,925cdfa2cf5cd452a8b4c49e059e066aa048ad44f052a44ef145a087d271bff3,6e9f5ee1c061f8acedcc1c024d8db51619405e653848a8bb588f78bfc85b523b,679b0e12c21fbd5fd6c34c34ca7ced5303f6d1e6af9b5aa0391772a3ca75fd91,ee3c84f58dfaf6915255f89e6a132ee3f00b3d6a0a855ac52925db09f048eb5d,707d2aa8340ce90028a20dc9534f70140ce2b807d54984a15a309d72379359ae,f04ffe6377fc3ea57f6f026458eaf7d76112c38f134239f59dac86d15b795337,4f42acb29a5b7b7b9a9043ab03f5339f714dbb76118d46ac9662ce4267a706d1,a8a57bd9aa7205e103365cea9ff817ecb8188ddcf48680f1748be3b53199880f,b4697b751d4571780292eeb21f6af32d84c6ac7db33a0d9818c579821a3d9605
"5118061","0","1","吉塔去到跳蚤市場，\n遇見了從城裡偷溜出來的貪吃佩可。","8","91002","7","2","與貪吃佩可的相遇","在藍天下的謁見","20063115","跳蚤市場會場","40","2834","10118"
"5118062","0","1","吉塔等人在逛跳蚤市場之際，\n出來擺攤的真步叫住他們。","8","91002","7","2","與真步的相遇","未來的騎空團\n吉祥物？","20063115","跳蚤市場會場","40","2835","10118"
"5118063","0","1","吉塔在確認要給騎空團的委託時，\n揚聲高笑的秋乃現身。","8","91002","7","2","與秋乃的相遇","來自大小姐的\n緊急委託","20063115","蘭德索爾市中心","40","2837","10118"
"5118064","0","1","吉塔等人在跳蚤市場會場\n看到略顯困擾的純。","8","91002","18","2","與純的相遇","金黃色的煩惱","20063115","跳蚤市場會場","40","4108402","10118"
"5118065","0","1","在跳蚤市場一角舉行的格鬥大會──\n香織她人也在那裡……？","8","91002","18","2","與香織的相遇","白熱化！格鬥大會！","20063115","跳蚤市場會場","40","4107402","10118"
"5118066","1","1","正在準備太鼓祭典的大江戶町──\n吉塔遇見看似一臉困擾的妮諾。","8","91002","16","2","與妮諾的相遇","祭典太鼓是大江戶之花","20063115","大江戶町","40","9000227","10118"
"5118067","0","1","碧卡拉看到參與活動演出的鈴奈。\n不過，鈴奈看起來好像很困擾的樣子……？","8","91002","19","3","與鈴奈的相遇","受歡迎的人\n總是姍姍來遲","20063115","跳蚤市場會場","40","2101181","10118"
"5118068","0","1","碧卡拉等人在街上散步時，\n路過的七七香一臉興奮地靠了過來……？","8","91002","18","3","與七七香的相遇","當巫女遇上魔法少女","20063115","蘭德索爾市中心","40","4109402","10118"
"5118069","0","1","碧卡拉因為鼠耳不見了而感到絕望。同一時段，\n凱留和可可蘿撿到了有人掉在路上的東西……","8","91002","18","3","與凱留＆可可蘿的相遇","老鼠耳朵再次消失","20063115","跳蚤市場會場","40","4305402","10118"
"5118070","0","1","在郊外休息片刻的碧卡拉等人，\n遇見超級好心情的優花梨。","8","91002","18","3","與優花梨的相遇","為這次的相遇乾杯！","20063115","蘭德索爾市中心","40","4101402","10118"
"5118071","0","1","碧卡拉擔心著害怕混雜人群的碧，\n開朗地向她搭話……","8","91002","18","3","與碧的相遇","陰陽合奏","20063115","蘭德索爾市中心","40","4106402","10118"
"5118072","1","1","碧卡拉走過跳蚤市場會場，\n正在占卜的忍出聲喊住她。","8","91002","7","3","與忍的相遇","試手氣十戰決勝負！","20063115","跳蚤市場會場","40","2836","10118"
"5118600","0","0","0","0","0","0","1","序幕","她們的嶄新日常","20063115","0","0","0","10118"
