a704e5f385d9bac4eed9377ba3ee536cedfe5cc22bae8ea43dadfb12416f9bd2,ca9e83e39f7a68d1e6d9fd599ef32cac67698e02db0b6075b704ef8834fc58dc,552526357b334ef60b55be5d18e66cdc4e3a19a125e54e73435b02fd89fdbe35,86584faca590647390936aa27c1cbab09f23b4f3e8ef85ca64ac2e50ac02a482,408ed87868fa99e369d15af2cabb763ede1e3b2c0e501b581c60f2bbcc2ad508,eea7455dcc50145bd3d241609b03de4226767c1474aab688c001a5f4b1c1f5e8,9238e5f2c4f8d240928938d0ea731950e50f1126561f4be3cd0fc6415b1c32ae,abf7af128053447608e5541189c7d0da0b21e934b7ed7e34b8fe5f3ccc1d7f4e,8e8fdac58519650edd8f2d400a2d50789a0c86365a4b2fed6690e14005406fbe,ca8546d968613d7b56404833eab958cbc225e17c65bd1cdba9914a39b48715fb
"1002","32","1","1100001","1001","575","1","1003","10590","1"
"1005","32","1","1100002","1004","575","1","1006","10590","1"
"1008","32","2","1100003","1007","575","1","1009","10590","1"
"1011","33","1","1100004","1010","500","1","1012","11820","1"
"1014","33","1","1100005","1013","500","1","1015","11820","1"
"1017","33","2","1100006","1016","500","1","1018","11820","1"
"1020","33","4","1100007","1019","500","1","1021","11820","1"
"1023","35","1","1100008","1022","375","1","1024","13050","1"
"1026","35","1","1100009","1025","375","1","1027","13050","1"
"1029","35","6","1100010","1028","375","1","1030","13050","1"
"2002","34","1","1200001","2001","575","1","2003","10590","2"
"2005","34","1","1200002","2004","575","1","2006","10590","2"
"2008","34","1","1200003","2007","575","1","2009","10590","2"
"2011","34","1","1200004","2010","575","1","2012","10590","2"
"2014","34","2","1200005","2013","575","1","2015","10590","2"
"2017","34","4","1200006","2016","575","1","2018","10590","2"
"2020","34","6","1200007","2019","575","1","2021","10590","2"
"2023","35","1","1200008","2022","500","1","2024","11820","2"
"2026","35","1","1200009","2025","500","1","2027","11820","2"
"2029","35","1","1200010","2028","500","1","2030","11820","2"
"2032","35","1","1200011","2031","500","1","2033","11820","2"
"2035","35","4","1200012","2034","500","1","2036","11820","2"
"2038","35","6","1200013","2037","500","1","2039","11820","2"
"2041","38","1","1200014","2040","375","1","2042","13050","2"
"2044","38","1","1200015","2043","375","1","2045","13050","2"
"2047","38","1","1200016","2046","375","1","2048","13050","2"
"2050","38","1","1200017","2049","375","1","2051","13050","2"
"2053","38","2","1200018","2052","375","1","2054","13050","2"
"2056","38","4","1200019","2055","375","1","2057","13050","2"
"2059","38","6","1200020","2058","375","1","2060","13050","2"
"3002","37","1","1300001","3001","575","1","3003","10590","3"
"3005","37","1","1300002","3004","575","1","3006","10590","3"
"3008","37","1","1300003","3007","575","1","3009","10590","3"
"3011","37","1","1300004","3010","575","1","3012","10590","3"
"3014","37","1","1300005","3013","575","1","3015","10590","3"
"3017","37","1","1300006","3016","575","1","3018","10590","3"
"3020","37","2","1300007","3019","575","1","3021","10590","3"
"3023","37","2","1300008","3022","575","1","3024","10590","3"
"3026","37","4","1300009","3025","575","1","3027","10590","3"
"3029","37","6","1300010","3028","575","1","3030","10590","3"
"3032","38","1","1300011","3031","500","1","3033","11820","3"
"3035","38","1","1300012","3034","500","1","3036","11820","3"
"3038","38","1","1300013","3037","500","1","3039","11820","3"
"3041","38","1","1300014","3040","500","1","3042","11820","3"
"3044","38","1","1300015","3043","500","1","3045","11820","3"
"3047","38","1","1300016","3046","500","1","3048","11820","3"
"3050","38","2","1300017","3049","500","1","3051","11820","3"
"3053","38","4","1300018","3052","500","1","3054","11820","3"
"3056","38","4","1300019","3055","500","1","3057","11820","3"
"3059","38","6","1300020","3058","500","1","3060","11820","3"
"3062","40","1","1300021","3061","375","1","3063","13050","3"
"3065","40","1","1300022","3064","375","1","3066","13050","3"
"3068","40","1","1300023","3067","375","1","3069","13050","3"
"3071","40","1","1300024","3070","375","1","3072","13050","3"
"3074","40","1","1300025","3073","375","1","3075","13050","3"
"3077","40","1","1300026","3076","375","1","3078","13050","3"
"3080","40","2","1300027","3079","375","1","3081","13050","3"
"3083","40","4","1300028","3082","375","1","3084","13050","3"
"3086","40","6","1300029","3085","375","1","3087","13050","3"
