bd9a8390e6120e4ca519468a4fda4a8715c8653767493c8d1d8383e04135fe91,b7953a2eb25a0c9833d3499541ada81ccae2828c59273198341d14b40fa15350,74242bf94abc1664783466ebdda2d503316ea08cca1f9e3861e08afa1dc11ce1,09944b38867ee0b51a9bfd84b008209f38c5150497cd58e48f63423872910cf8,071ba4c9068553654251774db0bd8dc88ec9dd2e065025bc5ba237ad7c35c290,9b92353bc0ce35d8cfc68d1e93b82c0e0ddfebe34227c49b39c73f619b0a7dba,d0fa612fdb2b59c90fb42089ff2927c1d2b7e408f3029023fe81c9295349f935,be0cdfbd8d1c40f2ec21a11896bf39b8a2933389752e5e0985eb2d21f2b44cd3,248bcbf191543bb8c7aab494d5e6cb9220fa3b49923b13fae5ab8b801845bc79,eeceb408a61fe34dd1740c6c8cd19648ab617a511e10f8d6cfacc4ea6ac56829,c59066a190b938451e4cc140f5a22708589b000e55a3cb74e990df589f93b0e3,a20a4a44b3ec1d664fabf6392540d9f052c59198f3ce2a4b6d69edba23630c26,14c6e19888eba3501b8d75828e1438f7104620c2724eacfd8133d1cb96579205,26268e3618dd709c3c7b3faa9bf35d6287470ed417895b6e192e6e8d8699daf1,8c6418dfb89cfdb03d28abe33c52be78addb5c637c60a873497035cbc3718f42,e5899cd642132097bfda5a1dbfa2be7f34f71ccd7980dca2c140028e0be4321c,54f59c38ea233e95e941607b57368e0c7be1a75c59065ab752e85cad1c79f000
"10","43200","11001","克梅利亞洞窟","4201401","11001001","-470","1","4101351","7200","4101401","11001001","100000","1","4104401","108","4104351"
"10","43200","11001","盧可拉諾大瀑布","4203401","11001002","-235","1","4106351","7200","4106401","11001002","100000","2","4110401","90","4110351"
"10","43200","11001","艾里巨木","4201401","11001003","0","1","4102351","7200","4102401","11001003","100000","3","4105401","108","4105351"
"10","43200","11001","伊雷亞溪谷","4203401","11001004","235","1","4108351","7200","4108401","11001004","100000","4","4109401","90","4109351"
"10","43200","11001","史達爾斷崖","4201401","11001005","470","1","4103351","7200","4103401","11001005","100000","5","4107401","108","4107351"
"10","43200","11002","阿爾巴岸堤","4301401","11002001","-470","1","4301351","7200","4104401","11002003","100000","6","4201401","108","4101401"
"10","43200","11002","撒達爾史朵\n沙灘","4305401","11002002","-235","1","4305351","7200","4110401","11002002","100000","7","4203401","90","4106401"
"10","43200","11002","達爾里克\n巨岩","4302401","11002003","0","1","4302351","7200","4105401","11002001","100000","8","4201401","108","4102401"
"10","43200","11002","安卡爾川","4304401","11002004","235","1","4304351","7200","4109401","11001005","100000","9","4203401","90","4108401"
"10","43200","11002","達克比亞\n森林","4303401","11002005","470","1","4303351","7200","4107401","11001001","100000","10","4201401","108","4103401"
"10","43200","11003","密瑪斯\n洞穴","4109401","11003001","-470","1","4201351","7200","4101401","11003001","100000","11","4104401","108","4201401"
"10","43200","11003","雷安特河","4110401","11003002","-155","1","4202351","7200","4108401","11003002","100000","11","4102401","90","4202401"
"10","43200","11003","刻蘭德\n廢墟","4109401","11003003","160","1","4203351","7200","4103401","11003003","100000","11","4105401","108","4203401"
"10","43200","11003","迪歐涅加\n冰海","4110401","11003004","470","1","4204351","7200","4106401","11003004","100000","11","4107401","90","4204401"
