56b8051dbf7029dd2ffdec09c8e1bdc2e2dd7eba62e849ca31fc9bdaff59a034,ed9c54a950f5a86a25dd2095c2e883f50621a318fa317ae268027d958b816a86,5b8b9d1adb52e0e0482631b4096c7052adcbcc23ddc6927001d89cd7427a3518,e193fb909cb3d538049c48d7c706e6d636ed8970059c465ea59bcdaf23524c6f,a959d397f1c098a0d1f194f148e3ee20664524bf7ac34043e4c1e9fcafbb88f8,c9952fac694d5958d62f267e2b88728a299aeae33e5b16232bc6b062acea1332,97e172b526c7489895ca494f9caf5668d2ae43fd8f2b5e0e676fd539c545b5c7,a1996958e5b0bef358fe3dcaa0f27f0f88e2c64f0bf5bdecdcd22847d0ceb6ec,4a3c058f16ec1bf05e62a5d6af0f9989edd8eb978cdd94880dd103fc02078fd7,d79534bff15f22ee8a03a327539d5e0be66c31103b619925d4e3dcd6e41012e6,e89fd2b56c6c28431563d2a206caec977bf91434836adbfd3426e0f57f6a6401,c5260414880c953c899a209fb51f01cf69965a223d54476cc9e87ba4b84ca10c,95fc78ab16a013deecd14fdec16c6ada8020856e0619b54f84b3dc1354ce4def
"10000101","0","0","0","0","130011","2","100001","倭","小幅度提升攻擊力跟攻擊速度","2210101","0","提升攻擊力15％、\n提升攻擊速度10％。"
"10000201","0","0","0","0","130111","2","100002","若菜","小幅度提升最大HP跟攻擊速度","2210201","0","提升最大HP15％、\n提升攻擊速度10％。"
"0","0","0","0","0","130211","2","100003","布武機","小幅度降低敵人的移動速度與攻擊速度","2210301","0","戰鬥開始３秒內，\n使敵人的移動速度與攻擊速度下降15％。"
"10000401","0","0","0","1","105811","2","100004","貪吃佩可","中幅度提升最大HP","0","0","提升最大HP25％。"
"0","0","0","0","2","106011","2","100005","凱留","中幅度降低敵人的移動速度","2210501","0","戰鬥開始３秒內，\n使敵人的移動速度下降25％。"
"10000601","0","0","0","3","105911","2","100006","可可蘿","大幅度提升COST","0","0","提升COST上限50％。"
"0","0","0","0","4","106411","3","100007","雪菲","中幅度提升移動速度","2210701","0","提升移動速度25％。"
"10000801","0","0","0","5","131311","2","100008","莉莉","小幅度提升攻擊力跟移動速度","2210801","0","提升攻擊力15％、\n提升移動速度10％。"
"10000901","0","0","0","6","131411","2","100009","可璃亞","小幅度提升最大HP跟移動速度","2210901","0","提升最大HP15％、\n提升移動速度10％。"
"10001001","0","0","0","7","131511","2","100010","普蕾西亞","小幅度提升COST上限跟移動速度","2211001","0","提升COST上限25％、\n提升移動速度10％。"
"10001101","0","0","0","8","126411","2","100011","克蘿茜","小幅度提升攻擊力跟攻擊速度","2211101","0","提升攻擊力10％，\n戰鬥開始３秒內，提升攻擊速度15％。"
"0","0","0","0","9","126511","3","100012","萊拉耶爾","中幅度提升攻擊力","2211201","0","戰鬥開始３秒內，\n提升攻擊力25％。"
"0","0","0","0","10","127711","2","100013","琳德","提升攻擊速度跟攻擊力","2211301","0","戰鬥開始３秒內，提升攻擊速度10％，\n然後提升攻擊力25％。"
"0","0","0","0","11","127811","2","100014","烏爾姆","降低自身的攻擊速度與敵人的攻擊力","2211401","0","戰鬥開始３秒內，\n使自身的攻擊速度下降10％，\n然後使敵人的攻擊力下降25％。"
"10001501","0","10001502","0","12","130911","3","100015","庫露露","小幅度提升COST上限跟HP","0","0","提升COST上限25％、\n提升HP15％。"
"0","0","0","0","13","129611","2","100016","安涅默涅","小幅度降低對方的攻擊力跟攻擊速度","2211601","0","降低敵人的攻擊力跟攻擊速度10％。"
"0","0","0","0","14","129711","3","100017","涅妃‧涅羅","大幅度降低對方的移動速度","2211701","0","戰鬥開始1.5秒內，\n使敵人的移動速度下降50％。"
"0","0","0","0","0","130011","1","101001","倭","射出斬擊攻擊敵人","3110101","1","剩餘HP在50％以下時發動。\n在３秒間射出斬擊，造成大幅度傷害。"
