102d60c8ac4792e8e78d13581e2fd17b8abdae5ee3a08a844d96286b143962df,fe7f8176d6b1bf9f3eb7dada50c9cb06217a46629a4728822200b133bdd827a7,cd4f6e00f1c7456270236c6bebc0c1f972515f1444c2028b4e0747ceaed8be2c,66bd3e52d8eeb3166cca0e7b70a5c7fd75150eb0fc90dfa8924f394202595f9d,88ece317be4b6ad60fd8fd13205a5f34a76e4c4ac1f8a103eb5fd8b8261a7c0b,c66f0d8757894117e566d5e0c45d453c7e586649d251df7fece8891d98f98e77,4cca7e991a1e7fa4933bcbab080556e9a861ecb9aee283425121aee4367d882f,a1b763092d9144d0c205608a0ae3e1e7013577718ad4367f27c6e1b260a698cc,f40a37f737ba92e451e5d5de8083b78f1cabe782602e0d291eb4a076705edfe5,227187ccaf671387e42efbfac4d2066df27a169e46c4dd8046ed504c4397a04c,8e3363ff1c280941b40f8998d1d1a2f6b405baa3b71d0f0f5a232f197ced69bb
"前往劇情","10046","2020/12/18 11:59:59","1004601","2020/12/04 16:00:00","1","也可以從額外劇情中\n查看特別的劇情。","活動「美里的夏日聲援！　追夢的盛夏棒球隊」的\n特別章節已解放。","活動特別章節","5046601","5046601"
"前往劇情","10048","2021/01/14 15:59:59","1004801","2020/12/31 16:00:00","2","也可以從額外劇情中\n查看特別的劇情。","閱讀完活動「Happy‧Change‧Angels」的\n終幕後，即會解放特別的章節。","活動特別章節","5048","0"
"前往劇情","10048","2021/01/14 15:59:59","1004802","2020/12/31 16:00:00","3","也可以從額外劇情中\n查看特別的劇情。","活動「Happy‧Change‧Angels」中\n拉菲寄了信給你！","活動特別章節","5048","0"
"前往劇情","10056","2021/05/31 15:59:59","1005601","2021/05/18 16:00:00","4","也可以從額外劇情中\n查看特別的劇情。","活動「新春美食家公主！ 賭上關鍵一擲的少女們」\n的特別章節已解放。","活動特別章節","5056","5056601"
"前往劇情","10061","2021/07/19 15:59:59","1006101","2021/07/05 16:00:00","3","可以從額外劇情中\n查看特別的劇情。","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","活動特別章節","5061","5061601"
"前往劇情","10061","2021/07/23 15:59:59","1006102","2021/07/19 16:00:00","5","","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","活動特別章節","10061","5061602"
"前往劇情","10061","2021/07/31 15:59:59","1006103","2021/07/23 16:00:00","3","可以從額外劇情中\n查看特別的劇情。","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","活動特別章節","5061","5061601"
"前往劇情","10066","2021/09/30 15:59:59","1006601","2021/09/01 16:00:00","6","若要閱覽，必須在「大家的遊戲桌」\n購買「大激戰！龍人們的接龍競賽」後，\n遊玩EXTRA關卡","小遊戲「大激戰！龍人們的接龍競賽」後\n解放了新的劇情","小遊戲 劇情解放","1004","5027704"
"前往活動","10070","2021/11/19 15:59:59","1007001","2021/11/15 16:00:00","5","可從「暑假圖畫日記」的封面進行切換，\n查看批改留言。","「暑假圖畫日記」中\n已追加伊緒老師的批改留言。","追加來自伊緒的留言","10070","5070601"
"前往劇情","10073","2021/12/31 15:59:59","1007301","2021/12/17 16:00:00","1","也可以從額外劇情中\n查看特別的劇情。","活動「美里的夏日聲援！　追夢的盛夏棒球隊」的\n特別章節已解放。","活動特別章節","5046601","5046601"
"前往劇情","10075","2022/01/31 15:59:59","1007501","2022/01/26 16:00:00","2","也可以從額外劇情中\n查看特別的劇情。","閱讀完活動「Happy‧Change‧Angels」的\n終幕後，即會解放特別的章節。","活動特別章節","5048","0"
"前往劇情","10075","2022/01/31 15:59:59","1007502","2022/01/26 16:00:00","3","也可以從額外劇情中\n查看特別的劇情。","活動「Happy‧Change‧Angels」中\n拉菲寄了信給你！","活動特別章節","5048","0"
"前往活動","10082","2022/05/20 15:59:59","1008201","2022/05/16 16:00:00","5","","已於「眾人同樂的年菜派對」\n追加大合照。","追加大合照","1004","5082601"
"前往劇情","10083","2022/05/24 15:59:59","1008301","2022/05/18 16:00:00","4","也可以從額外劇情中\n查看特別的劇情。","活動「新春美食家公主！ 賭上關鍵一擲的少女們」\n的特別章節已解放。","活動特別章節","5056","5056601"
"前往劇情","10089","2022/07/28 15:59:59","1008901","2022/07/19 16:00:00","3","可以從額外劇情中\n查看特別的劇情。","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","活動特別章節","5061","5061601"
"前往劇情","10089","2022/07/28 15:59:59","1008902","2022/07/26 16:00:00","5","","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","活動特別章節","10089","5061602"
"前往劇情","10089","2022/07/31 15:59:59","1008903","2022/07/28 16:00:00","3","可以從額外劇情中\n查看特別的劇情。","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","活動特別章節","5061","5061601"
"前往劇情","10092","2022/09/19 15:59:59","1009201","2022/09/15 16:00:00","5","","活動「 Episode of Pirate　海盜島上被詛咒的遺寶」\n的活動特別章節已解放。","活動特別章節","10092","5092601"
"前往劇情","10100","2023/01/20 15:59:59","1010001","2023/01/16 16:00:00","5","","活動「真步真步的神奇旅程！　旅行的少女與\n邊境的大樹」的特別章節已解放。","活動特別章節","10100","5100601"
"前往活動","10109","2023/05/28 15:59:59","1010901","2023/05/26 16:00:00","5","","已於「眾人同樂的年菜派對」\n追加大合照。","追加大合照","1004","5082601"
"前往劇情","10119","2023/09/28 15:59:59","1011901","2023/09/25 16:00:00","5","","活動「 Episode of Pirate　海盜島上被詛咒的遺寶」\n的活動特別章節已解放。","活動特別章節","10119","5092601"
"前往劇情","10127","2024/01/27 15:59:59","1012701","2024/01/24 16:00:00","5","","活動「真步真步的神奇旅程！　旅行的少女與\n邊境的大樹」的特別章節已解放。","活動特別章節","10127","5100601"
"前往劇情","20032","2022/05/24 15:59:59","2003201","2022/05/18 16:00:00","4","也可以從額外劇情中\n查看特別的劇情。","活動「新春美食家公主！ 賭上關鍵一擲的少女們」\n的特別章節已解放。","活動特別章節","5056","5056601"
