b11108ea756ebb2d81bacdf2e465a7de3ea2972f616c0b3281a4d1efa5dc2978,9710c115994e157829adece6aaf2d60e9bf9e147e94828d59e395ca1dd6f70ad,41bf141d435c442e157e8a08c3c4583815ff74bdb313fadef1ea94e0a320c2e7,7ae7eba098e4953ac816095faf5b006a68d8fb7b1b20af125b61b4caa0666af7,622858d2c8ea302573d8243831a920df9b8dfc9e372c551b076f80dde8168d82,6d1a261265b500d7b053a3ff9aaf181a346cdbd5fb04fefd2c611448f7019943,94a9f5638094f0f861e00e86c48b7e72c3227544b4f7c4e66a42839547059448,473b08988916cd730bade78a7eb6287b8304f23493bd488476592d2ce822b9a8,3cd8892e3cbf6ad1461789b2cdbc490f4de09a34cf454e5c6a047b708dbcf5d2,4d150855305348b50ec2ead672605d77b0f4fb630cfeb2dd5f4f738b21b73c3d,78a5b19f87f2e2b6b223fef44011eb9f8d8d0e50d1acae36e7d6fa4c54b1876c
"1002","來動手製作\n充滿愛意的巧克力蛋糕吧！\n超可愛的點擊遊戲！","","2030/12/31 15:00:00","10000","2020-06-22 16:00:00","2030/12/31 15:00:00","bgm_M199","哥哥爭奪戰！\n誰的巧克力更好吃SHOW","1001","bgm_M199_juke"
"1003","大旋轉！空花！\n最棒的絕頂體驗就在這裡！\n一起往上飛翔，空中的旅行！","","2030/12/31 15:00:00","10000","2020-06-22 16:00:00","2030/12/31 15:00:00","bgm_M227","空花大旋轉\n飛行絕頂體驗","1002","bgm_M227_juke"
"1004","這就是琉球魂！\n打倒蜂擁而上的奄美魔物\n令人爽快的動作遊戲！","","2030/12/31 15:00:00","10000","2020-06-22 16:00:00","2030/12/31 15:00:00","bgm_M249","香織的靈魂式空手道場","1003","bgm_M249_juke"
"1005","戰鬥白熱化！\n龍族巢穴流的\n單挑動動腦接龍！","","2030/12/31 15:00:00","10000","2020-06-22 16:00:00","2030/12/31 15:00:00","bgm_M277","大激戰！龍人們的接龍競賽","1004","bgm_M277_juke"
"1006","你有辦法保護好起司嗎！？\n考驗瞬發力的\n訓練反射神經休閒小遊戲！","","2030/12/31 15:00:00","10000","2020-09-01 16:00:00","2030/12/31 15:00:00","bgm_M355_Lofi","啾啾大恐慌！\n保衛起司大作戰！","1005","bgm_M355_Lofi_juke"
"1007","目標成為全壘打強打！\n掌握關鍵時機擊球的\n運動類型動作小遊戲！","","2030/12/31 15:00:00","10000","2021-01-06 16:00:00","2030/12/31 15:00:00","bgm_M399","猛訓打擊道！\n美里的全壘打訓練場","1006","bgm_M399"
"1008","慈樂之音粉絲大興奮！\n獲得演唱會加油周邊，\n成為「慈樂之音神推」為目標！","","2030/12/31 15:00:00","10000","2022-01-03 16:00:00","2030/12/31 15:00:00","bgm_M500","慈樂之音的夏日演唱會\n演唱會會場 周邊區 ","1007","bgm_M500"
"1009","Let's cooking！\n和宮子一起製作蒐集布丁，\n精通布丁之道吧！","","2030/12/31 15:00:00","10000","2022-04-25 16:00:00","2030/12/31 15:00:00","bgm_M540","宮子廚房　通往究極之路","1008","bgm_M540"
"1010","5人小隊合力挑戰各式各\n樣類型的謎題！\n以當上猜謎公主為目標吧！","蘭德索爾猜謎連結！","2022/08/01 21:00:00","0","2022-08-01 21:00:00","2022/08/21 23:59:59","bgm_M569","Happy Anniv.特別版　\n蘭德索爾猜謎連結！","1009","bgm_M569"
"1011","於沙灘上奔馳的公主！\n挑戰亂七八糟的路線的\n南島沙灘搶旗！","","2030/12/31 15:00:00","10000","2022-11-25 16:00:00","2030/12/31 15:00:00","bgm_M605","飛奔吧常夏！\n極限沙灘搶旗","1010","bgm_M605"
"1012","目標是全部答對！\n與凱留和鈴奈在放學後的教室中\n進行兩人獨處的猜謎讀書會！","放學後的猜謎讀書會　{0}","2030/12/31 15:00:00","10000","2024-01-17 16:00:00","2030/12/31 15:00:00","bgm_MC068","凱留與鈴奈的\n放學後的猜謎讀書會","1012","bgm_MC068"
"1013","前往突破魔物橫行的街道！\n率領【王宮騎士團】\n的士兵們，挑戰訓練吧！","行軍A-Go-Go！","2030/12/31 15:00:00","10000","2024-08-15 16:00:00","2030/12/31 15:00:00","bgm_MC141","惠理子和真琴的\n行軍A-Go-Go！","1013","bgm_MC141"
