782208283476f567a66589690bceca98810ed5d7888b0cf505b68285a6a16abc,21f1fbe555d4ea2278d3b30d7c4ab28ecdd9441f832da9cd1f94b96c01ced51c,3ee86f9ab55503f516affbb3a37517bcd48020d77dd95a02bdf7befa9fb9b5be,1e18566966ea0e79a2a3f310f39df57722b19901a6c1695b8f01fee7d4fc0e15,3335529298feac76a6a0b6bc6a771fff998c74df8b520c5a2b903b9aec927f30,f2e09b194fe6140955b433b1fff97054b9995d27c5ee00eb1ed2c1656ced5056,369abc9f3ffc749ba5f1ed8f440ed4c46ff60432d72d6268584573566fd2814c,3129689b02aed8b779829e5a99cf7d184a2db2e9b8ea3b7e028bf5d25a6f51da,52f9cecd55aa06e018b84ec9a638f39c50fffe2dddd12cde247aae65f88f7ef5,9b2e5b80a2768acf480fd8812dc137d354bd0e44090cf4634bbe27d7af40a956,44981d61d5e5c53b28613e455245791b819d3fb51ca2f57e70dbbcc0fe34f262,9416086d0e0902e4f909a985f535ed451ab390d3edf5c96f681a64f7a8ba9527,bd62ba456575b8e2c7ab90bb4b5f76d5a0626d320121575e19b94ce8beb34116
"bgm_M90","0","2018/08/19 22:59:00","8","2018/08/15 23:00:00","2018/09/21 15:59:59","2018/08/20 22:59:00","1","2018/08/22 16:00:00","1001","2","1","1"
"bgm_M97","1001","2018/09/18 22:59:00","9","2018/09/14 23:00:00","2018/10/22 15:59:59","2018/09/19 22:59:00","1","2018/09/21 16:00:00","1002","2","1","2"
"bgm_M104","1002","2018/10/19 22:59:00","10","2018/10/15 23:00:00","2018/11/20 04:59:59","2018/10/20 22:59:00","1","2018/10/22 16:00:00","1003","2","1","1"
"bgm_M115","1003","2018/11/17 11:59:00","11","2018/11/13 12:00:00","2018/12/21 15:59:59","2018/11/18 11:59:00","1","2018/11/20 05:00:00","1004","2","1","2"
"bgm_M119","1004","2018/12/18 22:59:00","12","2018/12/14 23:00:00","2019/01/22 15:59:59","2018/12/19 22:59:00","1","2018/12/21 16:00:00","1005","2","1","1"
"bgm_M132","1005","2019/01/19 22:59:00","1","2019/01/15 23:00:00","2019/02/19 04:59:59","2019/01/20 22:59:00","1","2019/01/22 16:00:00","1006","2","1","2"
"bgm_M139","1006","2019/02/16 11:59:00","2","2019/02/12 12:00:00","2019/03/22 04:59:59","2019/02/17 11:59:00","1","2019/02/19 05:00:00","1007","2","1","1"
"bgm_M166","1007","2019/03/19 11:59:00","3","2019/03/15 12:00:00","2019/04/22 04:59:59","2019/03/20 11:59:00","1","2019/03/22 05:00:00","1008","2","1","2"
"bgm_M175","1008","2019/04/19 11:59:00","4","2019/04/15 12:00:00","2019/05/23 04:59:59","2019/04/20 11:59:00","1","2019/04/22 05:00:00","1009","2","1","1"
"bgm_M181","1009","2019/05/20 11:59:00","5","2019/05/16 12:00:00","2019/06/22 04:59:59","2019/05/21 11:59:00","1","2019/05/23 05:00:00","1010","2","1","2"
