a77e357b8fa7899e85d670f7c15c6610e20f945a52af194f70ec1033a6975f49,0d23affe3c5948d79517ffec4ebb47606079d5c36fb3bd2c726b61969598ab8f,24ca5b34a60337339891645dbefdea89a439b402c93709280beb144bfea5658c,148030c4448dd70ff82823fc02da18125522712b663905217ef283b7e96eaaca,c7d6441953e65ff343f88328c16dbc0113ba20cf9d2199fb55f5a1700888e140,b7bfb62a9be3ece9e01dd70638e1c87ad50cf89da7591e6b3fedf286f3bd80e4,03918c3cf1eb13ba3172d66c52d9082250fb96542ad15582f56290dd156a1c7d,c143eef5724d7c9ed319b69c1e94094115d114e1a297ba39faff4482437787d0,02eef307d1035d2b75e082cec59723ca60fe341db21495e25adf02074289c1fd,303046b9e0fc3fa0e951e827a23a61b5dbf22537e5caffc9b223270c3c9fa453,7f75f2702125b954718d85a7acb6ee1e346f7671657747ab1b981ab73f178654,287fff0b7c9aa467a467bc99f6f7871627ca6bb864e1d94e280e1bbc8818d77f,7fa9e9de0b98b39f9a23bb0fa583e6fb11e97d1e36c26f649e264e89f2dc6e64,15e33f9139e83f8522ad6bc2c873b67863529c1cef2175faaff25c05ba242a32,14841b918b0c7a67c3994e8185b7bee36b6f4b76315a3f59976de2537ff6a13f,8b002b54a18d952acf6aac2ee3d5bd7f708d41e11583561e1e722463e5dfdc63,f6e767e35e0158a74a6ed72b466d5891abcfaf32e98c67db7e0cba79842d03e4,d8529aa07e5d3104f6a95852b3d87eca0c0d98915f692f45f83eab4826114b64,0f48516da505a78c35195f940e1c6ba8d54922612c1a6364e26088031b7d2aa8,b951d9013d63b64884808250cff6766d3dadc3ed772b7d2787b59484f37de1b8,1cb47b44b82abde44e9c8e28de25957be2ab50a45fa70ff1c644fab59b9f1413,2e36ab626bd147aa54237887af1cace4b4791a9c271266871bd36e9cf9582c01
"-30","-120","1","1","101001","-30","1001","10","0","0","1","bgm_M64","101001","0.8","10010101","1","0.7","250","0.6","210","1","-480"
"-30","-120","1","2","101001","0","1001","10","0","0","1","bgm_M64","101001","1.2","10010102","1","1","0","0.75","200","2","-260"
"-30","0","1","3","101001","-10","1001","0","-50","0","1","bgm_M64","101001","1.1","10010103","1","1","100","0.75","200","3","-40"
"-30","-50","1","4","101001","0","1001","0","0","0","1","bgm_M64","101001","1","10010104","1","1","0","0.7","200","4","240"
"-30","-40","1","5","101011","0","1001","0","0","0","1","bgm_M55","101011","1.3","10010105","1","1","200","1.2","250","5","480"
"-30","-155","1","1","101021","-30","1002","10","0","0","1","bgm_M64","101001","0.8","10020101","1","0.7","250","0.6","210","1","-480"
"-30","-120","1","2","101021","0","1002","10","0","0","1","bgm_M64","101001","1.2","10020102","1","1","250","0.75","200","2","-265"
"-30","30","1","3","101021","-10","1002","0","-30","-15","1","bgm_M64","101001","1.4","10020103","1","1","100","0.9","200","3","-30"
"-30","-90","1","4","101021","0","1002","0","-30","0","1","bgm_M64","101001","1.5","10020104","1","1.25","100","1","200","4","220"
"-30","0","1","5","101031","0","1002","0","0","0","1","bgm_M55","101011","1.8","10020105","1","1.6","200","1.4","250","5","440"
"-30","-155","1","1","101041","-30","1003","10","0","0","1","bgm_M64","101041","0.8","10030101","1","0.7","250","0.6","210","1","-470"
"-30","-95","1","2","101041","0","1003","10","0","0","1","bgm_M64","101041","1.2","10030102","1","1","250","0.75","200","2","-210"
"-30","-120","1","3","101041","-10","1003","0","-50","0","1","bgm_M64","101041","1.1","10030103","1","1","100","0.75","200","3","50"
"-30","35","1","4","101041","0","1003","0","-30","0","1","bgm_M64","101041","1.5","10030104","1","1.2","100","0.8","200","4","195"
