d6c7e558914fa01ce7c4a82c997a39bd0f052eeaf9eaf7cde9bab66933a1e881,4d0227c772dbeda2c0387a31ff5525bc6be92ab8fc46b33e545b1fb4454ccbb9,f7b03ac1fa361e8741cf7fe15a247832e6aa97265e7826a1c6904b5fc797d669,1ee5b7140755757939fc2c0c432f7a3143dc4bc651af90f8facd105c4fe2d081,145e71ab695c111949f6548a4066850ddfbdf5c9e6106f76f171cda11032dcf3,d1512b54811a87299be7e5c57cfe9950612bb6697d51cc1d4e37a1de9ff16a63,2dde693b3f826de4285dfb822a6f8166f855fb2381e7caf2ddb62dc203e5e469,ca844f8586ef7ead38db99c3d6ed3e407b171e06d2d3a5298c466d1b2c7357b4
"111","完成石像鬼（EASY）","90110001","1","0","110001","70000","110001"
"112","完成石像鬼（NORMAL）","90110002","1","0","110001","70000","110002"
"113","完成石像鬼（HARD）","90110003","1","0","110001","70000","110003"
"114","完成石像鬼（VERY HARD）","90110004","1","0","110001","70000","110004"
"115","完成石像鬼（EXTREME）","90110005","1","0","110001","70000","110005"
"121","完成法師石像鬼（EASY）","90120001","1","0","110001","70000","120001"
"122","完成法師石像鬼（NORMAL）","90120002","1","0","110001","70000","120002"
"123","完成法師石像鬼（HARD）","90120003","1","0","110001","70000","120003"
"124","完成法師石像鬼（VERY HARD）","90120004","1","0","110001","70000","120004"
"125","完成法師石像鬼（EXTREME）","90120005","1","0","110001","70000","120005"
"131","完成守衛石像鬼（EASY）","90130001","1","0","110001","70000","130001"
"132","完成守衛石像鬼（NORMAL）","90130002","1","0","110001","70000","130002"
"133","完成守衛石像鬼（HARD）","90130003","1","0","110001","70000","130003"
"134","完成守衛石像鬼（VERY HARD）","90130004","1","0","110001","70000","130004"
"135","完成守衛石像鬼（EXTREME）","90130005","1","0","110001","70000","130005"
"141","完成石像鬼‧炸裂（EASY）","90140001","1","0","110001","70000","140001"
"142","完成石像鬼‧炸裂（NORMAL）","90140002","1","0","110001","70000","140002"
"143","完成石像鬼‧炸裂（HARD）","90140003","1","0","110001","70000","140003"
"144","完成石像鬼‧炸裂（VERY HARD）","90140004","1","0","110001","70000","140004"
"145","完成石像鬼‧炸裂（EXTREME）","90140005","1","0","110001","70000","140005"
"151","完成石像鬼‧魔幻（EASY）","90150001","1","0","110001","70000","150001"
"152","完成石像鬼‧魔幻（NORMAL）","90150002","1","0","110001","70000","150002"
"153","完成石像鬼‧魔幻（HARD）","90150003","1","0","110001","70000","150003"
"154","完成石像鬼‧魔幻（VERY HARD）","90150004","1","0","110001","70000","150004"
"155","完成石像鬼‧魔幻（EXTREME）","90150005","1","0","110001","70000","150005"
