79183d7069354f8e1bed69b5a042467cf41b3b2a31f3d2dfc2f039ec091c4c8d,b53646cf1ef8dcc5298b590261f078e1e5f352fbd7a1da7586e1a7f9b044ff06,5bd157e08010df47a706f05c59f50b1b2b20b3cdf198f71b96c23598ebd0d8d5,f4f0f310685cfe336af506dd8694eecc2f82782869a64c735f18bb78bb12bcce,e665c0bc55f78257bd061a51a1c7dad81fa1e1f165fe66e1e54d710eea13c017,15a2044578aa738c6f2c2d0436457210252f00423992dba11ee0c2de8f2309ab,f17e495600ffa8fb9fa3b9975afee061f2d3a127e2a188b66148603af2335154,aee9a77a353090536d72d3248bf7c0a3dce6bd62d439a7adc552bae37e1399a4,baea566145a7b5626ff774877b84193ba699d779c85613976704b6cba228a283,afa40dc4bcd9c58298cf5a5bf0a09e30e6a788ef7749fde422de061ca09a2eb3,994d2df8755660cedd0fbb7b6a507fa1c4ceb7af082d659c03f73699ca9ba49e
"1","","0","1","31","","1","1021301001","1","1021301","0"
"1","","0","2","31","","2","1021301002","1","1021301","0"
"1","","0","5","31","","5","1021301003","1","1021301","0"
"1","","0","10","31","","10","1021301004","0","1021301","0"
"1","","0","20","31","","20","1021301005","0","1021301","0"
"1","","0","21","31","","21","1021301006","0","1021301","0"
"1","","0","22","31","","22","1021301007","0","1021301","0"
"1","","0","101","31","","100","1021301008","0","1021301","0"
"1","","0","201","31","","200","1021301009","0","1021301","0"
"1","","0","301","31","","300","1021301010","0","1021301","0"
"-14","empty","0","1","5","0","1","1021301011","1","1021301","27"
"-14","empty","0","2","5","0","2","1021301012","1","1021301","28"
"-14","empty","0","2","5","0","3","1021301013","1","1021301","26"
"-14","empty","0","11","5","0","4","1021301014","1","1021301","25"
"-14","empty","0","12","5","0","5","1021301015","1","1021301","24"
"-24","empty","-10","11","5","0","6","1021301016","1","1021301","13"
"-24","empty","-10","12","5","0","7","1021301017","1","1021301","12"
"-14","empty","0","0","5","0","8","1021301018","1","1021301","29"
"-19","empty","-5","0","5","0","9","1021301019","1","1021301","10"
"1","","0.56","6","6","0","0.23","1021301020","0","1021301","0.63"
"1","","0.56","7","6","0","0.23","1021301021","0","1021301","0.63"
"1","","0.56","9","6","0","0.23","1021301022","0","1021301","0.63"
"","","","1","141","","","1021301023","","1021301",""
"","","","0","91","","","1021301024","","1021301",""
"","","","0.033","93","","0","1021301025","","1021301",""
"","","","se_10067600","23","","se_obtent_10213_drama_cook_lyrael","1021301026","","1021301","0"
"","","","1","3","0","raira_cook","1021301027","0","1021301","0"
"","","","2","3","0","raira_cook","1021301028","0","1021301","0"
"","","","3","3","0","raira_end","1021301029","0","1021301","0"
"","","","4","3","0","raira_cook","1021301030","0","1021301","0"
"","","","5","3","0","raira_white","1021301031","0","1021301","0"
"","","","6","3","0","raira_cook","1021301032","0","1021301","0"
"","","","7","3","0","raira_white","1021301033","0","1021301","0"
"","","","8","3","0","raira_cook","1021301034","0","1021301","0"
"","","","9","3","0","raira_cook_w","1021301035","0","1021301","0"
"","","","3","93","","0","1021301036","","1021301",""
"","","0","vo_obtent_1021301","21","","vo_obtent_1021301_01","1021301037","","1021301","0"
"","","","2.366","93","","0","1021301038","","1021301",""
"","","","1021301040","101","","","1021301039","","1021301",""
"","","","se_obtent_10213_drama_cook_lyrael","24","","0","1021301040","","1021301",""
"","","","0","22","","0","1021301041","","1021301",""
"0","","1","1","6","0","1","1021301042","0","1021301","1"
"0","","1","2","6","0","1","1021301043","0","1021301","1"
"0","","1","3","6","0","1","1021301044","0","1021301","1"
"0","","1","4","6","0","1","1021301045","0","1021301","1"
"0","","1","5","6","0","1","1021301046","0","1021301","1"
"0","","1","6","6","0","1","1021301047","0","1021301","1"
"0","","1","7","6","0","1","1021301048","0","1021301","1"
"0","","1","8","6","0","1","1021301049","0","1021301","1"
"0","","1","9","6","0","1","1021301050","0","1021301","1"
"","","","1","37","","eat","1021301051","","1021301",""
"","","","2","32","","0","1021301052","","1021301",""
"","","","5","32","","0","1021301053","","1021301",""
"","","","10","32","","1","1021301054","","1021301",""
"","","","100","32","","1","1021301055","","1021301",""
"","","","se_10067600","23","","se_obtent_10213_drama_eat","1021301056","","1021301","0"
"","","","0","93","","0","1021301057","","1021301",""
"","","0","vo_obtent_1021301","21","","vo_obtent_1021301_02","1021301058","","1021301","0"
"","","","2.8","93","","0","1021301059","","1021301",""
"","","0","vo_obtent_1021301","21","","vo_obtent_1021301_03","1021301060","","1021301","0"
"","","","2.6","93","","0","1021301061","","1021301",""
"","","","2","26","","","1021301062","","1021301",""
"","","0","vo_obtent_1021301","21","","vo_obtent_1021301_04","1021301063","","1021301","0"
"","","","2.5","93","","0","1021301064","","1021301",""
"","","","1021301066","101","","","1021301065","","1021301",""
"","","","10","32","","0","1021301066","","1021301",""
"","","","100","32","","0","1021301067","","1021301",""
"","","","20","32","","1","1021301068","","1021301",""
"","","","200","32","","1","1021301069","","1021301",""
"","","","300","32","","1","1021301070","","1021301",""
"","","","se_obtent_10213_drama_eat","24","","0","1021301071","","1021301",""
"","","","0","22","","0","1021301072","","1021301",""
"","","0","vo_obtent_1021301","21","","vo_obtent_1021301_05","1021301073","","1021301","0"
"","","","bgm_MC319A","25","","bgm_MC319A","1021301074","","1021301",""
