123c823c104e30d980497e72b8037b2a18f7a4adc510e47468aae5fec6d9f7c8,279fa191f61c2e86fc6a557861c256d762f37f74c8f45a9e103c36dd62845824,63ba26b27afdd5c2e88dfeba7959b44a3081fac995f62428ae07f6e3802ce288,fa3c0da423981a88a27355c93113a4939801e69d1890404f8d56e98d33190be3,708fa1024ef23e15180ab90e1c60611dfead80400f6d4c79e0927ebccc8700bc,7e2117030ba4272fd9241e94d0b7f721693ce351e7821cf3b94304aa1d0d42d3,6802983075a14b6313b211f7299ba3415489ecd420e8ce193cb60a07cc99486f,68a0937dd465ce72ee21603b2efdba1968c476520edef01030bb9f6c29d447e8,90bbf59390b3c51f796eb11fb673c080b0cf39333992d41613d4b1013c0dbd62,8e1ef7a801bec0e5e96e8ff5c6ce36373751a4f425fa163a151ecf2003b943e9,dd5f5fd59ae7711c5d61d7884397a5dc2689f05a4b2027f7f5c5265ec4f7ccaa
"-165","dsb_idle_normal","1","10","2","1010801","1010801001","5","70","0","-345"
"165","dsb_idle_worry","2","4","2","1010801","1010801002","5","70","1","-345"
"-215","dsb_lago","99","10","2","1010801","1010801003","5","70","0","-350"
"0","","1","1","1","1010801","1010801004","31","0","","1"
"0","","3","3","1","1010801","1010801005","31","0","","1"
"0","","4","4","1","1010801","1010801006","31","0","","1"
"0","","10","14","1","1010801","1010801007","31","0","","1"
"0","","20","24","1","1010801","1010801008","31","0","","1"
"-168","","30","34","1","1010801","1010801009","31","155","","1"
"-168","","31","34","1","1010801","1010801010","31","-155","","1"
"-175","","32","42","1","1010801","1010801011","31","-222","","1"
"0","","40","40","0","1010801","1010801012","31","0","","1"
"","","170","1","","1010801","1010801013","13","","",""
"","","170","2","","1010801","1010801014","13","","",""
"","","","0","","1010801","1010801015","91","","",""
"","","se_10044200_cmn_amb","se_10044200","","1010801","1010801016","23","1","",""
"","","se_10044200_cmn_steam","se_10044200","","1010801","1010801017","23","0","",""
"","","0","6","","1010801","1010801018","93","","",""
"","","se_10044200_hotspring_04","se_10044200","","1010801","1010801019","23","1","",""
"","","0","1.5","","1010801","1010801020","93","","",""
"","","dsb_talk_anger_Ex8","2","0.5","1010801","1010801021","3","1","",""
"0","","vo_dsb_1001","vo_dsb_1010801","","1010801","1010801022","21","0","",""
"1","0.2","好、好燙～！！\n這裡的水溫很奇怪耶……\n老大，這是怎麼回事！？","2","0","1010801","1010801023","11","10","0","1"
"","","","0","","1010801","1010801024","91","","",""
"","","dsb_idle_worry","2","0.5","1010801","1010801025","3","1","",""
"","","dsb_talk_worry_Ex3","1","0.5","1010801","1010801026","3","1","",""
"0","","vo_dsb_1002","vo_dsb_1010801","","1010801","1010801027","21","0","",""
"1","0.2","現在別叫我老大，\n要叫我小老闆娘呀～？","1","0","1010801","1010801028","11","10","0","1"
"","","","0","","1010801","1010801029","91","","",""
"","","dsb_idle_normal","1","0.5","1010801","1010801030","3","1","",""
"dsb_talk_doya_sing_loop","","dsb_talk_doya_sing","2","0.5","1010801","1010801031","3","0","0.5","1"
"0","","vo_dsb_1003","vo_dsb_1010801","","1010801","1010801032","21","0","",""
"1","0.2","嘖。\n什～麼小老闆娘啊……\n明明就是性格扭曲的老太婆老闆娘。","2","0","1010801","1010801033","11","10","0","1"
"","","","0","","1010801","1010801034","91","","",""
"","","dsb_idle_doya_blink","2","0.5","1010801","1010801035","3","1","",""
"","","dsb_talk_sad2_talkjoy2","1","0.5","1010801","1010801036","3","1","",""
"0","","vo_dsb_1004","vo_dsb_1010801","","1010801","1010801037","21","0","",""
"1","0.2","祈梨……\n妳剛才說什麼？","1","0","1010801","1010801038","11","10","0","1"
"","","","0","","1010801","1010801039","91","","",""
"","","dsb_idle_normal","1","0.5","1010801","1010801040","3","1","",""
"dsb_talk_surprise1_2","","dsb_surprise_inori","2","0.2","1010801","1010801041","3","0","0.5","1"
"0","","vo_dsb_1005","vo_dsb_1010801","","1010801","1010801042","21","0","",""
"1","0.2","沒沒沒、沒有，我什麼都沒說喔～\n倒是這座溫泉！\n這熱度不尋常……\n裡頭肯定有危險的東西！","2","0","1010801","1010801043","11","10","0","1"
"","","","0","","1010801","1010801044","91","","",""
"","","dsb_idle_surprise1_normal","2","0.5","1010801","1010801045","3","1","",""
"","","dsb_talk_bitter","1","0.5","1010801","1010801046","3","1","",""
"0","","vo_dsb_1006","vo_dsb_1010801","","1010801","1010801047","21","0","",""
"1","0.2","說得真難聽～\n裡面沒有危險的東西哦～\n……應該說這東西\n祈梨也很熟呀。","1","0","1010801","1010801048","11","10","0","1"
"","","","0","","1010801","1010801049","91","","",""
"","","dsb_idle_normal","1","0.5","1010801","1010801050","3","1","",""
"","","dsb_sniff","2","0.5","1010801","1010801051","3","1","",""
"0","","vo_dsb_1007","vo_dsb_1010801","","1010801","1010801052","21","0","",""
"1","0.2","這麼說來……嗅嗅。\n我好像在哪裡聞過\n這泉水的味道。","2","0","1010801","1010801053","11","10","0","1"
"","","","0","","1010801","1010801054","91","","",""
"","","dsb_idle_normal","2","0.5","1010801","1010801055","3","1","",""
"","","dsb_talk_joy3","1","0.5","1010801","1010801056","3","1","",""
"0","","vo_dsb_1008","vo_dsb_1010801","","1010801","1010801057","21","0","",""
"1","0.2","對吧～？\n正確答案是……\n吃了會噴火的樹果，\n我向似龍生物拿來的～☆","1","0","1010801","1010801058","11","10","0","1"
"","","","0","","1010801","1010801059","91","","",""
"","","dsb_idle_normal","1","0.5","1010801","1010801060","3","1","",""
"dsb_talk_guts2_loop","","dsb_talk_guts2","2","0.5","1010801","1010801061","3","0","0.5","1"
"0","","vo_dsb_1009","vo_dsb_1010801","","1010801","1010801062","21","0","",""
"1","0.2","喔喔！？\n是那個火焰果實啊！\n那水這麼熱也說得通了！\n那傢伙還好嗎？","2","0","1010801","1010801063","11","10","0","1"
"","","","0","","1010801","1010801064","91","","",""
"","","dsb_idle_guts2","2","0.5","1010801","1010801065","3","1","",""
"","","dsb_talk_normal","1","0.5","1010801","1010801066","3","1","",""
"0","","vo_dsb_1010","vo_dsb_1010801","","1010801","1010801067","21","0","",""
"1","0.2","嗯☆\n牠好像還記得我呢？\n馬上就把果實分給我了～♪\n心甘情願～地喔？","1","0","1010801","1010801068","11","10","0","1"
"","","","0","","1010801","1010801069","91","","",""
"","","dsb_hot","1","0.5","1010801","1010801070","3","1","",""
"0","","vo_dsb_1011","vo_dsb_1010801","","1010801","1010801071","21","0","",""
"1","0.2","不過……\n呼。\n是我果實加太多了嗎～？\n感覺有點發熱了～","1","0","1010801","1010801072","11","10","0","1"
"","","","0","","1010801","1010801073","91","","",""
"","","dsb_hot_loop","1","0.5","1010801","1010801074","3","1","",""
"","","dsb_talk_thinking_Ex9","2","0.3","1010801","1010801075","3","1","",""
"0","","vo_dsb_1012","vo_dsb_1010801","","1010801","1010801076","21","0","",""
"1","0.2","（這、這是……好機會！\n如果老大比我先泡到頭昏，\n到時候老大就比我還遜了！\n就等於是我贏了！The‧以下犯上！）","2","0","1010801","1010801077","11","10","0","1"
"","","","0","","1010801","1010801078","91","","",""
"dsb_talk_arm_crossed_Ex10_loop","","dsb_talk_arm_crossed_Ex10","2","0.5","1010801","1010801079","3","0","0.5","1"
"0","","vo_dsb_1013","vo_dsb_1010801","","1010801","1010801080","21","0","",""
"1","0.2","呵呵呵……\n這場比賽我贏定了──！\n啊──哈哈哈哈！","2","0","1010801","1010801081","11","10","0","1"
"","","1","5.6","","1010801","1010801082","93","","",""
"dsb_ahaha_loop","","dsb_ahaha_in","2","0.5","1010801","1010801083","3","0","0","1"
"","","","1010801081","","1010801","1010801084","91","","",""
"","","1","40","","1010801","1010801085","32","","",""
"","","0","1.5","","1010801","1010801086","93","","",""
"","","dsb_inori_dizzy","2","0","1010801","1010801087","3","1","",""
"","","dsb_idle_normal","1","0","1010801","1010801088","3","1","",""
"","","0","0.5","","1010801","1010801089","93","","",""
"","","0","0","","1010801","1010801090","22","","",""
"","","0","1","","1010801","1010801091","93","","",""
"dsb_talk_joy3","","dsb_smile4","1","0.5","1010801","1010801092","3","0","0.2","1"
