b9cea987209b483c60238a9ec952a4ab333dd1ec0a0f1a21ffe099f663a0e200,5993e25a3e05be1c0470060a0faaf24ce667aac693447a73e6bf00986ab6f9c9,f00b506b85e3700f22ad5635df0bdda785478ffa045888f609aebabea8a38ef8,501e373628278a82efddf271d9e309656e43936d290751719e8f9153ac378fb6,06017a36be07f3747f021fd85be5ffebf9d5f7937a4b63d7e59bc8ceadd9a98d,de390c1cadc52732dc00b39925954595ae78534b0f9904b260d57bfd4af01d57,7d86e86cf2aa0f605d097db1456457d8ac6c38bf4cc3955970a7b3ed94889d44,58e4e54984f00838d45ea8233a9fcbad4a63ae9bbc867dc49000405d60c4aafb,e276d493834762c33a83cae295ad95fc7523931914b1b549f56f96bc35b9e0d4,e2323e6df80f52104561da6708290766fb71d1709512f236d3bcb7529d1b4e19,07a1482e015e93a70b13c7c1f275df95b98ba9d7da853f7534483f3f2941c5db,898329cc90c1ca8304181eb95fb112954c91cb83d653ba4e9d0437a3cb2fa6ed,f53321e76e17a866804215c7f0c6cddc1c41f594628c1df3254716c18274ccf3,5bd852938fbe4b811b5e0571cdf3c64d04889eaa6d63d7624af5acca91fa57de,4b1938ae54dbc13b562aef803cf999edbd88dc74b4d2aca19370e91599fcca1b,44158a4f1779f44ee785a953f363f4d909c6ce2d9fd3af8c9f58e8d90c33fba7
"90006","40","2","1001101","8","0","1","0","0","0","91002","40","2","0","0","22002"
"90006","60","2","1001102","8","0","2","0","0","0","91002","50","2","0","0","22002"
"90006","80","2","1001103","8","0","3","0","0","0","91002","60","2","0","0","22002"
"90006","100","2","1001104","8","0","4","0","0","0","91002","80","2","0","0","22002"
"90006","200","2","1001105","8","0","2","0","0","0","91002","150","2","0","0","22003"
"22002","20","2","1001106","2","0","0","0","0","0","90006","1","0","0","0","0"
"22002","20","2","1001107","2","0","0","0","0","0","90006","1","0","0","0","0"
"22002","20","2","1001108","2","0","0","0","0","0","90006","1","0","0","0","0"
"22002","20","2","1001109","2","0","0","0","0","0","90006","1","0","0","0","0"
"22003","20","2","1001110","2","0","0","0","0","0","90006","1","0","0","0","0"
"90006","40","2","1002101","8","0","1","0","0","0","91002","40","2","0","0","22002"
"90006","60","2","1002102","8","0","2","0","0","0","91002","50","2","0","0","22002"
"90006","80","2","1002103","8","0","3","0","0","0","91002","60","2","0","0","22002"
"90006","100","2","1002104","8","0","4","0","0","0","91002","80","2","0","0","22002"
"90006","200","2","1002105","8","0","2","0","0","0","91002","150","2","0","0","22003"
"22002","40","2","1002106","2","0","0","0","0","0","90006","1","0","0","0","0"
"22002","40","2","1002107","2","0","0","0","0","0","90006","1","0","0","0","0"
