a2f0ca9750e0e9a7f603a08979245759f89a781326217b76d9ff57298094091f,e36c6aee83a1d4b8bcb30d527b37d91cba85c14124ea3f1f6ba1405c5bfa9db1,ee2274e63e7ad471bc882cc427475f621be31d40660743e324eec99a913e4092,19fddec3633bcbc8a422d0042764ffe111e8bb38596a47b1c43f7d6bf0527f12,d6a4916ba24fc8f16af7f9bce15baaa510f1359872a1e412adb5c685a34ecf2d,927cb11710a97f37c295f238f3d1ef3728ef4b7835e44b69bead1838a75bc251,771947bc16b2f8f8f33609d1a35d6afcb77c969b7ba8ed61d709a7d043fdbcc2,691bf6980a598b41e74d7b9efe96eeeebd8de193b822d5d52d66328dd2a1e236,3f8105aeaf36d1179a6c65de9f0591ea4328b7edc9eb12bb8c0fecc99eb12044,684f40a8468e0ad710b3ff7ee3da7b152c4b1cfee524d995c0455b9d5e124a88,c6c3df54ff157b7ef260fc8b15ff5c45f88b4130da5b266267d61b612336b235,13775719540dc10010aec86e7844096fcc214bf9e86632f1981d1b63b2b5609f,71086888e74f23eca6b9ca08fba31f430219166c29600f5b7a0eafdc335c8270,bc05c3aeee7b1819e45c8964811eed4a13a84499caa86303df7a277a9972ab22,b1466ea75f64c15a4fbf81f61f97791aba9130f0810e2efc8c3f08f554ba5b6a,88073180efef1698cec28fd634de27757843cf4eb94b50a7fc12673df358050a,6381d52d44e67b0a348b63653c6278790ab041fcd27f18128f18ca6b92d990d9,a6f59a62f4c82a4c2f2285d4eabbc8c7dcb615d351537359e594e980fa174572,0ba70e3ebe5f6e70874e7fd3e1c718e0640bfe6bed0637bfac2a00ece904c4b2,db2794e4fadc4aaa26d9158eb1226fce4394b1760638ae9d0f0332e8f0dd5d08,5644a447b6fc10ee03c58bf92d2b13fed139e075080b57ec7c7997916835b9f6,a224624670583cd49ef77528ea23a44d3373c0f618226d25189b7dc66b61efe5,3fe4aef7bee344cb3807885372000bb6193586789ae6cd96e8fefe1c986a081a,0d0094c5a53258b54ba9e545c6e99e64b84ac1e58efcd9f2332f7b55fa112de0,0dea04e4d8be96603e29d868c439915aaba627e7da2496a89cbe8f798914de08,09999f3016592d0da17e4c8596d6ef34ed8eb12f26fced3dc7e5db08af7270c1,93c090e11baeace07d77559d21b9605a8b68ea416714d80ae31fed78ae810455,dbbacf557c9996fd5c0d5549e84cd96a192ddabdca3b25346599e9e802bbc2f5
"100303","0","100101","1","1001001","105401","50","100101","100203","106001","90","180301","0","100101","100101","100305","100101","110301","0","1","100101","0","100003","2024/11/01 16:00:00","14","180301","1001","128801"
"100204","0","100201","1","1001002","124501","50","100201","100203","106001","90","123701","0","100201","100201","100101","100201","123701","0","2","100201","0","100003","2024/11/01 16:00:00","13","101801","1001","110301"
"100101","0","100301","1","1001003","117301","50","100301","100304","104001","90","104001","0","100301","100301","100102","100301","106901","0","3","100301","0","100003","2024/11/01 16:00:00","20","110301","1001","105401"
"100302","0","100402","1","1001004","101801","50","100401","100202","129001","90","101801","0","100402","100401","100304","100401","123001","0","4","100401","0","100003","2024/11/01 16:00:00","14","101401","1001","103401"
"100101","0","100501","1","1001005","103001","50","100501","100303","111001","90","103001","0","100501","100501","100102","100501","102601","0","5","100501","0","100003","2024/11/01 16:00:00","13","102801","1001","104901"
"100302","0","100601","1","1001006","110301","50","100601","100202","100801","90","100801","0","100601","100601","100304","100602","106001","0","6","100601","0","100003","2024/11/01 16:00:00","14","123001","1001","106501"
"100203","0","100701","1","1001007","103401","50","100702","100202","108301","90","105501","0","100701","100701","100101","100701","106001","0","7","100701","2","100003","2024/11/01 16:00:00","13","105501","1001","128301"
"100101","0","100801","1","1001008","105301","50","100801","100303","123001","90","105201","0","100802","100801","100102","100801","112201","0","8","100801","7","100003","2024/11/01 16:00:00","14","101801","1001","105201"
"100302","0","100901","1","1001009","108901","50","100901","100202","124501","90","113401","0","100901","100901","100304","100901","110301","0","9","100901","11","100003","2024/11/01 16:00:00","20","113401","1001","100701"
"100101","0","101002","2","1001010","103401","50","101002","100303","115001","90","100901","8","101005","101001","100102","101005","100901","0","10","101002","1","100003","2024/11/01 16:00:00","13","124101","1001","106601"
"100303","0","101106","2","1001011","117501","50","101102","100203","121301","90","117501","18","101105","101101","100305","101105","106901","0","11","101105","16","100003","2024/11/01 16:00:00","14","110301","1001","105401"
"100205","0","101206","2","1001012","126101","50","101202","100203","129001","90","117301","10","101206","101201","100101","101205","123001","0","12","101206","3","100003","2024/11/01 16:00:00","13","117301","1001","108901"
"100101","0","101306","2","1001013","123001","50","101302","100303","129001","90","118501","11","101306","101301","100102","101301","118501","0","13","101306","6","100003","2024/11/02 16:00:00","14","106001","1001","101401"
"100303","0","101402","2","1001014","105301","50","101402","100203","123001","90","126101","12","101406","101401","100305","101406","105501","0","14","101402","7","100003","2024/11/02 16:00:00","13","126101","1001","103401"
"100205","0","101506","2","1001015","103401","50","101502","100203","108301","90","108301","9","101504","101501","100101","101506","123001","0","15","101502","2","100003","2024/11/02 16:00:00","14","106901","1001","100501"
"100303","18","101606","3","1001016","112201","50","101602","100203","129001","90","101401","17","101606","101601","100101","101606","118501","0","16","101605","14","100003","2024/11/03 16:00:00","13","123001","1001","101401"
"100303","16","101706","3","1001017","100501","50","101702","100203","129001","90","129001","15","101706","101701","100101","101702","123001","0","17","101702","14","100003","2024/11/03 16:00:00","13","101401","1001","108901"
"100303","0","101802","3","1001018","123301","50","101805","100203","129001","90","120001","19","101806","101801","100101","101802","105501","0","18","101805","14","100003","2024/11/03 16:00:00","13","103401","1001","120001"
"100303","0","100101","1","1002001","180401","50","100101","100203","111801","90","105801","0","100101","100101","100305","100101","107501","0","1","100101","0","100003","2024/12/01 16:00:00","14","121001","1002","105801"
"100205","0","100201","1","1002002","112001","50","100201","100203","127201","90","106001","0","100201","100201","100101","100201","106001","0","2","100201","0","100003","2024/12/01 16:00:00","13","180601","1002","121101"
"100101","0","100301","1","1002003","105901","50","100301","100304","125301","90","105901","0","100301","100301","100102","100301","180501","0","3","100301","0","100003","2024/12/01 16:00:00","20","107601","1002","111901"
"100302","0","100401","1","1002004","103401","50","100401","100202","111401","90","111401","0","100401","100401","100304","100401","101201","0","4","100401","0","100003","2024/12/01 16:00:00","14","110301","1002","104601"
"100101","0","100502","1","1002005","103401","50","100501","100303","100801","90","105401","0","100501","100501","100102","100501","129001","0","5","100501","0","100003","2024/12/01 16:00:00","13","106001","1002","105401"
"100302","0","100602","1","1002006","101101","50","100601","100202","100801","90","106601","0","100601","100601","100304","100601","129001","0","6","100601","0","100003","2024/12/01 16:00:00","14","112201","1002","106601"
"100205","0","100701","1","1002007","108901","50","100701","100202","123001","90","104501","0","100702","100701","100101","100701","103401","0","7","100701","1","100003","2024/12/01 16:00:00","13","100501","1002","104501"
"100101","0","100802","1","1002008","105501","50","100801","100303","108301","90","103401","0","100801","100801","100102","100801","123001","0","8","100801","2","100003","2024/12/01 16:00:00","14","101401","1002","103401"
"100302","0","100902","1","1002009","128801","50","100901","100202","129001","90","100901","0","100902","100901","100303","100902","100901","0","9","100902","3","100003","2024/12/01 16:00:00","20","103401","1002","108901"
"100101","0","101006","2","1002010","128801","50","101002","100302","129001","90","128801","0","101006","101001","100102","101006","123001","0","10","101006","6","100003","2024/12/01 16:00:00","13","126101","1002","100701"
"100302","0","101102","2","1002011","106601","50","101102","100202","112201","90","102201","0","101105","101101","100303","101102","102201","0","11","101102","7","100003","2024/12/01 16:00:00","14","103401","1002","105201"
"100205","0","101206","2","1002012","112201","50","101206","100202","100801","90","112201","1","101202","101201","100101","101206","129001","0","12","101205","8","100003","2024/12/01 16:00:00","20","123001","1002","129601"
"100101","0","101301","2","1002013","123301","50","101302","100302","108301","90","123301","2","101304","101301","100102","101305","101101","0","13","101305","9","100003","2024/12/02 16:00:00","14","123501","1002","100501"
"100301","0","101406","2","1002014","123001","50","101402","100203","129001","90","123001","3","101406","101401","100303","101401","118501","0","14","101406","10","100003","2024/12/02 16:00:00","13","106001","1002","101401"
"100205","0","101506","2","1002015","103401","50","101505","100202","129001","90","129001","0","101506","101501","100101","101502","130801","0","15","101502","19","100003","2024/12/02 16:00:00","14","105501","1002","120001"
"100302","0","111602","3","1002016","105301","50","111602","100305","123001","90","126101","0","111606","111601","100101","111606","105501","0","16","111602","15","100003","2024/12/03 16:00:00","13","126101","1002","103401"
"100303","0","111704","3","1002017","104901","50","111705","100203","129001","90","129601","0","111706","111701","100101","111706","110301","0","17","111701","16","100003","2024/12/03 16:00:00","14","129601","1002","120001"
"100302","0","111806","3","1002018","130901","50","111802","100203","100801","90","108901","19","111802","111801","100101","111806","129001","0","18","111806","17","100003","2024/12/03 16:00:00","13","126101","1002","108901"
"100303","0","100101","1","1003001","106401","50","100101","100203","127201","90","105801","0","100101","100101","100305","100101","106001","0","1","100101","0","100003","2025/01/01 16:00:00","13","105901","1003","105801"
"100205","0","100201","1","1003002","100301","50","100201","100203","100201","90","100101","0","100201","100201","100101","100201","122401","0","2","100201","0","100003","2025/01/01 16:00:00","14","122501","1003","100101"
