fba49835a702c81cc58d0e2e9abae6d66297b4796ad446243825f383a5e9268b,a1c48e197efcb9a6d2455933ff0d74de8ff7fdeb35e18bcfc62501150b23dc3f,feeffe41eb3235eacb277be9b5877b35d29a1da53a0d860da421c426b836dc8c,1e1cee8e09b4d4b9762165a37252983c4f583e8742d8fde026d737905caef3cd,a97763223e8c3a0128e5d006a6ee24fb9cf9d371780406b48aabd679ad2f31b8,966264ee7bc908ea51421d498feae546e4c2016b2c44b4ad2ae5aad07958209c,6fec13c598e52edb36de455da7b82571882792dd8ac6a94bf7345da74562efe5,37991a905b2dca00857d2aec9978e08a43953301a4fa9f4efa3bc67502fa16a5,0b50cf5a1fe303b6a399fd1c3f34f6b2b1cbf3fddd338f6b90524941a4fa93ea,7eac9cee4a18ba97c1be5a38516bb46688f8223e0441e3dec45eba0ccd033949,71be3d3a75722ad2de673679ebd54096323673a514fc09a37614c5472a4f0274,f4120f562fad7fe3c234cf7729732ceb4635efccc37ca592eb69eb824b57c910,de1dd209bc54d2e374c4b5ab4ba4ce6af8c89974ca8ddd2c654fff88a6f4e865,391b36d55cc2368eeb1bfa1fd992e63c8066e128522b0a223e10b18b95b2a289,d0f4cec7d3652666c087eb87a925f0954d7c0687b687aa5ce4587bb2c6f94a73,49adffc0e5899cab0d2dbd190800f9c7411beca3e481a5637e5620fd924cc923,fff42a78348d876163e35216ff589f8b7f155ddf305c00d1b058734f4ca04c1e,828dd7b473b92242b9b56345d8a8e2c93ff94f73d249784994f2bb2cc1387924,5721572bc3a49b2758434f1b5eb795e47d397345bda38e0adb54e62f460690d5,ed7b00b38747686bdae114475c3101db85713926f2acc4b983abd2a38803a2ae,6a413f695473dd07be05b77043bb18018a5fc003821ae2050c911aef43087445,24b70418fb75d907fc0842dacfd53b249d0e242f6e4922d92530a9948f0c0496,dc14790fae7b328db107cd9bb278083b14914796c1788946bf6a4f16931e8c82,c847b0191f2a741a1fcdb6deed0a588f8fff1f951f13dadc2304705517662936,fdf35a1714837479ce5bfa567523feb3843d63cd6e18100c601def2b4a09c818,ebdd3ca2f9f7ab2876f61e98a9a3c058d40ded73bb97964d2c4996237fa6f645,6a82f2f483fd92766977bc693b73f329eb501f298c5f82b4b2881ac5670452f5,67cf2bd9f9c461fb825590221c558f0f90dbfbd6c191e4c1bd92507d989750d3,97c408385e4c6250481ec74db856ebfe00341eaf16c0416ba4c77564729417d2,3f8702d2001ea4e45f104933168b1bc1c2c8560ceff2d7144f9df3c017d2c2d9,07d9396750b190be4f41d7268d243da004c97488c65dfb9ed1781961de27f819,49c56d944dff7581070765cc58a906fef02830d8a3fa43d3654671b09335b76f,002aef40b9c28bb067a56740dff26ac6509b27bd0d3622c3559acb28748db9ee,021ee89f1f78e827c285d4d02251288a43ed553c83bd8c1ac419e31a91fa323f
"1","美食殿堂","為了能夠進入特別的餐廳用餐，貪吃佩可組成了這個公會。主要的目的是邊走邊吃。","1058","1058","1059","1060","1075","1076","1078","1120","1119","1804","1805","1118","1155","1806","1210","1211","1253","1272","1279","0","0","0","0","0","0","0","0","0","0","0","0"
"2","破曉之星","公會長是日和，並以助人為中心活動著的公會。但真正的目的是，實現夢見相同夢境的３人所許下的「到達索爾之塔頂端」心願","1001","1001","1002","1003","1088","1089","1087","1802","1801","1140","1156","1803","1224","1225","1226","1288","1289","1287","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","拉比林斯","由謎樣人物・拉比林斯達所一手建立，探究世界謎團的公會。經營著可麗餅店，對外偽裝成平凡的公會。也就是俗稱的祕密結社。","1068","1068","1049","1011","1091","1129","1171","1193","1212","1200","1811","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","慈樂之音","由單人偶像的望所組成，以歌舞（來與日常中產生的悲傷心情）戰鬥的偶像公會。以Live的演出為主要活動內容。","1029","1029","1042","1054","1084","1116","1139","1172","1174","1173","1248","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","小小甜心","由感情良好的３人組所創立，實際上是非公認的公會。演著公會戲碼，實際目的只是想到處玩。","1020","1020","1004","1036","1111","1112","1113","1808","1228","1229","1227","1307","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","森林守衛","由精靈族來管理、守護森林，歷史悠久的公會。管理著只有精靈之森才採得到藥草，並守衛著森林。","1015","1015","1012","1040","1107","1134","1135","1167","1807","1221","1246","1284","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","惡魔偽王國軍","伊莉亞與魔族少女們所組成的公會。其名與伊莉亞當年所統領、和眾神為敵並且展開戰鬥的魔族最強軍團的名字相同。","1044","1044","1022","1006","1031","1007","1081","1082","1117","1137","1138","1199","1209","1220","1241","1240","1262","1271","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","王宮騎士團（NIGHTMARE）","身為蘭德索爾的國軍，其活動目的為保護「王宮」及皇族，以及完成所接受到的聖令。另一身為守護街上治安的警察組織的身分也十分強悍。","1047","1047","1071","1037","1005","1115","1136","1141","1143","1236","1238","1239","1242","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","咲戀育幼院","雖然是孤兒院，但買賣的範圍也做得相當廣。身為王宮護衛時的每一天，自覺找不出其價值的咲戀，為了想幫助他人，於是帶著這樣的心情組成了公會。","1028","1028","1025","1023","1021","1077","1086","1085","1103","1121","1145","1213","1809","1232","1275","1308","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","哞哞自衛隊","保護同為【動物苑】的夥伴免於魔物們的威脅的武鬥派公會。同時也從事著「闇影」異變的調查及解決。與【王宮騎士團】的關係水火不容。","1010","1010","1043","1014","1017","1105","1104","1106","1122","1157","1159","1160","1177","1231","1285","1298","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","伊麗莎白牧場","位在山上的牧場公會。活動內容講白了就是牧場，飼育著牛及馬等等的動物。同時也是獸人們度過休假的野餐地及病人的靜養之地。","1033","1033","1052","1038","1026","1123","1127","1128","1158","1807","1192","1235","1254","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","墨丘利財團","手邊有著龐大的資金，對各式各樣的事業進行融資及買賣的公會。懲治使用惡劣手段賺取金錢的生意人，是其背地裡的活動目的。","1032","1032","1048","1034","1046","1080","1079","1146","1144","1168","1169","1809","1222","1251","1267","1268","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","暮光流星群","基於某個目的而組成，無論什麼危險的委託都會承攬下來的萬事屋公會。幾乎每個成員都擁有稱號，也傳聞是蘭德索爾最危險的公會。","1056","1056","1051","1027","1013","1009","1090","1132","1131","1133","1170","1175","1208","1219","1237","1247","1276","1299","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","月光學院","存在於蘭德索爾的學校之一。由公會管理協會所直營的公立教育機關。在學校裡，前來上學的學生的年齡、種族、學力都不盡相同。","1018","1018","1050","1016","1083","1100","1101","1179","1190","1214","1273","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","純白之翼 蘭德索爾分部","身為公會長的莫妮卡所組成的公會。總是因愚蠢的行動而招來許多危機，但成員都可憑己身之力華麗地解決。","1053","1053","1008","1030","1045","1055","1095","1096","1130","1142","1176","1178","1191","1215","1252","1263","1270","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","聖德蕾莎女子學院（好朋友社）","以通過獎學金審查做為目的，而為了表現具有達成「高親和力共同體」的條件，所趁勢結成的新感覺社團風公會。","1110","1110","1108","1109","1163","1162","1164","1293","1294","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","龍族巢穴","為了發現並且保護稀有的種族－龍人族為目的而成立。僅管在各地都有進行著探索的蹤跡，然而私底下卻進行著幫派活動的負面傳聞不曾停歇過的一個公會。","1067","1067","1065","1066","1165","1166","1216","1245","1249","1283","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","里士滿工商會","","1180","1180","1280","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","憤怒‧軍團","","1923","1181","1233","1269","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","幻變少女","","1258","1258","1260","1261","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","new generations","","1124","1124","1126","1125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"500","森林守衛、牧場（伊麗莎白牧場）","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"501","墨丘利財團、咲戀育幼院","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
