22deff3f427b318f54503f78f4cc2ebbe66e6c3c7480672371710d7fdc565e28,719de2ffc7a8f5e6d05e6f3b819ef6a5f4041950a00a643ce4933769695f5833,88371863d408f9afa728f85fc74b11d74e5100a37e0a62ccfd6ceb2d5a7c5fa3,22bc2801a1a079bb15c8b2222cec539659ecdb9e5b8b2d270c238236a4a5bd14
"170","1","1","1000"
"175","1","2","3000"
"180","1","3","5000"
"185","1","4","7000"
"190","1","5","9000"
"195","1","6","11000"
"200","1","7","13000"
"205","1","8","15000"
"210","1","9","17000"
"215","1","10","19000"
"220","1","11","21000"
"225","1","12","23000"
"230","1","13","25000"
"232","1","14","27000"
"234","1","15","29000"
"236","1","16","31000"
"238","1","17","33000"
"240","1","18","35000"
"242","1","19","37000"
"244","1","20","39000"
"246","1","21","41000"
"248","1","22","43000"
"250","1","23","9999999"
"170","2","24","1000"
"175","2","25","3000"
"180","2","26","5000"
"185","2","27","7000"
"190","2","28","9000"
"195","2","29","11000"
"200","2","30","13000"
"205","2","31","15000"
"210","2","32","17000"
"215","2","33","19000"
"220","2","34","21000"
"225","2","35","23000"
"230","2","36","25000"
"232","2","37","27000"
"234","2","38","29000"
"236","2","39","31000"
"238","2","40","33000"
"240","2","41","35000"
"242","2","42","37000"
"244","2","43","39000"
"246","2","44","41000"
"248","2","45","43000"
"250","2","46","9999999"
"170","3","47","1000"
"175","3","48","3000"
"180","3","49","5000"
"185","3","50","7000"
"190","3","51","9000"
"195","3","52","11000"
"200","3","53","13000"
"205","3","54","15000"
"210","3","55","17000"
"215","3","56","19000"
"220","3","57","21000"
"225","3","58","23000"
"230","3","59","25000"
"232","3","60","27000"
"234","3","61","29000"
"236","3","62","31000"
"238","3","63","33000"
"240","3","64","35000"
"242","3","65","37000"
"244","3","66","39000"
"246","3","67","41000"
"248","3","68","43000"
"250","3","69","9999999"
