d9468ad3ebb047472373bd8eed5573d1182ba49d9dd9504d80097a88a5e7742b,21847b40121868c197051f0bd14ec0cd3cc0041b4c9c6df6ea1191849c8b6ef2,1c39ac5b12608dfaa28eedcf1bc0098a31ae3ac89273bcee526127c2aa737129,5e7abafaac4d19380d707a99858e76f3dcc73d710c528b1102b1cebe32773ac3,c10abcddf6dfe845f37b1d91b58fb6c9de5e1eea5f3f77951b05e090671874de,5fac3d69d89f990440105781834e26d2f1f34ce4a6aa8670f789275297208f19,a5b44d1f42225a497df07acb769cc5fca9219111a34cd6265cd1df4d14d938c1,8fd85ca799b98a061f139b67350d8049a473a7b3b913bf8c22542dd9aa701bfb,d802dc3eb7ad931a82293e8a10f06be70a7c95f1c89a903ec627446baf1d570d,9d71b515bdf950c9f80c51128621648daee2e8b4a42d14f52bca37561cce77e0,ab5be191a66a981eaaf42faf82598d62fcdd8d1b5274d5d90e84cab4806ef175
"102611","1","1","1","ttk_idle_def","100","1","5","-120","1010001","1000"
"2","1","1","2","","0","","31","1","1010002","0"
"1","1","1","1","","-120","","31","1","1010003","-80"
"","","1","1","","","","93","","1010004",""
"vo_minigame_1005_top_000","","1","vo_minigame_1005","","0","","21","","1010005","0"
"ttk_doya","0.3","1","102611","","ttk_idle_doya","0.3","3","1","1010006","0"
"我會把大家\n交代的工作做好的","0","1","102611","","","0","11","","1010007","8"
"","","1","0","","","","91","","1010008",""
"102611","1","2","1","ttk_idle_def","100","1","5","-120","1020001","1000"
"2","1","2","2","","0","","31","1","1020002","0"
"1","1","2","1","","-120","","31","1","1020003","-80"
"","","2","1","","","","93","","1020004",""
"vo_minigame_1005_top_001","","2","vo_minigame_1005","","0","","21","","1020005","0"
"ttk_idle_smile","0.3","2","102611","","ttk_idle_def","0.3","3","1","1020006","0"
"我會讓你後悔\n出現在\n我面前的","0","2","102611","","","0","11","","1020007","8"
"","","2","0","","","","91","","1020008",""
"102611","1","3","1","ttk_idle_def","100","1","5","-120","1030001","1000"
"2","1","3","2","","0","","31","1","1030002","0"
"1","1","3","1","","-120","","31","1","1030003","-80"
"","","3","1","","","","93","","1030004",""
"vo_minigame_1005_top_002","","3","vo_minigame_1005","","0","","21","","1030005","0"
"ttk_joy","0.1","3","102611","","ttk_idle_joy","0.3","3","1","1030006","0"
"只要掌握到訣竅\n其實也還蠻開心的\n不對，勞動就是勞動……","0","3","102611","","","0","11","","1030007","8"
"","","3","2.2","","","","93","","1030008",""
"ttk_talk_sad","0.3","3","102611","","","0.3","3","","1030009","1"
"","","3","3","","","","93","","1030010",""
"ttk_idle_def","0.3","3","102611","","","0.3","3","","1030011","1"
"","","3","0","","","","91","","1030012",""
"102611","1","4","1","ttk_idle_def","100","1","5","-120","1040001","1000"
"2","1","4","2","","0","","31","1","1040002","0"
"1","1","4","1","","-120","","31","1","1040003","-80"
"","","4","1","","","","93","","1040004",""
"vo_minigame_1005_top_003","","4","vo_minigame_1005","","0","","21","","1040005","0"
"ttk_shock","0.3","4","102611","","ttk_idle_shock","0.3","3","1","1040006","0"
"我根本不想知道\n老鼠的事情好嗎\n唉……麻煩死了","0","4","102611","","","0","11","","1040007","8"
"","","4","5","","","","93","","1040008",""
"ttk_idle_def","0.3","4","102611","","","0.3","3","","1040009","1"
"","","4","0.7","","","","93","","1040010",""
"102611","1","5","1","ttk_idle_def","100","1","5","-120","1050001","1000"
"2","1","5","2","","0","","31","1","1050002","0"
"1","1","5","1","","-120","","31","1","1050003","-80"
"","","5","1","","","","93","","1050004",""
"vo_minigame_1005_top_004","","5","vo_minigame_1005","","0","","21","","1050005","0"
"ttk_surprise","0.3","5","102611","","","0.3","3","","1050006","0"
"唔哇！？\n別過來！\n唉……一隻接著一隻\n趕老鼠還真不容易……","0","5","102611","","","0","11","","1050007","8"
"","","5","0.9","","","","93","","1050008",""
"ttk_talk_anger","0.3","5","102611","","","0.3","3","","1050009","1"
"","","5","0.8","","","","93","","1050010",""
"ttk_sad","0.3","5","102611","","ttk_talk_sad","0.3","3","1","1050011","0"
"","","5","5","","","","93","","1050012",""
"ttk_idle_def","0.3","5","102611","","","0.3","3","","1050013","1"
"","","5","0","","","","91","","1050014",""
"102611","1","6","1","ttk_idle_def","100","1","5","-120","1060001","1000"
"2","1","6","2","","0","","31","1","1060002","0"
"1","1","6","1","","-120","","31","1","1060003","-80"
"","","6","1","","","","93","","1060004",""
"vo_minigame_1005_top_005","","6","vo_minigame_1005","","0","","21","","1060005","0"
"ttk_idle_worry","0.3","6","102611","","","0.3","3","","1060006","1"
"我完全不想要\n習慣這種事情……\n不過為了牧場，\n也只能這麼做了","0","6","102611","","","0","11","","1060007","8"
"","","6","7","","","","93","","1060008",""
"ttk_amz","0.3","6","102611","","ttk_idle_def","0.3","3","1","1060009","0"
"","","6","0","","","","91","","1060010",""
