1735dfcfbaed6bb4afe904a3e130c88349208b250ae889666fe9d8654dc35b08,36426c3fa9d221dbcff4825a87efe3db395f12d56d9820a4baf3036a3463dabd,b56a3cb2292bbef4f2227bde4e9c57837501b2740dac094e09f9c3414a941d5d,bd2c9565040d22ad2aa0663da64ada910078c9418e104a308a6f79899c28cbee,0c92a4da2fccb4186bcb72b31e7f99740ce0a6a2e314179302f95ccfb4214b86,442ea8d451490188302011987bf1ed023a98c70f648fbeddc30e4bff83ebfaca,8dba5bbeacd199c99df25c85c47fb78960a95e962ab82b645f4d356e955fb64d,a0bce7be888d814206e0f971fbdf7958799bf989e377fa51b64e6e32c05b907c,389b7063c8d1f1992d2dcc794586db4cf41869f5fa68d031337f8f987a9d5b33,c429d0b14e6ecc2e5497ff77c0835758d5c6393ab9287836f2dd5863cfee221f,af5d47237f754e08a14e5cd36a1f69eab190899ea8d01b4557f490003faf419c
"11010001","110","1","0","1.35","-421","-209.3","1","110931","101","nyx_idle_normal"
"11010002","110","1","0","1.35","121.8","-182.5","1","104831","101","nyx_idle_normal"
"11010003","110","1","0","1.35","227.7","-182.5","1","104631","101","nyx_idle_normal"
"11010004","110","1","1","1.35","340.3","-182.5","1","103231","101","nyx_talk_normal"
"11010005","110","1","1","1.35","449.6","-182.5","1","103431","101","nyx_idle_normal"
"11010006","120","2","0","1.35","-421","-209.3","5","2","101","NoItem"
"11010007","0","1","","1","0","1","31","1","101",""
"11010008","-300","15","","0","0","1","31","3","101",""
"11010009","-300","15","","0","0","1.5","31","4","101",""
"11010010","","bgm_M347","","","","","25","bgm_M347","101",""
"11010011","","2","","","","","93","","101",""
"11010012","0","2","","0.2","nyx_101_chieru_loop","1","3","nyx_101_chieru_01","101",""
"11010013","0","110931","","0.2","nyx_101_chieru_loop","1","3","nyx_101_chieru_01","101",""
"11010014","10","110931","","","","","11","切嚕～♪\n一開始總而言之\n要有衝擊性！","101",""
"11010015","","0.4","","","","","93","","101",""
"11010016","","3","","","","","32","0","101",""
"11010017","","3","","","","","32","1","101",""
"11010018","","11010014","","","","","91","","101",""
"11010019","10","110931","","","","","11","我要當個用強而有力\n的第一聲切嚕緊抓住\n評審員的心的孩子","101",""
"11010020","","1","","","","","93","","101",""
"11010021","1","103231","","0.2","","","3","nyx_idle_joy1","101",""
"11010022","1","104631","","0.2","","","3","nyx_cmn_05","101",""
"11010023","","11010019","","","","","91","","101",""
"11010024","0","2","","0.2","nyx_101_chieru_loop","1","3","nyx_101_chieru_01","101",""
"11010025","0","110931","","0.2","nyx_101_chieru_loop","1","3","nyx_101_chieru_01","101",""
"11010026","7","110931","","","","","11","切嚕～♪\n不對，還可以更好……\n切～☆嚕～！","101",""
"11010027","","0.4","","","","","93","","101",""
"11010028","","3","","","","","32","0","101",""
"11010029","","3","","","","","32","1","101",""
"11010030","","0.6","","","","","93","","101",""
"11010031","1","103431","","0.2","","","3","nyx_talk_bitter","101",""
"11010032","1","104631","","0.2","","","3","nyx_cmn_04","101",""
"11010033","","2","","","","","93","","101",""
"11010034","0","2","","0.2","nyx_101_chieru_loop","1","3","nyx_101_chieru_02","101",""
"11010035","0","110931","","0.2","nyx_101_chieru_loop","1","3","nyx_101_chieru_02","101",""
"11010036","","0.4","","","","","93","","101",""
"11010037","","3","","","","","32","0","101",""
"11010038","","4","","","","","32","1","101",""
"11010039","","11010026","","","","","91","","101",""
"11010040","1","103431","","0.2","","","3","nyx_idle_bitter","101",""
"11010041","1","104831","","0.2","","","3","nyx_talk_sad","101",""
"11010042","10","104831","","","","","11","吶，那個……\n妳們有沒有聽到\n走廊傳來的聲音？","101",""
"11010043","","0","","","","","91","","101",""
"11010044","","110931","","","","","4","1","101",""
"11010045","","2","","","","","4","1","101",""
"11010046","0","2","","0.2","nyx_101_chieru_loop","1","3","nyx_101_chieru_02","101",""
"11010047","0","110931","","0.2","nyx_101_chieru_loop","1","3","nyx_101_chieru_02","101",""
"11010048","1","104831","","0.2","","","3","nyx_idle_sad","101",""
"11010049","1","104631","","0.2","","","3","nyx_talk_sad","101",""
"11010050","10","104631","","","","","11","聽起來好像在說什麼\n切嚕切嚕的喵……\n好恐怖喵……","101",""
"11010051","","0","","","","","91","","101",""
"11010052","1","104631","","0.2","","","3","nyx_idle_sad","101",""
"11010053","1","103431","","0.2","","","3","nyx_talk_sad","101",""
"11010054","10","103431","","","","","11","該不會是學校的七大\n不可思議之類的吧……\n好、好想回家……","101",""
"11010055","","0","","","","","91","","101",""
"11010056","1","103431","","0.2","","","3","nyx_idle_sad","101",""
"11010057","1","103231","","0.2","","","3","nyx_talk_joy2","101",""
"11010058","10","103231","","","","","11","還真是有趣呢！\n對於待會會出現什麼\n我感到非常期待呢！","101",""
"11010059","","0","","","","","91","","101",""
"11010060","","0.4","","","","","93","","101",""
"11010061","","110931","","","","","4","0","101",""
"11010062","","2","","","","","4","0","101",""
"11010063","0","110931","","0.2","nyx_101_chieru_loop","1","3","nyx_101_chieru_01","101",""
"11010064","0","2","","0.2","nyx_101_chieru_loop","1","3","nyx_101_chieru_01","101",""
"11010065","1","104831","","","","","12","1","101",""
"11010066","0","104831","0.2","0.2","nyx_idle_sad","1","3","nyx_talk_sad","101",""
"11010067","","0.4","","","","","93","","101",""
"11010068","","3","","","","","32","0","101",""
"11010069","","3","","","","","32","1","101",""
"11010070","","1.6","","","","","93","","101",""
"11010071","1","104631","","","","","12","15","101",""
"11010072","0","104631","0.2","0.2","nyx_idle_sad","1","3","nyx_talk_sad","101",""
"11010073","","3","","","","","93","","101",""
"11010074","","110931","","","","","4","1","101",""
"11010075","","2","","","","","4","1","101",""
"11010076","0","110931","","0.2","nyx_101_chieru_loop","1","3","nyx_101_chieru_02","101",""
"11010077","0","2","","0.2","nyx_101_chieru_loop","1","3","nyx_101_chieru_02","101",""
"11010078","1","103231","","","","","12","10","101",""
"11010079","0","103231","0.2","0.2","nyx_idle_joy1","1","3","nyx_talk_joy1","101",""
"11010080","","2","","","","","93","","101",""
"11010081","1","103431","","","","","12","2","101",""
"11010082","0","103431","0.2","0.2","nyx_idle_sad","1","3","nyx_talk_sad","101",""
"11010083","","2.5","","","","","93","","101",""
"11010084","","11010060","","","","","101","","101",""
"11020001","110","1","1","1.35","-362","-209.3","1","110831","102","nyx_102_chloe_01"
"11020002","110","1","0","1.35","90","-182.5","1","104831","102","nyx_102_mifuyu_01"
"11020003","110","1","0","1.35","220","-182.5","1","104631","102","nyx_idle_normal"
"11020004","110","1","1","1.35","336","-182.5","1","103231","102","nyx_talk_normal"
"11020005","110","1","1","1.35","457","-182.5","1","103431","102","nyx_idle_normal"
"11020006","0","1","","1","0","1","31","1","102",""
"11020007","120","2","0","1.35","-362","-209.3","5","2","102","NoItem"
"11020008","","bgm_M347","","","","","25","bgm_M347","102",""
"11020009","","2","","","","","93","","102",""
"11020010","1","110831","","0.2","","","3","nyx_102_chloe_02","102",""
"11020011","10","110831","","","","","11","再來輪到我了啊……\n呃，接在琪愛兒後面\n總有種不利的感覺？","102",""
"11020012","","0","","","","","91","1","102",""
"11020013","1","110831","","0.2","","","3","nyx_idle_sad","102",""
"11020014","10","110831","","","","","11","那傢伙絕對一見面\n就切嚕切嚕地喊\n把整個氣氛搞冷……","102",""
"11020015","","0","","","","","91","1","102",""
"11020016","0","110831","0.2","0.2","nyx_102_chloe_02","1","3","cmn_pose02_def_N","102",""
"11020017","10","110831","","","","","11","不過算了，怎樣都好\n……話說裡面的那些人\n應該沒事吧？","102",""
"11020018","","3","","","","","93","","102",""
"11020019","1","103231","","0.2","","","3","nyx_idle_normal","102",""
"11020020","1","104631","","0.2","","","3","nyx_talk_sad","102",""
"11020021","","110831","","","","","4","0","102",""
"11020022","","11020016","","","","","91","","102",""
"11020023","","1","","","","","93","","102",""
"11020024","1","110831","","0.2","","","3","nyx_102_chloe_01","102",""
"11020025","10","110831","","","","","11","像是被那股切嚕之氣\n嚇到而變得不正常……\n……不，應該不至於吧","102",""
"11020026","","2.5","","","","","93","","102",""
"11020027","0","110831","","0.2","nyx_102_chloe_03_loop","1","3","nyx_102_chloe_03","102",""
"11020028","0","2","","0.2","nyx_102_chloe_03_loop","1","3","nyx_102_chloe_03","102",""
"11020029","","11020025","","","","","91","","102",""
"11020030","","1","","","","","93","","102",""
"11020031","10","104831","","","","","11","切嚕……切嚕……","102",""
"11020032","","1.5","","","","","93","","102",""
"11020033","0","104631","","","","","4","1","102",""
"11020034","0","104631","0.2","0.2","nyx_idle_surprise2","1","3","cmn_shock_def_N","102",""
"11020035","0","103431","0.2","0.2","nyx_idle_surprise2","1","3","cmn_shock_def_N","102",""
"11020036","0","103231","0.2","0.2","nyx_idle_surprise1","1","3","nyx_surprise","102",""
"11020037","","1.5","","","","","93","","102",""
"11020038","1","104631","0.2","0.2","","1","3","nyx_talk_surprise2","102",""
"11020039","1","103431","","0.2","","","3","nyx_102_yukari_01","102",""
"11020040","10","103431","","","","","11","美冬！\n振作一點切嚕！\n沒那麼嚴重切嚕！","102",""
"11020041","","0","","","","","91","1","102",""
"11020042","0","103431","0.2","0.2","nyx_102_tamaki_01_loop","1","3","cmn_shock_def_N","102",""
"11020043","0","103231","","","","","4","0","102",""
"11020044","0","104631","","","","","4","0","102",""
"11020045","","0","","","","","91","","102",""
"11020046","10","104631","","","","","11","不行了喵……\n美冬和優花梨都\n為時已晚切……喵！","102",""
"11020047","","2.6","","","","","93","","102",""
"11020048","0","104631","0.2","0.2","nyx_102_tamaki_01_loop","1","3","nyx_102_tamaki_01","102",""
"11020049","","0.1","","","","","93","","102",""
"11020050","0","103231","","","","","4","1","102",""
"11020051","","1.5","","","","","93","","102",""
"11020052","10","103231","","","","","11","實在是損傷慘重呢……\n只能祈禱下一位\n能夠普通一點了……","102",""
"11020053","","0","","","","","91","","102",""
"11020054","","1","","","","","93","","102",""
"11020055","0","110831","","0.2","nyx_102_chloe_03_loop","1","3","nyx_102_chloe_04","102",""
"11020056","0","2","","0.2","nyx_102_chloe_03_loop","1","3","nyx_102_chloe_04","102",""
"11020057","","1.5","","","","","93","","102",""
"11020058","1","110831","","","","","12","12","102",""
"11020059","","1","","","","","93","","102",""
"11020060","1","103431","","","","","12","1","102",""
"11020061","0","103431","0.2","0.2","nyx_cmn_03","1","3","nyx_cmn_01","102",""
