35ebabd3fa0228dbf25ce6f5147966b7427af1fb000aaf20362c9de138ea2bb2,17a4dc2e8f11adeba8c96a7f1880a1725664c0721007a10bcc4272d2f54e5627,62d7585c6a5c32312fd1d678d2bcc0de4249a0a17dea13f85657d5323dd8b4a3,6571e94564724a6c454f0ce64c77b150119b887bae556557cb5904ccbcf5a811,36eb824cfe47d0b384653db5cd503e774e7786a53e979b145f32872bdc0c0d73,fea6a92436d5e39bd7264020610dc3d73268ffd9320d92f0c7cce83470b92e9b,1e76b906b18d99f9d1679aeadca1a958f351db1d5ecfc1c4a7bcc26e859453ff,1956cc481ee901129cff1a0481698d2a29ebb04c8d6b8fce45c1c3e7335f2a4c,aac865889028ea9a64a901463e37971557d0d4008be911c2430bbe0a21a9ad80
"100111","5000","50","0","0","0","0","20000","30000"
"100112","5000","50","0","0","0","0","20000","30000"
"100113","5000","50","0","0","0","0","20000","30000"
"100121","12500","125","0","0","0","0","30000","45000"
"100122","12500","125","0","0","0","0","30000","45000"
"100123","12500","125","0","0","0","0","30000","45000"
"100131","20000","200","0","0","0","0","40000","60000"
"100132","20000","200","0","0","0","0","40000","60000"
"100133","20000","200","0","0","0","0","40000","60000"
"100211","5000","50","0","0","0","0","20000","30000"
"100212","5000","50","0","0","0","0","20000","30000"
"100213","5000","50","0","0","0","0","20000","30000"
"100221","12500","125","0","0","0","0","30000","45000"
"100222","12500","125","0","0","0","0","30000","45000"
"100223","12500","125","0","0","0","0","30000","45000"
"100231","20000","200","0","0","0","0","40000","60000"
"100232","20000","200","0","0","0","0","40000","60000"
"100233","20000","200","0","0","0","0","40000","60000"
"100311","5000","50","0","0","0","0","20000","30000"
"100312","5000","50","0","0","0","0","20000","30000"
"100313","5000","50","0","0","0","0","20000","30000"
"100321","12500","125","0","0","0","0","30000","45000"
"100322","12500","125","0","0","0","0","30000","45000"
"100323","12500","125","0","0","0","0","30000","45000"
"100331","20000","200","0","0","0","0","40000","60000"
"100332","20000","200","0","0","0","0","40000","60000"
"100333","20000","200","0","0","0","0","40000","60000"
"100411","5000","50","0","0","0","0","20000","30000"
"100412","5000","50","0","0","0","0","20000","30000"
"100413","5000","50","0","0","0","0","20000","30000"
"100421","12500","125","0","0","0","0","30000","45000"
"100422","12500","125","0","0","0","0","30000","45000"
"100423","12500","125","0","0","0","0","30000","45000"
"100431","20000","200","0","0","0","0","40000","60000"
"100432","20000","200","0","0","0","0","40000","60000"
"100433","20000","200","0","0","0","0","40000","60000"
"100511","5000","50","0","0","0","0","20000","30000"
"100512","5000","50","0","0","0","0","20000","30000"
"100513","5000","50","0","0","0","0","20000","30000"
"100521","12500","125","0","0","0","0","30000","45000"
"100522","12500","125","0","0","0","0","30000","45000"
"100523","12500","125","0","0","0","0","30000","45000"
"100531","20000","200","0","0","0","0","40000","60000"
"100532","20000","200","0","0","0","0","40000","60000"
"100533","20000","200","0","0","0","0","40000","60000"
"100611","5000","50","0","0","0","0","20000","30000"
"100612","5000","50","0","0","0","0","20000","30000"
"100613","5000","50","0","0","0","0","20000","30000"
"100621","12500","125","0","0","0","0","30000","45000"
"100622","12500","125","0","0","0","0","30000","45000"
"100623","12500","125","0","0","0","0","30000","45000"
"100631","20000","200","0","0","0","0","40000","60000"
"100632","20000","200","0","0","0","0","40000","60000"
"100633","20000","200","0","0","0","0","40000","60000"
"100711","5000","50","0","0","0","0","20000","30000"
"100712","5000","50","0","0","0","0","20000","30000"
"100713","5000","50","0","0","0","0","20000","30000"
"100721","12500","125","0","0","0","0","30000","45000"
"100722","12500","125","0","0","0","0","30000","45000"
"100723","12500","125","0","0","0","0","30000","45000"
"100731","20000","200","0","0","0","0","40000","60000"
"100732","20000","200","0","0","0","0","40000","60000"
"100733","20000","200","0","0","0","0","40000","60000"
"100811","5000","50","0","0","0","0","20000","30000"
"100812","5000","50","0","0","0","0","20000","30000"
"100813","5000","50","0","0","0","0","20000","30000"
"100821","12500","125","0","0","0","0","30000","45000"
"100822","12500","125","0","0","0","0","30000","45000"
"100823","12500","125","0","0","0","0","30000","45000"
"100831","20000","200","0","0","0","0","40000","60000"
"100832","20000","200","0","0","0","0","40000","60000"
"100833","20000","200","0","0","0","0","40000","60000"
"100911","5000","50","0","0","0","0","20000","30000"
"100912","5000","50","0","0","0","0","20000","30000"
"100913","5000","50","0","0","0","0","20000","30000"
"100921","12500","125","0","0","0","0","30000","45000"
"100922","12500","125","0","0","0","0","30000","45000"
"100923","12500","125","0","0","0","0","30000","45000"
"100931","20000","200","0","0","0","0","40000","60000"
"100932","20000","200","0","0","0","0","40000","60000"
"100933","20000","200","0","0","0","0","40000","60000"
