9013e10043bc1a639b13ea9b9c3d0a5e69f59279b131c5495859f89e63c86362,de1ddb3a9a784d655d9fd597462302311e79c82e15a83ac1a33766433e500700,842f4fb83b34743f79ec52a9f0a7313fdf784a01995b83768c9c9c165c4092b6,2927414ac110728b3a2d909632252900aef5a8b6fabb6fb8c1434a31b692a69f,8f7560d311be1d9bbfec80541da88e50d9f93a032d2b407ab30718204dc981a5,dfeebc1da85eff56600d46edfd2ba874653f2435e00268da199a102abaeeb514
"1001","1","15","10101001","58002001","1"
"1002","2","15","10101002","58002002","1"
"1003","3","15","10101003","58002003","1"
"1001","4","15","10201001","56011001","1"
"1002","5","15","10201002","56011002","1"
"1003","6","15","10201003","56011003","1"
"0","7","8","91002","56011003","50"
"1001","8","15","10201004","56011004","1"
"1002","9","15","10201005","56011005","1"
"1003","10","15","10201006","56011006","1"
"0","11","8","91002","56011006","50"
"1001","12","15","10201007","56011007","1"
"1002","13","15","10201008","56011008","1"
"1003","14","15","10201009","56011009","1"
"0","15","8","91002","56011009","50"
"1001","16","15","10201010","56011010","1"
"1002","17","15","10201011","56011011","1"
"1003","18","15","10201012","56011012","1"
"0","19","8","91002","56011012","50"
"1001","20","15","10201013","56011013","1"
"1002","21","15","10201014","56011014","1"
"1003","22","15","10201015","56011015","1"
"0","23","8","91002","56011015","50"
"1001","24","15","10201016","56011016","1"
"1002","25","15","10201017","56011017","1"
"1003","26","15","10201018","56011018","1"
"0","27","8","91002","56011018","50"
"1001","28","15","10201019","56011019","1"
"1002","29","15","10201020","56011020","1"
"1003","30","15","10201021","56011021","1"
"0","31","8","91002","56011021","50"
"1001","32","15","10201022","56011022","1"
"1002","33","15","10201023","56011023","1"
"1003","34","15","10201024","56011024","1"
"0","35","8","91002","56011024","50"
"1001","36","15","10201025","56011025","1"
"1002","37","15","10201026","56011026","1"
"1003","38","15","10201027","56011027","1"
"0","39","8","91002","56011027","50"
"1001","40","15","10201028","56011028","1"
"1002","41","15","10201029","56011029","1"
"1003","42","15","10201030","56011030","1"
"0","43","8","91002","56011030","50"
"1001","44","15","10201031","56011031","1"
"1002","45","15","10201032","56011032","1"
"1003","46","15","10201033","56011033","1"
"0","47","8","91002","56011033","50"
"1001","48","15","10201034","56011034","1"
"1002","49","15","10201035","56011035","1"
"1003","50","15","10201036","56011036","1"
"0","51","8","91002","56011036","50"
"1001","52","15","10201037","56011037","1"
"1002","53","15","10201038","56011038","1"
"1003","54","15","10201039","56011039","1"
"0","55","8","91002","56011039","50"
"1001","56","15","10201040","56011040","1"
"1002","57","15","10201041","56011041","1"
