059dd1d159ee6a66679cb6a7c87558a7d1ae7ee1bcada2bea30a618b72c3df64,5ce3d56550a2e8c1f69620436c539db673256987d1df5536e7cd6918490b1451,0fb8edfac04f70100004d48f133c0d051c5eefeb10bff3c85e27add6f73a21f8,20cb8448a3b9e62760723cbd4b84895626951fbe2323c7349bcc17635829d89a,e77a4b636896a16219f3445a9de94c1abb4e5a229f497478887c698ceead8cf6,d264f86296bb2bcb9332ce57b9ea3eab4c1bd3056eea6d8424affb6a59416cf6,35dd7351ccdfcb7b1226606019f31e82a2c25f9c27d2f8891cebaf8b011e0e72,7a684df9db25b05313b5f63a12c075d1ec866564f45d56e72e1b346c132d6770,480723e269817c88f62209b6f338a9a6a2845fb8220236216ac5f7b47032fdfd,5c568920dad8d14584c8b6c9dfc71d4cf808778b035a9fe0ae0e002bef017bd7,198783e92093bc181ff623bcb61e146f2c416eb8eb718fece0f42cfac9813d41,8aac2102e95dff134368ad169c5f5b0ca78a55a92b99964ddf8f85d647a025d2
"0","1009801","0.8","0","0","0","0","100980101","4","1","1","0"
"0","1009801","0","0","vo_lsv","vo_lsv_0101","0","100980102","2","0","2","0"
"2","1009801","0","1","0","0","300","100980103","1","0","3","0"
"0","1009801","2.3","0","0","0","0","100980104","4","1","4","0"
"2","1009801","0","2","0","0","280","100980105","1","0","5","0"
"0","1009801","3","0","0","0","0","100980106","4","1","6","0"
"0","1009801","0","0","vo_lsv","vo_lsv_0102","0","100980107","2","0","7","0"
"2.05","1009801","0","3","0","0","300","100980108","1","0","8","0"
"0","1009801","2.05","0","0","0","0","100980109","4","1","9","0"
"1.8","1009801","0","4","0","0","327","100980110","1","0","10","0"
"0","1009801","2.8","0","0","0","0","100980111","4","1","11","0"
"0","1009801","0","0","vo_lsv","vo_lsv_0103","0","100980112","2","0","12","0"
"2.3","1009801","0","5","0","0","300","100980113","1","0","13","0"
"0","1009801","2.5","0","0","0","0","100980114","4","1","14","0"
"1.9","1009801","0","6","0","0","275","100980115","1","0","15","0"
"0","1009801","2.9","0","0","0","0","100980116","4","1","16","0"
"0","1009801","0","0","vo_lsv","vo_lsv_0104","0","100980117","2","0","17","0"
"2.7","1009801","0","7","0","0","300","100980118","1","0","18","0"
"0","1009801","2.9","0","0","0","0","100980119","4","1","19","0"
"2.3","1009801","0","8","0","0","310","100980120","1","0","20","0"
"0","1009801","2.3","0","0","0","0","100980121","4","1","21","0"
"1.8","1009801","0","9","0","0","250","100980122","1","0","22","0"
"0","1009801","2.8","0","0","0","0","100980123","4","1","23","0"
"0","1009801","0","0","vo_lsv","vo_lsv_0105","0","100980124","2","0","24","0"
"2.5","1009801","0","10","0","0","320","100980125","1","0","25","0"
"0","1009801","2.5","0","0","0","0","100980126","4","1","26","0"
"0.7","1009801","0","11","0","0","165","100980127","1","0","27","15"
"0","1009802","0.8","0","0","0","0","100980201","4","1","1","0"
"0","1009802","0","0","vo_lsv","vo_lsv_0201","0","100980202","2","0","2","0"
"1.51","1009802","0","1","0","0","300","100980203","1","0","3","0"
"0","1009802","1.51","0","0","0","0","100980204","4","1","4","0"
"1.5","1009802","0","1","0","0","300","100980205","1","0","5","300"
"0","1009802","2.5","0","0","0","0","100980206","4","1","6","0"
"0","1009802","0","0","vo_lsv","vo_lsv_0202","0","100980207","2","0","7","0"
"1.8","1009802","0","2","0","0","300","100980208","1","0","8","0"
"0","1009802","1.8","0","0","0","0","100980209","4","1","9","0"
"1.1","1009802","0","3","0","0","300","100980210","1","0","10","0"
"0","1009802","2.1","0","0","0","0","100980211","4","1","11","0"
"0","1009802","0","0","vo_lsv","vo_lsv_0203","0","100980212","2","0","12","0"
"1.95","1009802","0","4","0","0","300","100980213","1","0","13","0"
"0","1009802","1.95","0","0","0","0","100980214","4","1","14","0"
"2.05","1009802","0","5","0","0","310","100980215","1","0","15","0"
"0","1009802","2.05","0","0","0","0","100980216","4","1","16","0"
"0.8","1009802","0","5","0","0","310","100980217","1","0","17","310"
"0","1009802","1.8","0","0","0","0","100980218","4","1","18","0"
"0","1009802","0","0","vo_lsv","vo_lsv_0204","0","100980219","2","0","19","0"
"1.7","1009802","0","6","0","0","300","100980220","1","0","20","0"
"0","1009802","2.1","0","0","0","0","100980221","4","1","21","0"
"2.3","1009802","0","7","0","0","327","100980222","1","0","22","0"
"0","1009802","3.3","0","0","0","0","100980223","4","1","23","0"
"0","1009802","0","0","vo_lsv","vo_lsv_0205","0","100980224","2","0","24","0"
"1.83","1009802","0","8","0","0","300","100980225","1","0","25","0"
"0","1009802","2.4","0","0","0","0","100980226","4","1","26","0"
"1.7","1009802","0","9","0","0","300","100980227","1","0","27","0"
"0","1009802","2.1","0","0","0","0","100980228","4","1","28","0"
"1.1","1009802","0","10","0","0","210","100980229","1","0","29","0"
"0","1009802","0.5","0","0","0","0","100980230","4","1","30","0"
"0","1009803","0.8","0","0","0","0","100980301","4","1","1","0"
"0","1009803","0","0","vo_lsv","vo_lsv_0301","0","100980302","2","0","2","0"
"1.87","1009803","0","1","0","0","141","100980303","1","0","3","0"
"0","1009803","2","0","0","0","0","100980304","4","1","4","0"
"0.561","1009803","0","1","0","0","300","100980305","1","0","5","141"
"0","1009803","1.561","0","0","0","0","100980306","4","1","6","0"
"0","1009803","0","0","vo_lsv","vo_lsv_0302","0","100980307","2","0","7","0"
"1.3","1009803","0","2","0","0","320","100980308","1","0","8","0"
"0","1009803","1.3","0","0","0","0","100980309","4","1","9","0"
"1.2","1009803","0","3","0","0","227","100980310","1","0","10","0"
"0","1009803","2.2","0","0","0","0","100980311","4","1","11","0"
"0","1009803","0","0","vo_lsv","vo_lsv_0303","0","100980312","2","0","12","0"
"2.1","1009803","0","4","0","0","280","100980313","1","0","13","0"
"0","1009803","2.1","0","0","0","0","100980314","4","1","14","0"
"1.2","1009803","0","5","0","0","280","100980315","1","0","15","0"
"0","1009803","2.2","0","0","0","0","100980316","4","1","16","0"
"0","1009803","0","0","vo_lsv","vo_lsv_0304","0","100980317","2","0","17","0"
"1.305","1009803","0","6","0","0","350","100980318","1","0","18","0"
"0","1009803","1.305","0","0","0","0","100980319","4","1","19","0"
"2.181","1009803","0","6","0","0","350","100980320","1","0","20","350"
"0","1009803","2.781","0","0","0","0","100980321","4","1","21","0"
"1.32","1009803","0","7","0","0","350","100980322","1","0","22","0"
"0","1009803","2.32","0","0","0","0","100980323","4","1","23","0"
"0","1009803","0","0","vo_lsv","vo_lsv_0305","0","100980324","2","0","24","0"
"2.453","1009803","0","8","0","0","350","100980325","1","0","25","0"
"0","1009803","2.453","0","0","0","0","100980326","4","1","26","0"
"1.547","1009803","0","9","0","0","350","100980327","1","0","27","0"
"0","1009803","2.547","0","0","0","0","100980328","4","1","28","0"
"0","1009803","0","0","vo_lsv","vo_lsv_0306","0","100980329","2","0","29","0"
"1.95","1009803","0","10","0","0","350","100980330","1","0","30","0"
"0","1009803","2.95","0","0","0","0","100980331","4","1","31","0"
"0","1009803","0","0","vo_lsv","vo_lsv_0307","0","100980332","2","0","32","0"
"1.39","1009803","0","11","0","0","240","100980333","1","0","33","0"
"0","1009804","0.8","0","0","0","0","100980401","4","1","1","0"
"0","1009804","0","0","vo_lsv","vo_lsv_0401","0","100980402","2","0","2","0"
"1.2","1009804","0","1","0","0","300","100980403","1","0","3","0"
"0","1009804","1.2","0","0","0","0","100980404","4","1","4","0"
"1.8","1009804","0","2","0","0","300","100980405","1","0","5","0"
"0","1009804","2.8","0","0","0","0","100980406","4","1","6","0"
"0","1009804","0","0","vo_lsv","vo_lsv_0402","0","100980407","2","0","7","0"
"2.35","1009804","0","3","0","0","355","100980408","1","0","8","0"
"0","1009804","3.35","0","0","0","0","100980409","4","1","9","0"
"0","1009804","0","0","vo_lsv","vo_lsv_0403","0","100980410","2","0","10","0"
"1.669","1009804","0","4","0","0","300","100980411","1","0","11","0"
"0","1009804","2.1","0","0","0","0","100980412","4","1","12","0"
"1.7","1009804","0","5","0","0","230","100980413","1","0","13","0"
"0","1009804","2","0","0","0","0","100980414","4","1","14","0"
"1.35","1009804","0","6","0","0","230","100980415","1","0","15","0"
"0","1009804","2.85","0","0","0","0","100980416","4","1","16","0"
"0","1009804","0","0","vo_lsv","vo_lsv_0404","0","100980417","2","0","17","0"
"1.51","1009804","0","7","0","0","327","100980418","1","0","18","0"
"0","1009804","1.61","0","0","0","0","100980419","4","1","19","0"
"1.29","1009804","0","7","0","0","327","100980420","1","0","20","327"
"0","1009804","1.949","0","0","0","0","100980421","4","1","21","0"
"1.925","1009804","0","8","0","0","300","100980422","1","0","22","0"
"0","1009805","0.8","0","0","0","0","100980501","4","1","1","0"
