872451b94c106a835ff19b9520f65550710a667f0560db62f54a4d427635909d,1faa76c7876e8c0c73240b46f1040620a0b140d94744e31e2b255c86354795e5,b3c1eb9801f49232f78cbc352de6a7a7af0155992faa532e3e23fdda4288790e,3a8600773e60954d9c43f0e560f99cf3c6d2a198ff58857ad46b2ac8408b7671,a68f68dd23aab20c41bbbbc05d1fe7a58f246ae547632af72d76e044bb0cebb6,cde16e653744cde0a777642e907133d1824b2a4702e4d7b23c82de9957dc8692,bbb56d915e4f44d6f92e58645f31d3b4f326e0aae4a13b32df5fe62184a9d938,6c735c3dd1664f5f8c8da1eb78f2065c83391f4fcc2088c067b65ece4cde2653,862728783fb7786d06ea77bf5b3d534b404d209f1b3da6aa9dd55b3eb56cbaa7
"-1","7","53003","10001","6","5","1","22","8"
"-1","7","53002","10002","6","5","1","22","4"
"5","6","53003","10101","5","4","1","22","6"
"5","6","53002","10102","5","4","1","22","5"
"4","5","53003","10201","4","3","1","22","5"
"4","5","53002","10202","4","3","1","22","5"
"3","4","53003","10301","3","3","1","22","4"
"3","4","53002","10302","3","3","1","22","3"
"2","3","53003","10401","2","2","1","22","3"
"2","3","53002","10402","2","2","1","22","2"
"1","2","53003","10501","1","1","1","22","2"
"1","2","53002","10502","1","1","1","22","1"
"0","1","53002","10601","0","1","1","22","2"
"-1","7","53003","10701","6","5","2","22","8"
"-1","7","53002","10702","6","5","2","22","4"
"5","6","53003","10801","5","4","2","22","6"
"5","6","53002","10802","5","4","2","22","5"
"4","5","53003","10901","4","3","2","22","5"
"4","5","53002","10902","4","3","2","22","5"
"3","4","53003","11001","3","3","2","22","4"
"3","4","53002","11002","3","3","2","22","3"
"2","3","53003","11101","2","2","2","22","3"
"2","3","53002","11102","2","2","2","22","2"
"1","2","53003","11201","1","1","2","22","2"
"1","2","53002","11202","1","1","2","22","1"
"0","1","53002","11301","0","1","2","22","2"
"-1","7","53003","11401","6","5","3","22","8"
"-1","7","53002","11402","6","5","3","22","4"
"5","6","53003","11501","5","4","3","22","6"
"5","6","53002","11502","5","4","3","22","5"
"4","5","53003","11601","4","3","3","22","5"
"4","5","53002","11602","4","3","3","22","5"
"3","4","53003","11701","3","3","3","22","4"
