1a1085970bc30f51a003635b0ead3d12447b111a15d726740d2c272d54292eb2,191dd6f6b7b7ee96366c240df156a2c52e26a56b2e877de262c513265e71b63f,312f25df9dd9d2a888615954990fa43183e3db4c4aeea1febbb4e1786243ca0a,4c3cd06e0448888798260195140c4338cd09f9478221a7d6e8d7beded0916c83,438c5ce1c93c8b8506461847237b39e42661909da2bc012de82aa0bf099f5c32,a8367a38611c14eccfe75aca016fbc6128ba3b5ef87b6ea5a87abbcb738b2866,8de8d50d5a3182e18711964eefe267259d678051f166b5340f24a7f7ec726caf,97c923ed4fabcf194800ebf7f44193824f00fc378302460a6b987c66056c15e6,30a84f92767687641ee92ac3d02bbf49ba0dd80a9073a02f921b848bd4005dda,10b3e5ab40ccb69ae068f1ced18c076e8b400809037e6ff9517835453970b814,bfda77b8c3e24466236b554c02441fae98b51f8d400f7edc0bfee4bb164cc569
"0","-165","10","5","-345","1","dsb_idle_normal","70","2","1010801","1010801001"
"1","165","4","5","-345","2","dsb_idle_worry","70","2","1010801","1010801002"
"0","-215","10","5","-350","99","dsb_lago","70","2","1010801","1010801003"
"","0","1","31","1","1","","0","1","1010801","1010801004"
"","0","3","31","1","3","","0","1","1010801","1010801005"
"","0","4","31","1","4","","0","1","1010801","1010801006"
"","0","14","31","1","10","","0","1","1010801","1010801007"
"","0","24","31","1","20","","0","1","1010801","1010801008"
"","-168","34","31","1","30","","155","1","1010801","1010801009"
"","-168","34","31","1","31","","-155","1","1010801","1010801010"
"","-175","42","31","1","32","","-222","1","1010801","1010801011"
"","0","40","31","1","40","","0","0","1010801","1010801012"
"","","1","13","","170","","","","1010801","1010801013"
"","","2","13","","170","","","","1010801","1010801014"
"","","0","91","","","","","","1010801","1010801015"
"","","se_10044200","23","","se_10044200_cmn_amb","","1","","1010801","1010801016"
"","","se_10044200","23","","se_10044200_cmn_steam","","0","","1010801","1010801017"
"","","6","93","","0","","","","1010801","1010801018"
"","","se_10044200","23","","se_10044200_hotspring_04","","1","","1010801","1010801019"
"","","1.5","93","","0","","","","1010801","1010801020"
"","","2","3","","dsb_talk_anger_Ex8","","1","0.5","1010801","1010801021"
"","0","vo_dsb_1010801","21","","vo_dsb_1001","","0","","1010801","1010801022"
"0","1","2","11","1","好、好燙～！！\n這裡的水溫很奇怪耶……\n老大，這是怎麼回事！？","0.2","10","0","1010801","1010801023"
"","","0","91","","","","","","1010801","1010801024"
