fe95a59c848b66c0f4f31c5e40cd7a33d361ba1848b546412fa860466df441c1,6cd94418280fb41851bfb1ba9d1aacc303549e4437b2b91d95612160fa860125,a4bc0d4e6581622830bddb8cb1b0288f29b2d9e99f7a3193b0947223f30e20f9,5da560b6d3407c6367a972551ae281e3f9b9358d301f1120d31f585a20698117,11e2668db7d1d098f83cd053b5e42ad19013e703d2cffa9bba4325ac806b9e86,5837ffa79d9e91c948ddbb7f73daaf2fd62b29df3b8a256942ff8554c45e627f,51d0972035b05659b62046995bdb76d6bd41475c6134f6a0558928daffbe851f,81d562a164d60fffd9e32b8d76325e9a701a16f5fcce82bb186b0e03c51af7ab,2d7c9e16c33e46b114d05271afc515db1c10c4f5c14c120fae074a5ce3048c98,78b36aa7c84f42a0af6a54c0a01eb5c41ec2d1d3707f295be3d4d81b06702bb5,a05dbfc89f42190d3df0a4a0f76b02a1c652d128f43a55e58c123a6dcb9e35bb
"25013","1","25021","10","2","283001001","91002","8","2","8","31"
"25013","2","25021","10","2","283001002","91002","8","2","8","31"
"25013","3","25021","10","2","283001003","91002","8","2","8","32"
"25013","4","25021","10","2","283001004","91002","8","2","8","32"
"25013","5","25021","10","2","283001005","91002","8","2","8","33"
"25013","6","25021","10","2","283001006","91002","8","2","9","33"
"25013","7","25021","10","2","283001007","91002","8","2","9","34"
"25013","8","25021","10","2","283001008","91002","8","2","9","35"
"25013","9","25021","10","2","283001009","91002","8","2","9","35"
"25013","10","25021","30","2","283001010","91002","8","2","10","37"
"25013","11","25021","10","2","283001011","91002","8","2","10","41"
"25013","12","25021","10","2","283001012","91002","8","2","11","43"
"25013","13","25021","10","2","283001013","91002","8","2","11","46"
"25013","14","25021","10","2","283001014","91002","8","2","12","48"
"25013","15","25021","10","2","283001015","91002","8","2","12","50"
"25013","16","25021","10","2","283001016","91002","8","2","13","53"
"25013","17","25021","10","2","283001017","91002","8","2","14","55"
"25013","18","25021","10","2","283001018","91002","8","2","14","58"
"25013","19","25021","10","2","283001019","91002","8","2","15","60"
"25013","20","25021","30","2","283001020","91002","8","2","15","62"
"25013","21","25021","10","2","283001021","91002","8","2","16","68"
"25013","22","25021","10","2","283001022","91002","8","2","16","70"
"25013","23","25021","10","2","283001023","91002","8","2","16","72"
"25013","24","25021","10","2","283001024","91002","8","2","17","75"
"25013","25","25021","10","2","283001025","91002","8","2","18","77"
"25013","26","25021","10","2","283001026","91002","8","2","18","79"
"25013","27","25021","10","2","283001027","91002","8","2","19","82"
"25013","28","25021","10","2","283001028","91002","8","2","19","84"
"25013","29","25021","10","2","283001029","91002","8","2","19","86"
"25013","30","25021","30","2","283001030","91002","8","2","20","89"
"25013","31","25021","10","2","283001031","91002","8","2","20","94"
"25013","32","25021","10","2","283001032","91002","8","2","21","96"
"25013","33","25021","10","2","283001033","91002","8","2","21","99"
"25013","34","25021","10","2","283001034","91002","8","2","22","101"
"25013","35","25021","10","2","283001035","91002","8","2","22","103"
"25013","36","25021","10","2","283001036","91002","8","2","23","106"
"25013","37","25021","10","2","283001037","91002","8","2","23","108"
"25013","38","25021","10","2","283001038","91002","8","2","24","111"
"25013","39","25021","10","2","283001039","91002","8","2","25","113"
"25013","40","25021","30","2","283001040","91002","8","2","25","115"
"25013","41","25021","10","2","283001041","91002","8","2","26","121"
"25013","42","25021","10","2","283001042","91002","8","2","27","123"
"25013","43","25021","10","2","283001043","91002","8","2","28","125"
"25013","44","25021","10","2","283001044","91002","8","2","28","128"
"25013","45","25021","10","2","283001045","91002","8","2","29","130"
"25013","46","25021","10","2","283001046","91002","8","2","30","132"
"25013","47","25021","10","2","283001047","91002","8","2","30","135"
"25013","48","25021","10","2","283001048","91002","8","2","31","137"
"25013","49","25021","10","2","283001049","91002","8","2","31","139"
"25013","50","25021","30","2","283001050","91002","8","2","31","142"
"25013","51","25021","10","2","283001051","91002","8","2","32","144"
"25013","52","25021","10","2","283001052","91002","8","2","32","146"
"25013","53","25021","10","2","283001053","91002","8","2","32","149"
"25013","54","25021","10","2","283001054","91002","8","2","33","152"
"25013","55","25021","10","2","283001055","91002","8","2","33","155"
"25013","56","25021","10","2","283001056","91002","8","2","33","157"
"25013","57","25021","10","2","283001057","91002","8","2","34","160"
"25013","58","25021","10","2","283001058","91002","8","2","34","163"
"25013","59","25021","10","2","283001059","91002","8","2","34","166"
"25013","60","25021","30","2","283001060","91002","8","2","35","169"
"25013","61","25021","10","2","283001061","91002","8","2","35","171"
"25013","62","25021","10","2","283001062","91002","8","2","35","174"
"25013","63","25021","10","2","283001063","91002","8","2","36","177"
"25013","64","25021","10","2","283001064","91002","8","2","36","180"
"25013","65","25021","10","2","283001065","91002","8","2","36","182"
"25013","66","25021","10","2","283001066","91002","8","2","37","185"
"25013","67","25021","10","2","283001067","91002","8","2","37","187"
"25013","68","25021","10","2","283001068","91002","8","2","37","190"
"25013","69","25021","10","2","283001069","91002","8","2","38","193"
"25013","70","25021","30","2","283001070","91002","8","2","38","196"
