e0690d8317f8c96c28f8875eb270ebc6b5fe9a211e45d7f65ef1af4b38b74356,36e49d647eb2da3b24d1b6fe3bff98290617e2ad28c49c9f0d3bc3de34df1123,a5afd9eca82234155e79b2fd4a3dc16c56c1a7fa2d4bc11c9c28fe0c43ce6f7e,3b0c39a2e720c54049f8264fc4f07c4001602debc0ec65b88199b595298f5f70,68a736cd3487d826807dd4206fd88600c4311c585254c6ba99a2826e0857ffa7,758a741fffce4f2e4681ff57732c9e89426d5d604c21f1b9225ace432af953ab,3f8f94bf0b5237c064b84ea2465158e26dbe92a90047702c9f0ffd49003189b8,4431e0c2c3aa771a67f4ecbc06170c903e3ec4538b4aa086773fe18501b79401,14eee26babc426738b90afc65b3c6c4982c56371a1c6d9eee55222ae13d4c2e7,1aea4d2bb3a27750d1a15feca1fa9134cc91c61e0025f92fc11fae1565d55b18,f3db89a33af2801350a0598b6fdae13beff1e89cdc1c5a5afaafc57648a20054,d02c0c9ba8dc4045b1bc244c10fccb9004c019e77fc7709f84b31f979dc4054e,a9cb45df312dc4776115c7bc06f00c448227f05f2cada1ba407fb0fd712e8d57,47f70ba2aa8adaa5b253769356dfa8f428052793a333c7ccee2eb5bfe9a8dabd,286d1dd8f52560cc2aa5de1ce06d4bf039d902e9c5a38cd3d6ed06703033d69e,b06b57d41d99cd9a41bd42f95b83b2f4e086683d71e41ecd58c58b543e794ce5,1bbb73fa875c3068c465f9fd661d74d8d4154663f96f7d2f48a68fd1525670f5,48ac8b5e7d0c0bcf39ee7e64a5424ddac201ddfcaeff45aa646842ec0784c3e9
"94002","0","20000","0","2000","1","0","0","0","0","0","0","0","0","0","0","12","累積獲得分數2000點"
"94002","0","30000","0","4000","2","0","0","0","0","0","0","0","0","0","0","12","累積獲得分數4000點"
"91002","0","25","0","8000","3","0","0","0","0","0","0","0","0","0","0","8","累積獲得分數8000點"
"94002","0","40000","0","10000","4","0","0","0","0","0","0","0","0","0","0","12","累積獲得分數10000點"
"94002","0","50000","0","12000","5","0","0","0","0","0","0","0","0","0","0","12","累積獲得分數12000點"
"23001","0","20","0","14000","6","0","0","0","0","0","0","0","0","0","0","2","累積獲得分數14000點"
"91002","0","50","0","18000","7","0","0","0","0","0","0","0","0","0","0","8","累積獲得分數18000點"
"94002","0","70000","0","21000","8","0","0","0","0","0","0","0","0","0","0","12","累積獲得分數21000點"
"94002","0","80000","0","24000","9","0","0","0","0","0","0","0","0","0","0","12","累積獲得分數24000點"
"91002","0","75","0","27000","10","0","0","0","0","0","0","0","0","0","0","8","累積獲得分數27000點"
"23001","0","50","0","35000","11","0","0","0","0","0","0","0","0","0","0","2","累積獲得分數35000點"
"91002","0","100","0","40000","12","0","0","0","0","0","0","0","0","0","0","8","累積獲得分數40000點"
"94002","0","100000","0","45000","13","0","0","0","0","0","0","0","0","0","0","12","累積獲得分數45000點"
"11001086","0","1","0","50000","14","0","0","0","0","0","0","0","0","0","0","15","累積獲得分數50000點"
