2544eea1d851b1d13c0ab65f8b76f3ccac19febb23296345bef9a012871d8408,85e59e7fe1c09e5430eafd289edfffed797e12a218621fec1f3e3201173e5b56,afe8c723aac88eed9218f0db422e585341c2de5a1ec3e3654227c48bb39a4852
"6101321","61013201","1"
"6101322","61013201","2"
"6101323","61013201","3"
"6101324","61013201","4"
"6101325","61013201","5"
"6101326","61013201","6"
"6101327","61013201","7"
"6101341","61013401","8"
"6101342","61013401","9"
"6101343","61013401","10"
"6101344","61013401","11"
"6101345","61013401","12"
"6101361","61013601","13"
"6101362","61013601","14"
"6101363","61013601","15"
"6101364","61013601","16"
"6101365","61013601","17"
"6101366","61013601","18"
"6101367","61013601","19"
"6101368","61013601","20"
"6101401","61014001","21"
"6101402","61014001","22"
"6101403","61014001","23"
"6101404","61014001","24"
"6101405","61014001","25"
"6101421","61014201","26"
"6101422","61014201","27"
"6101423","61014201","28"
"6101424","61014201","29"
"6101441","61014401","30"
"6101442","61014401","31"
"6101443","61014401","32"
"6101444","61014401","33"
"6101461","61014601","34"
"6101462","61014601","35"
"6101463","61014601","36"
"6101464","61014601","37"
"6101465","61014601","38"
"6101466","61014601","39"
"6101467","61014601","40"
"6101468","61014601","41"
"6101469","61014601","42"
"6101481","61014801","43"
"6101482","61014801","44"
"6101483","61014801","45"
"6101484","61014801","46"
"6101485","61014801","47"
"6101501","61015001","48"
"6101502","61015001","49"
"6101503","61015001","50"
"6101504","61015001","51"
"6101505","61015001","52"
"6101520","61015201","53"
"6101521","61015201","54"
"6101522","61015201","55"
"6101523","61015201","56"
"6101524","61015201","57"
"6101525","61015201","58"
"6101526","61015201","59"
"6101527","61015201","60"
"6101528","61015201","61"
"6101529","61015201","62"
"6101540","61015401","63"
"6101541","61015401","64"
"6101542","61015401","65"
"6101550","61015501","66"
"6101551","61015501","67"
"6101580","61015801","68"
"6101581","61015801","69"
"6101600","61016001","70"
"6101601","61016001","71"
"6101620","61016201","72"
"6101621","61016201","73"
"6101622","61016201","74"
"6101640","61016401","75"
"6101641","61016401","76"
"6101642","61016401","77"
"6101660","61016601","78"
"6101661","61016601","79"
"6101662","61016601","80"
"6101681","61016801","81"
"6101682","61016801","82"
"6101683","61016801","83"
"6101700","61017001","84"
"6101701","61017001","85"
"6101720","61017201","86"
"6101721","61017201","87"
"6101740","61017401","88"
"6101741","61017401","89"
"6101742","61017401","90"
"6101760","61017601","91"
"6101761","61017601","92"
"6101780","61017801","93"
"6101781","61017801","94"
"6101800","61018001","95"
"6101801","61018001","96"
"6101820","61018201","97"
"6101821","61018201","98"
"6101822","61018201","99"
"6101840","61018401","100"
"6101841","61018401","101"
