d3633f8c63292b232e5fdf5ee670967cbcd2b45cc6fbce75a1b82dfaad186b24,3c4d6515db418972b5eb97daa7cf069cddc28b2779e599ed5fe5493b36bda165,640039701f2d0e5fb6830acae34259275ac0ebf37e0834408aaf1a564a959651,1a0a4fb4ad30035a62515a0fdcca40776a728efcd340e3e8a58afa5410dca435,1f6338b686c4134f4c09c742b469acf0001179ba82a39b691ac0050ea3e47774,b21a5ac30651488da7929f02097a5669bce13f24a25383fe0a074e2fbf89773b,26796f7b60729d5b22b02ad1263297b1b6ab4df5e66109dc4ea7b74f0d822d5c,ae33fb780c198d83c8db4294199fbd0ac8142e1087bf98bf21b28811bbad15f8,21590bb68efd1e6c3ff2f7a9ae8fbe138f66dfc13ff8c4f3820d4b935f5d1773,b769fbb34aea72947a227d96cdb90850d50313159356204ed30e6d826fb2dcf9,75cea2288218644571837705324e90c97dedbe775cc4e08009e39a86b340351d,8c925048e8a5833abd60edb74b7d8fe0ace2d4e091d421573fcee1921ad2fe39,24dfcf2a82de8c7e04dfabd81e7b1dd4fec33b99cf7790ff1d6b79030e02e631,8eb7566179501eae2497d7591307343c3ee3525470af8d95aff8924305fd7c19,5a847bd695a7e6b787d7b30d3dd66a987d333353b524a38ad84ccfe37542775e,0b7187ab720e44054f4ef9a6c835ee7399c715fd24effc44607866391286613d,181ddc115bc2b658ea26eb34e324d5a7dc32b49c198a79b3ed3b9d0837336bab,362e9c3e0d883993db59e268d3491a8227e09949dd94deae5d42ad3435e4197e
"1","94002","22003","8","0","150000","0","20003","2","1","20","12","0","5","5","150","91002","2"
"2","94002","22003","8","0","100000","0","20003","2","6","15","12","0","2","9","145","91002","2"
"3","94002","22002","8","0","80000","0","20003","2","10","11","12","0","5","19","140","91002","2"
"4","94002","22002","8","0","80000","0","20003","2","20","10","12","0","5","29","130","91002","2"
"5","94002","22002","8","0","70000","0","20003","2","30","9","12","0","4","39","120","91002","2"
"6","94002","22002","8","0","70000","0","20003","2","40","8","12","0","4","49","110","91002","2"
"7","94002","22002","8","0","60000","0","20003","2","50","7","12","0","3","99","100","91002","2"
"8","94002","22002","8","0","40000","0","20003","2","100","2","12","0","2","499","80","91002","2"
"9","94002","22002","8","0","20000","0","20002","2","500","7","12","0","1","999","50","91002","2"
"10","94002","22001","8","0","16000","0","20002","2","1000","4","12","0","3","4999","20","91002","2"
"11","94002","22001","8","0","9000","0","20002","2","5000","3","12","0","2","9999","15","91002","2"
"12","94002","22001","8","0","4000","0","20001","2","10000","8","12","0","1","11999","10","91002","2"
"13","94002","22001","8","0","3000","0","20001","2","12000","7","12","0","1","13999","5","91002","2"
"14","94002","22001","8","0","2000","0","20001","2","14000","6","12","0","1","14999","4","91002","2"
"15","94002","22001","8","0","1800","0","20001","2","15000","5","12","0","1","30000","3","91002","2"
